vehicle_id,provider,vehicle_type,city,state,pickup_location,drop_location,price,currency,capacity
CAR00129,BookGuard Cars,Hatchback,Kochi,Kerala,Kochi Airport,Kochi City Centre,4474,INR,4
CAR00130,TravelGo,Luxury Sedan,Pune,Maharashtra,Pune Airport,Pune Railway Station,4347,INR,5
CAR00131,TravelGo,Tempo Traveller,Delhi,Delhi,Delhi Airport,Delhi Bus Stand,2028,INR,4
CAR00132,UrbanMove,SUV,Delhi,Delhi,Delhi Airport,Delhi Railway Station,979,INR,4
CAR00133,QuickCab,Luxury Sedan,Delhi,Delhi,Delhi Airport,Delhi City Centre,2786,INR,4
CAR00134,BookGuard Cars,SUV,Jaipur,Rajasthan,Jaipur Airport,Jaipur City Centre,841,INR,4
CAR00135,BookGuard Cars,Tempo Traveller,Bengaluru,Karnataka,Bengaluru Airport,Bengaluru City Centre,2102,INR,6
CAR00136,QuickCab,Luxury Sedan,Kochi,Kerala,Kochi Airport,Kochi Railway Station,1943,INR,4
CAR00137,QuickCab,Tempo Traveller,Mumbai,Maharashtra,Mumbai Airport,Mumbai Railway Station,3982,INR,5
CAR00138,QuickCab,Sedan,Goa,Goa,Goa Airport,Goa City Centre,2539,INR,4
CAR00139,BookGuard Cars,Hatchback,Jaipur,Rajasthan,Jaipur Airport,Jaipur Bus Stand,2984,INR,5
CAR00140,TravelGo,Tempo Traveller,Hyderabad,Telangana,Hyderabad Airport,Hyderabad City Centre,3653,INR,4
CAR00141,TravelGo,SUV,Udaipur,Rajasthan,Udaipur Airport,Udaipur City Centre,3762,INR,4
CAR00142,BookGuard Cars,Sedan,Mysuru,Karnataka,Mysuru Airport,Mysuru Bus Stand,4053,INR,7
CAR00143,CityRide,Luxury Sedan,Kolkata,West Bengal,Kolkata Airport,Kolkata Railway Station,3770,INR,4
CAR00144,UrbanMove,Tempo Traveller,Kochi,Kerala,Kochi Airport,Kochi Railway Station,3259,INR,7
CAR00145,BookGuard Cars,Hatchback,Chennai,Tamil Nadu,Chennai Airport,Chennai Railway Station,881,INR,4
CAR00146,BookGuard Cars,Tempo Traveller,Pune,Maharashtra,Pune Airport,Pune Bus Stand,375,INR,7
CAR00147,QuickCab,Hatchback,Ahmedabad,Gujarat,Ahmedabad Airport,Ahmedabad Bus Stand,2137,INR,6
CAR00148,BookGuard Cars,Sedan,Mumbai,Maharashtra,Mumbai Airport,Mumbai City Centre,2749,INR,7
CAR00149,CityRide,Hatchback,Lucknow,Uttar Pradesh,Lucknow Airport,Lucknow City Centre,2497,INR,5
CAR00150,BookGuard Cars,Sedan,Lucknow,Uttar Pradesh,Lucknow Airport,Lucknow City Centre,2489,INR,7
CAR00151,QuickCab,Hatchback,Mumbai,Maharashtra,Mumbai Airport,Mumbai Railway Station,1980,INR,7
CAR00152,UrbanMove,Hatchback,Kolkata,West Bengal,Kolkata Airport,Kolkata Bus Stand,4360,INR,4
CAR00153,UrbanMove,Sedan,Goa,Goa,Goa Airport,Goa City Centre,4414,INR,7
CAR00154,QuickCab,Tempo Traveller,Ahmedabad,Gujarat,Ahmedabad Airport,Ahmedabad City Centre,831,INR,6
CAR00155,CityRide,SUV,Udaipur,Rajasthan,Udaipur Airport,Udaipur Railway Station,3219,INR,7
CAR00156,BookGuard Cars,Tempo Traveller,Lucknow,Uttar Pradesh,Lucknow Airport,Lucknow City Centre,500,INR,7
CAR00157,CityRide,Luxury Sedan,Bengaluru,Karnataka,Bengaluru Airport,Bengaluru Bus Stand,3843,INR,6
CAR00158,QuickCab,Luxury Sedan,Goa,Goa,Goa Airport,Goa Bus Stand,3783,INR,7
CAR00159,UrbanMove,Luxury Sedan,Hyderabad,Telangana,Hyderabad Airport,Hyderabad Railway Station,414,INR,7
CAR00160,BookGuard Cars,Sedan,Kochi,Kerala,Kochi Airport,Kochi Bus Stand,255,INR,5
CAR00161,QuickCab,Tempo Traveller,Hyderabad,Telangana,Hyderabad Airport,Hyderabad City Centre,2053,INR,5
CAR00162,QuickCab,SUV,Mumbai,Maharashtra,Mumbai Airport,Mumbai Bus Stand,915,INR,4
CAR00163,CityRide,Luxury Sedan,Ahmedabad,Gujarat,Ahmedabad Airport,Ahmedabad Railway Station,3093,INR,7
CAR00164,CityRide,SUV,Delhi,Delhi,Delhi Airport,Delhi Bus Stand,437,INR,4
CAR00165,CityRide,SUV,Bengaluru,Karnataka,Bengaluru Airport,Bengaluru Railway Station,4890,INR,4
CAR00166,QuickCab,Tempo Traveller,Lucknow,Uttar Pradesh,Lucknow Airport,Lucknow Railway Station,1934,INR,5
CAR00167,BookGuard Cars,Sedan,Mysuru,Karnataka,Mysuru Airport,Mysuru Bus Stand,4628,INR,7
CAR00168,QuickCab,Sedan,Kochi,Kerala,Kochi Airport,Kochi Railway Station,3036,INR,6
CAR00169,UrbanMove,Luxury Sedan,Goa,Goa,Goa Airport,Goa Railway Station,3359,INR,5
CAR00170,UrbanMove,Sedan,Bengaluru,Karnataka,Bengaluru Airport,Bengaluru Railway Station,3847,INR,5
CAR00171,BookGuard Cars,Tempo Traveller,Mumbai,Maharashtra,Mumbai Airport,Mumbai Bus Stand,660,INR,7
CAR00172,UrbanMove,Hatchback,Udaipur,Rajasthan,Udaipur Airport,Udaipur Railway Station,1169,INR,4
CAR00173,TravelGo,Hatchback,Bengaluru,Karnataka,Bengaluru Airport,Bengaluru Bus Stand,688,INR,6
CAR00174,QuickCab,Tempo Traveller,Mysuru,Karnataka,Mysuru Airport,Mysuru Railway Station,4730,INR,6
CAR00175,TravelGo,Hatchback,Chennai,Tamil Nadu,Chennai Airport,Chennai Railway Station,4732,INR,6
CAR00176,CityRide,Tempo Traveller,Manali,Himachal Pradesh,Manali Airport,Manali Bus Stand,2192,INR,7
CAR00177,QuickCab,SUV,Pune,Maharashtra,Pune Airport,Pune Railway Station,4082,INR,5
CAR00178,TravelGo,Luxury Sedan,Pune,Maharashtra,Pune Airport,Pune City Centre,2524,INR,6
CAR00179,CityRide,Luxury Sedan,Mumbai,Maharashtra,Mumbai Airport,Mumbai Railway Station,3142,INR,4
CAR00180,QuickCab,SUV,Mumbai,Maharashtra,Mumbai Airport,Mumbai City Centre,531,INR,7
CAR00181,UrbanMove,Tempo Traveller,Kochi,Kerala,Kochi Airport,Kochi Railway Station,3932,INR,6
CAR00182,UrbanMove,SUV,Bengaluru,Karnataka,Bengaluru Airport,Bengaluru City Centre,1793,INR,7
CAR00183,QuickCab,Tempo Traveller,Delhi,Delhi,Delhi Airport,Delhi Bus Stand,4630,INR,4
CAR00184,QuickCab,Tempo Traveller,Kolkata,West Bengal,Kolkata Airport,Kolkata City Centre,491,INR,5
CAR00185,BookGuard Cars,Tempo Traveller,Kochi,Kerala,Kochi Airport,Kochi Railway Station,3751,INR,6
CAR00186,BookGuard Cars,Luxury Sedan,Jaipur,Rajasthan,Jaipur Airport,Jaipur Bus Stand,977,INR,5
CAR00187,UrbanMove,Sedan,Bengaluru,Karnataka,Bengaluru Airport,Bengaluru Railway Station,752,INR,5
CAR00188,TravelGo,Luxury Sedan,Jaipur,Rajasthan,Jaipur Airport,Jaipur Railway Station,1821,INR,4
CAR00189,BookGuard Cars,SUV,Hyderabad,Telangana,Hyderabad Airport,Hyderabad Bus Stand,2840,INR,4
CAR00190,BookGuard Cars,Luxury Sedan,Mysuru,Karnataka,Mysuru Airport,Mysuru Railway Station,2511,INR,4
CAR00191,BookGuard Cars,SUV,Hyderabad,Telangana,Hyderabad Airport,Hyderabad Bus Stand,945,INR,7
CAR00192,QuickCab,SUV,Udaipur,Rajasthan,Udaipur Airport,Udaipur City Centre,3715,INR,5
CAR00193,TravelGo,Tempo Traveller,Mysuru,Karnataka,Mysuru Airport,Mysuru City Centre,2302,INR,6
CAR00194,UrbanMove,Tempo Traveller,Jaipur,Rajasthan,Jaipur Airport,Jaipur Railway Station,2442,INR,5
CAR00195,QuickCab,SUV,Kolkata,West Bengal,Kolkata Airport,Kolkata Bus Stand,525,INR,7
CAR00196,UrbanMove,Tempo Traveller,Chennai,Tamil Nadu,Chennai Airport,Chennai Railway Station,1437,INR,5
CAR00197,TravelGo,Tempo Traveller,Manali,Himachal Pradesh,Manali Airport,Manali City Centre,2867,INR,4
CAR00198,BookGuard Cars,Sedan,Lucknow,Uttar Pradesh,Lucknow Airport,Lucknow City Centre,1112,INR,6
CAR00199,TravelGo,Hatchback,Mysuru,Karnataka,Mysuru Airport,Mysuru Bus Stand,2395,INR,4
CAR00200,TravelGo,Luxury Sedan,Ahmedabad,Gujarat,Ahmedabad Airport,Ahmedabad Bus Stand,401,INR,6
CAR00201,BookGuard Cars,SUV,Ahmedabad,Gujarat,Ahmedabad Airport,Ahmedabad City Centre,3852,INR,7
CAR00202,QuickCab,Hatchback,Ahmedabad,Gujarat,Ahmedabad Airport,Ahmedabad Railway Station,2016,INR,7
CAR00203,TravelGo,Tempo Traveller,Lucknow,Uttar Pradesh,Lucknow Airport,Lucknow Bus Stand,4558,INR,7
CAR00204,QuickCab,Luxury Sedan,Pune,Maharashtra,Pune Airport,Pune Bus Stand,2918,INR,4
CAR00205,UrbanMove,Luxury Sedan,Hyderabad,Telangana,Hyderabad Airport,Hyderabad Bus Stand,392,INR,4
CAR00206,QuickCab,Sedan,Bengaluru,Karnataka,Bengaluru Airport,Bengaluru City Centre,2139,INR,4
CAR00207,BookGuard Cars,SUV,Goa,Goa,Goa Airport,Goa City Centre,4308,INR,6
CAR00208,CityRide,Hatchback,Ahmedabad,Gujarat,Ahmedabad Airport,Ahmedabad Railway Station,4022,INR,6
CAR00209,TravelGo,Luxury Sedan,Jaipur,Rajasthan,Jaipur Airport,Jaipur City Centre,683,INR,4
CAR00210,UrbanMove,Tempo Traveller,Jaipur,Rajasthan,Jaipur Airport,Jaipur Bus Stand,3592,INR,6
CAR00211,CityRide,SUV,Manali,Himachal Pradesh,Manali Airport,Manali City Centre,312,INR,4
CAR00212,BookGuard Cars,Hatchback,Manali,Himachal Pradesh,Manali Airport,Manali Railway Station,4609,INR,4
CAR00213,TravelGo,Sedan,Manali,Himachal Pradesh,Manali Airport,Manali City Centre,992,INR,7
CAR00214,QuickCab,Hatchback,Mumbai,Maharashtra,Mumbai Airport,Mumbai Bus Stand,2466,INR,5
CAR00215,QuickCab,Hatchback,Hyderabad,Telangana,Hyderabad Airport,Hyderabad City Centre,2441,INR,6
CAR00216,UrbanMove,Hatchback,Mysuru,Karnataka,Mysuru Airport,Mysuru City Centre,1458,INR,5
CAR00217,CityRide,SUV,Manali,Himachal Pradesh,Manali Airport,Manali Bus Stand,3595,INR,6
CAR00218,BookGuard Cars,Sedan,Lucknow,Uttar Pradesh,Lucknow Airport,Lucknow Railway Station,1096,INR,7
CAR00219,BookGuard Cars,Sedan,Kolkata,West Bengal,Kolkata Airport,Kolkata Railway Station,2200,INR,7
CAR00220,TravelGo,Tempo Traveller,Ahmedabad,Gujarat,Ahmedabad Airport,Ahmedabad Railway Station,2780,INR,6
CAR00221,TravelGo,Tempo Traveller,Manali,Himachal Pradesh,Manali Airport,Manali Railway Station,4026,INR,5
CAR00222,TravelGo,Tempo Traveller,Kolkata,West Bengal,Kolkata Airport,Kolkata City Centre,4391,INR,4
CAR00223,TravelGo,Tempo Traveller,Bengaluru,Karnataka,Bengaluru Airport,Bengaluru City Centre,4707,INR,7
CAR00224,UrbanMove,SUV,Pune,Maharashtra,Pune Airport,Pune City Centre,3118,INR,6
CAR00225,BookGuard Cars,Luxury Sedan,Pune,Maharashtra,Pune Airport,Pune Railway Station,4016,INR,4
CAR00226,TravelGo,Sedan,Ahmedabad,Gujarat,Ahmedabad Airport,Ahmedabad Bus Stand,3170,INR,6
CAR00227,TravelGo,SUV,Hyderabad,Telangana,Hyderabad Airport,Hyderabad Railway Station,1733,INR,5
CAR00228,QuickCab,Tempo Traveller,Lucknow,Uttar Pradesh,Lucknow Airport,Lucknow Railway Station,2341,INR,7
CAR00229,CityRide,SUV,Pune,Maharashtra,Pune Airport,Pune Bus Stand,3430,INR,7
CAR00230,BookGuard Cars,Hatchback,Lucknow,Uttar Pradesh,Lucknow Airport,Lucknow City Centre,1251,INR,5
CAR00231,TravelGo,Hatchback,Ahmedabad,Gujarat,Ahmedabad Airport,Ahmedabad Bus Stand,698,INR,5
CAR00232,BookGuard Cars,SUV,Lucknow,Uttar Pradesh,Lucknow Airport,Lucknow Railway Station,2947,INR,6
CAR00233,CityRide,Tempo Traveller,Pune,Maharashtra,Pune Airport,Pune Railway Station,1396,INR,7
