event_id,transaction_id,booking_id,provider_id,event_type,resource_type,status,message,timestamp
EVT0000019,TXN000762,BK000566,PROV00277,rollback_success,transport,pending,resource unavailable,2026-11-12T11:37:00
EVT0000020,TXN000982,BK000789,PROV00030,resource_locked,flight_seat,failure,provider unavailable,2026-11-19T03:17:00
EVT0000021,TXN000326,BK000840,PROV00097,payment_failure,hotel_room,success,rollback completed,2027-01-05T05:50:00
EVT0000022,TXN000255,BK000074,PROV00010,payment_failure,flight_seat,pending,operation completed,2026-10-27T22:30:00
EVT0000023,TXN000859,BK000237,PROV00285,booking_cancelled,transport,failure,provider unavailable,2027-01-25T23:44:00
EVT0000024,TXN000584,BK000854,PROV00224,payment_failure,flight_seat,pending,rollback initiated,2027-02-27T23:24:00
EVT0000025,TXN000019,BK000297,PROV00093,rollback_started,activity_slot,failure,request timed out,2026-11-26T10:17:00
EVT0000026,TXN000459,BK000433,PROV00207,resource_locked,hotel_room,failure,rollback initiated,2027-03-19T20:31:00
EVT0000027,TXN000446,BK000158,PROV00155,payment_success,hotel_room,success,operation completed,2027-03-06T21:57:00
EVT0000028,TXN000588,BK000537,PROV00122,booking_confirmed,transport,failure,operation completed,2027-01-18T03:41:00
EVT0000029,TXN000155,BK000850,PROV00174,availability_checked,hotel_room,success,rollback completed,2027-02-13T00:38:00
EVT0000030,TXN000839,BK000135,PROV00111,resource_locked,flight_seat,failure,rollback completed,2027-01-31T02:44:00
EVT0000031,TXN000116,BK000605,PROV00122,payment_failure,hotel_room,pending,rollback completed,2027-01-25T00:25:00
EVT0000032,TXN000703,BK000443,PROV00212,booking_confirmed,transport,success,request timed out,2027-03-24T08:25:00
EVT0000033,TXN000618,BK000859,PROV00049,rollback_started,hotel_room,pending,provider unavailable,2026-11-18T03:37:00
EVT0000034,TXN000129,BK000228,PROV00281,rollback_started,transport,pending,rollback initiated,2026-12-14T17:22:00
EVT0000035,TXN000176,BK000554,PROV00146,payment_failure,hotel_room,success,rollback completed,2027-01-02T22:59:00
EVT0000036,TXN000821,BK000549,PROV00106,provider_success,transport,success,payment rejected,2026-12-29T17:27:00
EVT0000037,TXN000066,BK000021,PROV00062,booking_confirmed,transport,failure,rollback completed,2026-12-25T23:33:00
EVT0000038,TXN000577,BK000204,PROV00242,provider_called,flight_seat,success,provider unavailable,2027-03-26T04:27:00
EVT0000039,TXN000270,BK000938,PROV00093,availability_checked,flight_seat,pending,request timed out,2026-10-31T00:27:00
EVT0000040,TXN000466,BK000574,PROV00182,booking_confirmed,activity_slot,success,rollback completed,2026-12-29T22:27:00
EVT0000041,TXN000064,BK000187,PROV00220,payment_started,hotel_room,pending,payment rejected,2027-01-06T13:07:00
EVT0000042,TXN000321,BK000038,PROV00275,payment_started,hotel_room,pending,rollback initiated,2027-02-09T20:04:00
EVT0000043,TXN000718,BK000679,PROV00225,rollback_started,transport,failure,rollback completed,2027-03-08T04:58:00
EVT0000044,TXN000212,BK000866,PROV00265,provider_called,hotel_room,failure,rollback completed,2027-03-29T08:49:00
EVT0000045,TXN000677,BK000703,PROV00178,booking_started,hotel_room,success,request timed out,2027-02-16T11:27:00
EVT0000046,TXN000322,BK000686,PROV00278,rollback_started,transport,pending,resource unavailable,2026-11-29T19:27:00
EVT0000047,TXN000966,BK000892,PROV00056,rollback_failure,flight_seat,success,rollback completed,2027-03-30T07:48:00
EVT0000048,TXN000196,BK000029,PROV00236,availability_checked,transport,pending,payment rejected,2026-11-04T19:00:00
EVT0000049,TXN000167,BK000199,PROV00149,rollback_started,activity_slot,success,rollback initiated,2026-11-08T20:42:00
EVT0000050,TXN000122,BK000051,PROV00108,payment_started,activity_slot,pending,request timed out,2027-03-18T18:04:00
EVT0000051,TXN000930,BK000082,PROV00188,booking_confirmed,activity_slot,success,operation completed,2027-01-04T11:03:00
EVT0000052,TXN000550,BK000495,PROV00234,payment_success,activity_slot,pending,operation completed,2027-03-25T10:40:00
EVT0000053,TXN000045,BK000105,PROV00061,payment_failure,activity_slot,pending,resource unavailable,2026-11-19T00:01:00
EVT0000054,TXN000892,BK000830,PROV00238,resource_locked,hotel_room,success,rollback initiated,2026-10-04T06:24:00
EVT0000055,TXN000641,BK000003,PROV00045,booking_confirmed,activity_slot,failure,rollback initiated,2027-02-09T14:03:00
EVT0000056,TXN000673,BK000515,PROV00248,resource_locked,activity_slot,pending,request timed out,2026-12-30T23:04:00
EVT0000057,TXN000189,BK000073,PROV00280,resource_locked,flight_seat,pending,provider unavailable,2027-01-04T15:53:00
EVT0000058,TXN000029,BK000018,PROV00068,payment_failure,hotel_room,pending,rollback initiated,2027-02-25T03:51:00
EVT0000059,TXN000281,BK000100,PROV00191,provider_success,flight_seat,failure,request timed out,2027-03-16T13:56:00
EVT0000060,TXN000157,BK000495,PROV00230,rollback_success,transport,success,request timed out,2026-12-31T08:42:00
EVT0000061,TXN000914,BK000242,PROV00181,rollback_failure,activity_slot,success,payment rejected,2027-03-28T19:51:00
EVT0000062,TXN000923,BK000565,PROV00171,rollback_started,activity_slot,failure,request timed out,2027-03-11T15:20:00
EVT0000063,TXN000861,BK000821,PROV00140,payment_success,activity_slot,pending,operation completed,2027-03-18T13:45:00
EVT0000064,TXN000606,BK000688,PROV00211,booking_started,hotel_room,pending,operation completed,2027-02-24T05:22:00
EVT0000065,TXN000893,BK000542,PROV00124,rollback_failure,hotel_room,success,provider unavailable,2027-02-24T02:02:00
EVT0000066,TXN000197,BK000905,PROV00269,booking_cancelled,transport,success,resource unavailable,2027-01-08T14:17:00
EVT0000067,TXN000274,BK000389,PROV00120,booking_cancelled,activity_slot,success,rollback completed,2026-11-29T07:27:00
EVT0000068,TXN000207,BK000271,PROV00085,provider_failure,activity_slot,failure,provider unavailable,2026-12-25T20:31:00
EVT0000069,TXN000312,BK000998,PROV00150,booking_confirmed,activity_slot,success,payment rejected,2027-03-29T18:27:00
EVT0000070,TXN000529,BK000677,PROV00249,provider_success,activity_slot,pending,resource unavailable,2027-01-31T23:34:00
EVT0000071,TXN000981,BK000355,PROV00283,payment_started,flight_seat,failure,provider unavailable,2026-12-06T06:12:00
EVT0000072,TXN000416,BK000864,PROV00028,payment_failure,flight_seat,failure,rollback initiated,2027-01-30T05:11:00
EVT0000073,TXN000765,BK000876,PROV00101,availability_checked,flight_seat,failure,rollback completed,2026-10-30T12:21:00
EVT0000074,TXN000147,BK000190,PROV00143,rollback_success,hotel_room,failure,rollback completed,2027-02-18T22:05:00
EVT0000075,TXN000057,BK000944,PROV00142,booking_started,activity_slot,failure,payment rejected,2027-01-25T16:18:00
EVT0000076,TXN000893,BK000159,PROV00183,booking_cancelled,activity_slot,failure,rollback completed,2027-01-01T06:03:00
EVT0000077,TXN000223,BK000933,PROV00131,provider_success,activity_slot,success,request timed out,2027-01-14T04:23:00
EVT0000078,TXN000471,BK000895,PROV00083,rollback_started,activity_slot,failure,request timed out,2027-02-09T10:55:00
EVT0000079,TXN000929,BK000599,PROV00026,payment_started,hotel_room,success,rollback completed,2027-03-12T15:44:00
EVT0000080,TXN000550,BK000618,PROV00130,provider_failure,activity_slot,pending,payment rejected,2027-02-25T18:36:00
EVT0000081,TXN000654,BK000787,PROV00121,payment_started,transport,failure,provider unavailable,2027-01-26T14:26:00
EVT0000082,TXN000078,BK000064,PROV00238,booking_cancelled,hotel_room,success,provider unavailable,2026-10-23T21:30:00
EVT0000083,TXN000561,BK000614,PROV00027,availability_checked,flight_seat,success,rollback completed,2027-01-11T04:17:00
EVT0000084,TXN000494,BK000755,PROV00064,provider_failure,flight_seat,success,provider unavailable,2026-10-21T02:36:00
EVT0000085,TXN000826,BK000398,PROV00150,provider_failure,flight_seat,success,payment rejected,2026-10-29T07:15:00
EVT0000086,TXN000100,BK000423,PROV00236,provider_success,flight_seat,pending,request timed out,2026-10-31T13:50:00
EVT0000087,TXN000921,BK000253,PROV00012,rollback_success,activity_slot,failure,payment rejected,2026-10-04T07:58:00
EVT0000088,TXN000817,BK000150,PROV00190,payment_failure,hotel_room,failure,rollback completed,2027-03-17T11:29:00
EVT0000089,TXN000596,BK000740,PROV00252,availability_checked,hotel_room,pending,rollback initiated,2027-01-20T06:52:00
EVT0000090,TXN000418,BK000402,PROV00086,payment_failure,activity_slot,pending,request timed out,2027-02-22T15:41:00
EVT0000091,TXN000191,BK000709,PROV00194,provider_failure,flight_seat,success,operation completed,2027-02-05T09:03:00
EVT0000092,TXN000418,BK000286,PROV00181,booking_confirmed,flight_seat,success,rollback initiated,2026-12-27T15:27:00
EVT0000093,TXN000975,BK000159,PROV00288,rollback_failure,hotel_room,pending,rollback completed,2026-12-14T00:19:00
EVT0000094,TXN000279,BK000712,PROV00135,provider_success,transport,success,resource unavailable,2027-01-19T07:26:00
EVT0000095,TXN000209,BK000652,PROV00273,rollback_success,flight_seat,failure,operation completed,2026-10-05T16:35:00
EVT0000096,TXN000733,BK000801,PROV00192,payment_started,hotel_room,failure,rollback completed,2027-01-26T15:00:00
EVT0000097,TXN000348,BK000227,PROV00045,availability_checked,flight_seat,pending,resource unavailable,2027-03-06T17:25:00
EVT0000098,TXN000962,BK000348,PROV00108,booking_started,transport,failure,rollback initiated,2027-03-12T07:37:00
EVT0000099,TXN000642,BK000386,PROV00187,booking_confirmed,flight_seat,pending,payment rejected,2026-12-24T01:53:00
EVT0000100,TXN000570,BK000498,PROV00215,provider_success,activity_slot,success,request timed out,2027-01-10T14:02:00
EVT0000101,TXN000048,BK000944,PROV00151,booking_cancelled,transport,failure,payment rejected,2027-01-16T05:57:00
EVT0000102,TXN000723,BK000798,PROV00074,provider_called,flight_seat,success,resource unavailable,2027-02-09T15:08:00
EVT0000103,TXN000729,BK000996,PROV00287,payment_started,hotel_room,failure,resource unavailable,2026-11-23T12:47:00
EVT0000104,TXN000830,BK000507,PROV00043,provider_called,activity_slot,success,provider unavailable,2027-01-27T23:48:00
EVT0000105,TXN000517,BK000609,PROV00150,provider_called,activity_slot,failure,operation completed,2027-03-28T09:28:00
EVT0000106,TXN000818,BK000243,PROV00203,rollback_started,transport,failure,rollback initiated,2027-03-07T19:23:00
EVT0000107,TXN000009,BK000413,PROV00232,rollback_started,hotel_room,success,rollback initiated,2026-10-14T07:39:00
EVT0000108,TXN000720,BK000697,PROV00100,provider_called,transport,failure,resource unavailable,2027-02-28T13:50:00
EVT0000109,TXN000376,BK000403,PROV00120,booking_cancelled,transport,failure,rollback initiated,2026-11-15T20:27:00
EVT0000110,TXN000234,BK000709,PROV00083,resource_locked,flight_seat,pending,rollback completed,2026-10-17T02:46:00
EVT0000111,TXN000008,BK000439,PROV00196,booking_confirmed,flight_seat,failure,operation completed,2026-11-15T15:36:00
EVT0000112,TXN000006,BK000800,PROV00101,payment_started,hotel_room,failure,provider unavailable,2026-10-29T19:15:00
EVT0000113,TXN000610,BK000028,PROV00104,payment_success,activity_slot,success,payment rejected,2027-03-06T20:59:00
EVT0000114,TXN000156,BK000982,PROV00177,resource_locked,hotel_room,success,request timed out,2027-03-01T17:35:00
EVT0000115,TXN000182,BK000812,PROV00227,booking_confirmed,hotel_room,success,request timed out,2026-12-25T20:12:00
EVT0000116,TXN000021,BK000663,PROV00069,provider_success,transport,failure,rollback completed,2027-03-15T01:50:00
EVT0000117,TXN000732,BK000405,PROV00008,provider_called,activity_slot,pending,rollback completed,2027-03-08T03:59:00
EVT0000118,TXN000320,BK000385,PROV00277,provider_success,flight_seat,success,rollback completed,2026-10-08T20:14:00
EVT0000119,TXN000689,BK000224,PROV00245,payment_success,activity_slot,pending,request timed out,2026-12-16T15:29:00
EVT0000120,TXN000792,BK000227,PROV00132,rollback_started,flight_seat,success,provider unavailable,2026-12-17T15:30:00
EVT0000121,TXN000948,BK000173,PROV00103,payment_started,hotel_room,success,provider unavailable,2026-12-29T04:40:00
EVT0000122,TXN000903,BK000384,PROV00084,booking_started,activity_slot,success,request timed out,2027-01-17T22:37:00
EVT0000123,TXN000088,BK000973,PROV00270,payment_started,flight_seat,failure,payment rejected,2027-02-14T03:48:00
EVT0000124,TXN000488,BK000591,PROV00026,rollback_failure,flight_seat,success,rollback completed,2026-11-12T01:06:00
EVT0000125,TXN000888,BK000620,PROV00069,availability_checked,transport,success,resource unavailable,2026-11-29T15:36:00
EVT0000126,TXN000722,BK000776,PROV00143,rollback_failure,hotel_room,failure,payment rejected,2027-03-09T23:26:00
EVT0000127,TXN000757,BK000104,PROV00180,payment_failure,activity_slot,pending,resource unavailable,2026-11-19T00:24:00
EVT0000128,TXN000540,BK000973,PROV00096,booking_confirmed,hotel_room,failure,request timed out,2027-01-12T05:47:00
EVT0000129,TXN000815,BK000333,PROV00201,payment_success,hotel_room,success,payment rejected,2027-02-08T04:01:00
EVT0000130,TXN000781,BK000750,PROV00185,booking_started,hotel_room,pending,resource unavailable,2027-03-21T01:36:00
EVT0000131,TXN000527,BK000895,PROV00102,payment_success,transport,success,operation completed,2027-02-21T12:55:00
EVT0000132,TXN000750,BK000723,PROV00278,booking_cancelled,activity_slot,pending,provider unavailable,2026-10-31T08:03:00
EVT0000133,TXN000675,BK000291,PROV00202,booking_confirmed,hotel_room,failure,rollback completed,2026-10-30T01:55:00
EVT0000134,TXN000451,BK000215,PROV00163,resource_locked,transport,success,payment rejected,2027-03-03T15:24:00
EVT0000135,TXN000989,BK000806,PROV00159,provider_failure,flight_seat,pending,rollback initiated,2026-12-26T01:05:00
EVT0000136,TXN000205,BK000241,PROV00294,provider_success,transport,success,rollback initiated,2027-03-26T20:17:00
EVT0000137,TXN000410,BK000606,PROV00271,rollback_success,hotel_room,pending,rollback initiated,2027-03-19T08:34:00
EVT0000138,TXN000849,BK000855,PROV00082,booking_started,flight_seat,failure,rollback completed,2027-02-02T07:03:00
EVT0000139,TXN000764,BK000751,PROV00099,provider_success,hotel_room,pending,rollback completed,2027-03-22T09:18:00
EVT0000140,TXN000253,BK000633,PROV00041,resource_locked,activity_slot,pending,provider unavailable,2026-10-29T00:15:00
EVT0000141,TXN000311,BK000942,PROV00050,rollback_success,hotel_room,pending,payment rejected,2027-03-15T04:23:00
EVT0000142,TXN000489,BK000924,PROV00269,payment_failure,hotel_room,pending,rollback initiated,2027-03-01T03:03:00
EVT0000143,TXN000563,BK000344,PROV00272,booking_cancelled,transport,failure,rollback initiated,2027-01-06T11:10:00
EVT0000144,TXN000139,BK000244,PROV00249,rollback_success,activity_slot,success,provider unavailable,2026-12-12T12:49:00
EVT0000145,TXN000716,BK000385,PROV00266,resource_locked,hotel_room,success,request timed out,2026-11-28T21:04:00
EVT0000146,TXN000835,BK000738,PROV00174,booking_cancelled,flight_seat,success,rollback completed,2027-01-10T06:32:00
EVT0000147,TXN000211,BK000364,PROV00026,rollback_started,hotel_room,failure,provider unavailable,2027-03-11T20:29:00
EVT0000148,TXN000837,BK000813,PROV00170,rollback_success,hotel_room,pending,rollback initiated,2026-11-10T12:33:00
EVT0000149,TXN000063,BK000052,PROV00259,provider_failure,transport,success,rollback completed,2026-11-09T01:37:00
EVT0000150,TXN000296,BK000914,PROV00222,payment_success,transport,success,request timed out,2026-12-30T19:04:00
EVT0000151,TXN000690,BK000344,PROV00165,booking_started,flight_seat,failure,resource unavailable,2026-11-27T15:25:00
EVT0000152,TXN000349,BK000661,PROV00094,resource_locked,transport,failure,rollback initiated,2027-03-06T01:06:00
EVT0000153,TXN000338,BK000367,PROV00266,rollback_started,transport,success,provider unavailable,2026-11-23T18:50:00
EVT0000154,TXN000370,BK000952,PROV00138,resource_locked,activity_slot,failure,payment rejected,2027-03-29T09:25:00
EVT0000155,TXN000713,BK000248,PROV00246,provider_failure,activity_slot,pending,payment rejected,2026-12-31T23:52:00
EVT0000156,TXN000385,BK000949,PROV00082,rollback_success,flight_seat,pending,rollback initiated,2027-01-23T15:38:00
EVT0000157,TXN000714,BK000649,PROV00202,rollback_success,hotel_room,failure,rollback initiated,2027-01-13T22:54:00
EVT0000158,TXN000494,BK000568,PROV00187,booking_cancelled,transport,pending,rollback initiated,2027-01-17T00:38:00
EVT0000159,TXN000430,BK000318,PROV00025,booking_confirmed,flight_seat,success,rollback completed,2027-03-08T22:36:00
EVT0000160,TXN000421,BK000382,PROV00077,payment_started,flight_seat,pending,rollback completed,2027-02-08T15:43:00
EVT0000161,TXN000336,BK000620,PROV00048,booking_cancelled,hotel_room,failure,request timed out,2026-10-08T12:04:00
EVT0000162,TXN000637,BK000068,PROV00264,resource_locked,transport,pending,resource unavailable,2026-10-11T20:31:00
EVT0000163,TXN000408,BK000507,PROV00207,provider_called,transport,failure,request timed out,2027-01-03T21:14:00
EVT0000164,TXN000509,BK000185,PROV00265,availability_checked,activity_slot,success,rollback completed,2026-12-20T20:28:00
EVT0000165,TXN000583,BK000289,PROV00279,booking_cancelled,activity_slot,failure,request timed out,2027-02-22T09:43:00
EVT0000166,TXN000237,BK000974,PROV00030,provider_failure,flight_seat,failure,resource unavailable,2027-03-28T14:45:00
EVT0000167,TXN000209,BK000140,PROV00218,payment_success,activity_slot,failure,operation completed,2027-03-04T05:16:00
EVT0000168,TXN000026,BK000451,PROV00142,provider_called,flight_seat,pending,rollback initiated,2027-03-27T14:24:00
EVT0000169,TXN000720,BK000806,PROV00204,rollback_started,activity_slot,failure,provider unavailable,2026-10-09T13:32:00
EVT0000170,TXN000507,BK000774,PROV00062,booking_confirmed,flight_seat,pending,payment rejected,2026-12-13T12:18:00
EVT0000171,TXN000868,BK000240,PROV00104,resource_locked,transport,success,rollback initiated,2026-10-15T13:13:00
EVT0000172,TXN000604,BK000724,PROV00268,rollback_success,activity_slot,pending,payment rejected,2027-03-12T14:28:00
EVT0000173,TXN000717,BK000818,PROV00154,rollback_success,transport,success,provider unavailable,2026-12-17T20:14:00
EVT0000174,TXN000421,BK000236,PROV00023,booking_started,hotel_room,success,provider unavailable,2027-01-15T04:30:00
EVT0000175,TXN000277,BK000749,PROV00181,provider_called,hotel_room,failure,resource unavailable,2026-10-04T14:04:00
EVT0000176,TXN000623,BK000704,PROV00292,payment_success,hotel_room,success,operation completed,2026-10-08T05:53:00
EVT0000177,TXN000678,BK000085,PROV00275,payment_success,transport,success,provider unavailable,2026-10-13T19:31:00
EVT0000178,TXN000493,BK000498,PROV00257,booking_cancelled,transport,success,rollback initiated,2026-12-08T14:51:00
EVT0000179,TXN000601,BK000708,PROV00277,payment_failure,transport,failure,resource unavailable,2027-01-01T08:46:00
EVT0000180,TXN000034,BK000591,PROV00248,booking_cancelled,transport,success,rollback initiated,2027-01-28T05:36:00
EVT0000181,TXN000895,BK000688,PROV00237,booking_confirmed,activity_slot,pending,rollback completed,2027-03-18T23:38:00
EVT0000182,TXN000599,BK000799,PROV00210,availability_checked,transport,success,rollback completed,2027-02-25T22:02:00
EVT0000183,TXN000138,BK000203,PROV00137,payment_started,hotel_room,failure,operation completed,2027-02-25T00:05:00
EVT0000184,TXN000647,BK000279,PROV00125,rollback_success,hotel_room,pending,operation completed,2026-11-08T21:16:00
EVT0000185,TXN000083,BK000386,PROV00085,provider_success,flight_seat,failure,rollback initiated,2027-02-05T04:29:00
EVT0000186,TXN000753,BK000109,PROV00292,payment_failure,transport,failure,request timed out,2026-11-21T01:20:00
EVT0000187,TXN000501,BK000428,PROV00096,provider_success,hotel_room,failure,operation completed,2027-01-12T23:30:00
EVT0000188,TXN000931,BK000730,PROV00150,provider_called,hotel_room,success,rollback initiated,2026-10-26T13:54:00
EVT0000189,TXN000735,BK000717,PROV00253,payment_success,hotel_room,success,operation completed,2027-03-13T18:00:00
EVT0000190,TXN000699,BK000440,PROV00013,resource_locked,transport,pending,operation completed,2026-12-19T09:58:00
EVT0000191,TXN000097,BK000508,PROV00211,provider_failure,hotel_room,success,rollback completed,2027-01-03T06:17:00
EVT0000192,TXN000991,BK000871,PROV00019,payment_success,activity_slot,failure,rollback initiated,2027-03-02T04:41:00
EVT0000193,TXN000575,BK000082,PROV00248,payment_started,activity_slot,success,rollback completed,2027-02-08T03:38:00
EVT0000194,TXN000880,BK000054,PROV00249,payment_success,flight_seat,pending,rollback completed,2027-01-16T03:28:00
EVT0000195,TXN000074,BK000263,PROV00280,rollback_failure,hotel_room,success,operation completed,2026-11-11T03:33:00
EVT0000196,TXN000060,BK000161,PROV00177,payment_failure,transport,pending,rollback initiated,2027-03-13T04:22:00
EVT0000197,TXN000038,BK000892,PROV00282,payment_failure,transport,failure,payment rejected,2027-02-18T08:27:00
EVT0000198,TXN000713,BK000183,PROV00084,rollback_success,activity_slot,failure,rollback initiated,2026-11-18T03:39:00
EVT0000199,TXN000820,BK000864,PROV00264,rollback_started,hotel_room,failure,rollback initiated,2027-01-22T02:07:00
EVT0000200,TXN000153,BK000700,PROV00257,rollback_success,flight_seat,failure,resource unavailable,2026-10-25T11:22:00
EVT0000201,TXN000280,BK000986,PROV00034,rollback_started,activity_slot,success,rollback completed,2027-02-21T22:01:00
EVT0000202,TXN000829,BK000349,PROV00210,availability_checked,activity_slot,pending,rollback initiated,2027-01-08T02:45:00
EVT0000203,TXN000742,BK000883,PROV00046,availability_checked,activity_slot,failure,payment rejected,2027-03-06T20:53:00
EVT0000204,TXN000563,BK000769,PROV00045,booking_cancelled,hotel_room,pending,payment rejected,2026-10-24T19:38:00
EVT0000205,TXN000365,BK000971,PROV00174,rollback_started,hotel_room,success,rollback completed,2027-01-06T14:43:00
EVT0000206,TXN000231,BK000636,PROV00106,provider_success,activity_slot,pending,provider unavailable,2027-02-19T16:48:00
EVT0000207,TXN000157,BK000066,PROV00096,payment_failure,flight_seat,pending,rollback completed,2026-11-07T03:49:00
EVT0000208,TXN000629,BK000803,PROV00098,booking_started,hotel_room,pending,resource unavailable,2027-01-11T21:15:00
EVT0000209,TXN000901,BK000039,PROV00010,provider_called,hotel_room,pending,resource unavailable,2027-02-12T12:04:00
EVT0000210,TXN000811,BK000175,PROV00125,provider_success,flight_seat,success,request timed out,2026-12-25T10:50:00
EVT0000211,TXN000672,BK000681,PROV00131,payment_failure,transport,failure,operation completed,2027-03-04T06:54:00
EVT0000212,TXN000852,BK000259,PROV00192,booking_confirmed,transport,success,rollback completed,2026-11-28T20:52:00
EVT0000213,TXN000122,BK000247,PROV00084,provider_called,flight_seat,failure,rollback initiated,2027-01-13T09:00:00
EVT0000214,TXN000738,BK000079,PROV00022,booking_cancelled,activity_slot,pending,request timed out,2027-01-19T13:51:00
EVT0000215,TXN000801,BK000706,PROV00166,rollback_failure,hotel_room,pending,rollback completed,2027-02-20T22:09:00
EVT0000216,TXN000744,BK000171,PROV00043,payment_failure,transport,success,payment rejected,2027-01-16T01:16:00
EVT0000217,TXN000869,BK000936,PROV00285,availability_checked,flight_seat,failure,rollback completed,2026-10-04T00:44:00
EVT0000218,TXN000901,BK000195,PROV00248,payment_failure,activity_slot,failure,payment rejected,2026-11-09T00:55:00
EVT0000219,TXN000762,BK000515,PROV00027,availability_checked,hotel_room,failure,rollback completed,2026-12-14T13:10:00
EVT0000220,TXN000077,BK000404,PROV00252,payment_success,hotel_room,success,request timed out,2026-12-30T19:10:00
EVT0000221,TXN000809,BK000381,PROV00206,resource_locked,activity_slot,success,operation completed,2026-11-21T00:36:00
EVT0000222,TXN000635,BK000684,PROV00243,rollback_failure,flight_seat,failure,provider unavailable,2026-10-24T21:36:00
EVT0000223,TXN000733,BK000367,PROV00276,provider_called,flight_seat,success,request timed out,2027-01-13T03:59:00
EVT0000224,TXN000839,BK000611,PROV00028,availability_checked,transport,success,operation completed,2026-10-19T22:24:00
EVT0000225,TXN000179,BK000163,PROV00257,provider_called,flight_seat,failure,payment rejected,2026-12-02T21:41:00
EVT0000226,TXN000601,BK000069,PROV00117,payment_success,flight_seat,pending,provider unavailable,2026-10-11T08:34:00
EVT0000227,TXN000929,BK000939,PROV00209,resource_locked,transport,pending,payment rejected,2027-01-06T04:43:00
EVT0000228,TXN000387,BK000767,PROV00071,payment_started,flight_seat,success,rollback completed,2027-02-18T14:55:00
EVT0000229,TXN000541,BK000811,PROV00155,provider_called,activity_slot,pending,provider unavailable,2027-01-23T01:36:00
EVT0000230,TXN000080,BK000667,PROV00264,rollback_started,activity_slot,pending,rollback completed,2026-11-23T10:25:00
EVT0000231,TXN000105,BK000185,PROV00243,resource_locked,transport,pending,rollback completed,2026-12-27T16:06:00
EVT0000232,TXN000026,BK000128,PROV00254,rollback_failure,hotel_room,failure,resource unavailable,2027-02-08T21:08:00
EVT0000233,TXN000234,BK000692,PROV00037,rollback_success,hotel_room,failure,provider unavailable,2027-02-20T16:54:00
EVT0000234,TXN000022,BK000309,PROV00042,availability_checked,flight_seat,failure,provider unavailable,2026-11-06T17:14:00
EVT0000235,TXN000545,BK000011,PROV00189,payment_started,hotel_room,failure,payment rejected,2026-12-11T17:49:00
EVT0000236,TXN000214,BK000122,PROV00293,rollback_failure,hotel_room,success,provider unavailable,2027-02-16T05:56:00
EVT0000237,TXN000523,BK000367,PROV00230,rollback_failure,hotel_room,success,rollback initiated,2027-02-18T08:40:00
EVT0000238,TXN000463,BK000691,PROV00145,provider_success,flight_seat,success,request timed out,2026-12-24T04:22:00
EVT0000239,TXN000410,BK000193,PROV00099,availability_checked,flight_seat,failure,resource unavailable,2026-10-29T17:49:00
EVT0000240,TXN000414,BK000435,PROV00204,provider_success,flight_seat,failure,payment rejected,2027-01-29T07:02:00
EVT0000241,TXN000546,BK000572,PROV00086,rollback_failure,transport,pending,rollback initiated,2027-02-10T19:40:00
EVT0000242,TXN000847,BK000151,PROV00180,booking_started,flight_seat,pending,provider unavailable,2026-10-05T15:07:00
EVT0000243,TXN000563,BK000794,PROV00033,payment_failure,hotel_room,failure,rollback initiated,2027-01-09T17:13:00
