transaction_id,booking_id,customer_id,transaction_type,provider_count,total_amount,currency,status,failure_type,rollback_required,retry_count,created_at
TXN000033,BK000692,CUST00283,multi_provider_booking,1,2264,INR,failed,payment_failed,yes,0,2027-02-02
TXN000034,BK000364,CUST00019,single_booking,2,45899,INR,failed,network_error,yes,3,2027-03-08
TXN000035,BK000349,CUST00035,retry,2,63161,INR,failed,validation_error,yes,2,2027-02-20
TXN000036,BK000808,CUST00038,single_booking,2,49766,INR,failed,provider_rejected,yes,3,2026-10-23
TXN000037,BK000124,CUST00200,multi_provider_booking,4,127838,INR,failed,provider_rejected,yes,0,2027-03-13
TXN000038,BK000161,CUST00235,multi_provider_booking,2,20157,INR,failed,inventory_unavailable,yes,1,2026-12-13
TXN000039,BK000616,CUST00174,rollback,1,70902,INR,failed,validation_error,yes,3,2026-12-28
TXN000040,BK000534,CUST00246,retry,4,37116,INR,failed,inventory_unavailable,yes,1,2026-11-16
TXN000041,BK000776,CUST00240,rollback,3,78302,INR,failed,provider_rejected,yes,2,2026-11-13
TXN000042,BK000872,CUST00160,single_booking,1,48381,INR,failed,validation_error,yes,3,2026-11-02
TXN000043,BK000163,CUST00245,retry,3,73724,INR,failed,network_error,yes,1,2026-10-30
TXN000044,BK000974,CUST00208,single_booking,1,116118,INR,failed,inventory_unavailable,yes,3,2026-12-20
TXN000045,BK000243,CUST00114,rollback,4,61724,INR,failed,payment_failed,yes,1,2026-10-11
TXN000046,BK000053,CUST00294,rollback,3,10259,INR,failed,network_error,yes,0,2027-01-04
TXN000047,BK000885,CUST00239,single_booking,1,96735,INR,failed,payment_failed,yes,1,2026-12-03
TXN000048,BK000603,CUST00294,single_booking,1,77158,INR,failed,payment_failed,yes,2,2027-03-12
TXN000049,BK000801,CUST00294,multi_provider_booking,1,95321,INR,failed,inventory_unavailable,yes,3,2027-03-04
TXN000050,BK000538,CUST00300,retry,1,89201,INR,failed,payment_failed,yes,1,2026-12-22
TXN000051,BK000754,CUST00291,multi_provider_booking,2,84296,INR,failed,network_error,yes,0,2026-11-16
TXN000052,BK000249,CUST00098,multi_provider_booking,4,76563,INR,failed,validation_error,yes,2,2027-03-23
TXN000053,BK000306,CUST00026,rollback,1,99309,INR,failed,validation_error,yes,1,2027-03-20
TXN000054,BK000889,CUST00161,multi_provider_booking,2,115035,INR,failed,network_error,yes,0,2027-02-11
TXN000055,BK000107,CUST00014,retry,1,120757,INR,failed,validation_error,yes,2,2027-03-13
TXN000056,BK000587,CUST00273,single_booking,3,123555,INR,failed,network_error,yes,0,2026-12-12
TXN000057,BK000904,CUST00170,retry,3,104576,INR,failed,network_error,yes,0,2026-12-16
TXN000058,BK000559,CUST00106,rollback,4,95350,INR,failed,payment_failed,yes,2,2026-10-28
TXN000059,BK000098,CUST00150,single_booking,2,93009,INR,failed,provider_timeout,yes,3,2026-10-26
TXN000060,BK000376,CUST00264,rollback,2,135826,INR,failed,provider_timeout,yes,1,2026-11-19
TXN000061,BK000641,CUST00083,retry,3,20917,INR,failed,validation_error,yes,1,2027-01-13
TXN000062,BK000869,CUST00287,multi_provider_booking,4,85270,INR,failed,provider_rejected,yes,3,2027-02-22
TXN000063,BK000738,CUST00300,rollback,3,88263,INR,failed,network_error,yes,3,2026-12-16
TXN000064,BK000846,CUST00016,rollback,1,7733,INR,failed,provider_timeout,yes,0,2027-02-06
TXN000065,BK000600,CUST00157,multi_provider_booking,3,67644,INR,partial_failure,,yes,2,2027-02-08
TXN000066,BK000855,CUST00181,multi_provider_booking,3,123404,INR,failed,provider_rejected,yes,2,2026-12-14
TXN000067,BK000459,CUST00127,retry,4,94884,INR,failed,inventory_unavailable,yes,3,2026-11-19
TXN000068,BK000815,CUST00099,retry,4,128409,INR,failed,payment_failed,yes,2,2026-11-08
TXN000069,BK000255,CUST00123,multi_provider_booking,4,2692,INR,failed,provider_timeout,yes,2,2026-11-05
TXN000070,BK000803,CUST00086,rollback,2,75394,INR,failed,network_error,yes,0,2027-03-16
TXN000071,BK000961,CUST00008,retry,3,91702,INR,failed,inventory_unavailable,yes,0,2027-02-09
TXN000072,BK000822,CUST00078,retry,4,38011,INR,failed,provider_rejected,yes,2,2026-10-23
TXN000073,BK000651,CUST00286,retry,2,107054,INR,failed,payment_failed,yes,2,2027-01-29
TXN000074,BK000931,CUST00008,rollback,1,12340,INR,failed,validation_error,yes,2,2027-02-13
TXN000075,BK000826,CUST00192,retry,1,52215,INR,failed,provider_timeout,yes,3,2026-12-12
TXN000076,BK000935,CUST00154,rollback,2,121285,INR,failed,validation_error,yes,3,2027-02-10
TXN000077,BK000407,CUST00211,retry,1,27339,INR,failed,inventory_unavailable,yes,1,2027-03-01
TXN000078,BK000244,CUST00271,rollback,4,89254,INR,failed,provider_rejected,yes,2,2027-01-13
TXN000079,BK000284,CUST00263,single_booking,1,102974,INR,failed,provider_rejected,yes,0,2027-01-11
TXN000080,BK000871,CUST00057,retry,2,94567,INR,failed,network_error,yes,0,2026-10-25
TXN000081,BK000945,CUST00073,retry,1,48533,INR,success,,no,2,2027-03-29
TXN000082,BK000751,CUST00051,retry,3,46086,INR,failed,provider_rejected,yes,0,2026-12-26
TXN000083,BK000633,CUST00171,single_booking,2,69814,INR,failed,inventory_unavailable,yes,1,2026-12-29
TXN000084,BK000725,CUST00012,rollback,4,65026,INR,failed,payment_failed,yes,2,2027-03-11
TXN000085,BK000453,CUST00262,single_booking,3,125492,INR,failed,validation_error,yes,0,2026-11-19
TXN000086,BK000222,CUST00241,single_booking,4,3653,INR,failed,provider_rejected,yes,0,2026-10-04
TXN000087,BK000197,CUST00099,rollback,1,78704,INR,failed,provider_timeout,yes,2,2027-03-07
TXN000088,BK000177,CUST00101,rollback,4,105807,INR,rolled_back,,yes,1,2026-12-13
TXN000089,BK000215,CUST00225,retry,1,81607,INR,failed,validation_error,yes,1,2026-12-11
TXN000090,BK000297,CUST00040,rollback,2,129963,INR,failed,inventory_unavailable,yes,2,2027-01-03
TXN000091,BK000483,CUST00172,single_booking,1,26056,INR,failed,network_error,yes,1,2026-10-25
TXN000092,BK000964,CUST00226,single_booking,3,7308,INR,failed,network_error,yes,2,2026-10-07
TXN000093,BK000801,CUST00241,retry,1,47619,INR,rolled_back,,yes,1,2026-11-30
TXN000094,BK000961,CUST00076,retry,2,58329,INR,partial_failure,,yes,1,2027-03-27
TXN000095,BK000095,CUST00057,retry,3,94194,INR,failed,payment_failed,yes,2,2026-11-21
TXN000096,BK000528,CUST00072,retry,4,59240,INR,failed,inventory_unavailable,yes,1,2027-01-29
TXN000097,BK000984,CUST00257,single_booking,3,29710,INR,failed,provider_timeout,yes,2,2026-12-20
TXN000098,BK000793,CUST00181,retry,2,7759,INR,failed,provider_rejected,yes,3,2027-03-29
TXN000099,BK000375,CUST00101,rollback,1,119448,INR,partial_failure,,yes,2,2027-01-24
TXN000100,BK000889,CUST00142,retry,1,148942,INR,failed,validation_error,yes,2,2027-03-26
TXN000101,BK000878,CUST00229,multi_provider_booking,4,108951,INR,failed,provider_rejected,yes,3,2026-12-30
TXN000102,BK000010,CUST00016,single_booking,2,48506,INR,failed,payment_failed,yes,3,2027-02-10
TXN000103,BK000079,CUST00084,single_booking,1,11648,INR,failed,inventory_unavailable,yes,0,2027-01-11
TXN000104,BK000724,CUST00251,retry,4,59745,INR,failed,provider_rejected,yes,2,2026-11-11
TXN000105,BK000480,CUST00107,multi_provider_booking,1,138019,INR,failed,provider_rejected,yes,2,2027-02-27
TXN000106,BK000075,CUST00285,retry,1,76189,INR,failed,validation_error,yes,3,2027-03-11
TXN000107,BK000364,CUST00041,rollback,1,91283,INR,failed,inventory_unavailable,yes,0,2027-01-01
TXN000108,BK000639,CUST00089,single_booking,3,118647,INR,failed,validation_error,yes,1,2026-10-15
TXN000109,BK000794,CUST00097,rollback,3,95141,INR,failed,inventory_unavailable,yes,3,2027-01-13
TXN000110,BK000965,CUST00143,retry,3,13431,INR,failed,payment_failed,yes,0,2026-11-10
TXN000111,BK000394,CUST00016,single_booking,2,6920,INR,failed,provider_rejected,yes,3,2027-01-05
TXN000112,BK000646,CUST00234,retry,4,9159,INR,failed,validation_error,yes,0,2027-02-05
TXN000113,BK000702,CUST00175,multi_provider_booking,3,55549,INR,failed,payment_failed,yes,0,2026-10-13
TXN000114,BK000191,CUST00103,single_booking,1,96562,INR,failed,validation_error,yes,0,2026-10-06
TXN000115,BK000811,CUST00171,single_booking,4,29196,INR,failed,network_error,yes,0,2026-12-09
TXN000116,BK000910,CUST00232,single_booking,3,109926,INR,failed,payment_failed,yes,1,2026-11-22
TXN000117,BK000145,CUST00084,rollback,4,1122,INR,success,,no,1,2026-11-24
TXN000118,BK000821,CUST00290,single_booking,4,117959,INR,success,,no,2,2026-11-03
TXN000119,BK000776,CUST00267,single_booking,2,52606,INR,failed,inventory_unavailable,yes,0,2026-11-29
TXN000120,BK000955,CUST00173,single_booking,3,131122,INR,failed,provider_rejected,yes,3,2026-12-05
TXN000121,BK000270,CUST00052,single_booking,1,58318,INR,failed,provider_timeout,yes,1,2027-02-16
TXN000122,BK000295,CUST00162,single_booking,2,75995,INR,failed,inventory_unavailable,yes,1,2026-11-25
TXN000123,BK000808,CUST00038,multi_provider_booking,3,56836,INR,failed,inventory_unavailable,yes,3,2026-10-19
TXN000124,BK000473,CUST00209,rollback,2,69719,INR,failed,inventory_unavailable,yes,2,2026-10-18
TXN000125,BK000667,CUST00077,multi_provider_booking,4,93170,INR,failed,provider_timeout,yes,0,2027-03-11
TXN000126,BK000416,CUST00165,multi_provider_booking,1,39851,INR,failed,network_error,yes,2,2027-01-03
TXN000127,BK000068,CUST00269,multi_provider_booking,3,12512,INR,partial_failure,,yes,3,2026-10-29
TXN000128,BK000950,CUST00200,rollback,2,95099,INR,failed,provider_timeout,yes,1,2026-11-07
TXN000129,BK000621,CUST00151,rollback,3,52026,INR,success,,no,3,2026-10-28
TXN000130,BK000975,CUST00219,multi_provider_booking,2,55732,INR,failed,provider_rejected,yes,0,2027-01-17
TXN000131,BK000068,CUST00270,multi_provider_booking,1,4292,INR,failed,provider_rejected,yes,3,2026-11-17
TXN000132,BK000622,CUST00185,retry,4,49885,INR,failed,validation_error,yes,1,2026-12-16
TXN000133,BK000218,CUST00283,single_booking,4,113603,INR,failed,validation_error,yes,3,2026-11-10
TXN000134,BK000976,CUST00294,single_booking,4,37451,INR,failed,provider_rejected,yes,0,2026-10-12
TXN000135,BK000137,CUST00022,multi_provider_booking,3,85869,INR,failed,validation_error,yes,1,2027-02-07
TXN000136,BK000726,CUST00004,multi_provider_booking,4,86405,INR,failed,payment_failed,yes,1,2026-12-15
TXN000137,BK000184,CUST00116,retry,2,35084,INR,failed,provider_timeout,yes,0,2027-03-02
TXN000138,BK000367,CUST00277,multi_provider_booking,4,107229,INR,success,,no,3,2026-12-14
TXN000139,BK000091,CUST00106,rollback,1,73064,INR,failed,validation_error,yes,1,2026-12-15
TXN000140,BK000508,CUST00134,multi_provider_booking,3,119422,INR,failed,provider_timeout,yes,3,2026-10-11
TXN000141,BK000760,CUST00236,single_booking,3,117682,INR,failed,validation_error,yes,1,2026-10-18
TXN000142,BK000176,CUST00195,single_booking,1,57062,INR,rolled_back,,yes,2,2026-12-12
TXN000143,BK000472,CUST00276,single_booking,3,144323,INR,failed,payment_failed,yes,2,2026-10-13
TXN000144,BK000176,CUST00145,rollback,1,112371,INR,failed,validation_error,yes,3,2026-12-28
TXN000145,BK000492,CUST00104,rollback,1,93975,INR,failed,payment_failed,yes,0,2027-01-06
TXN000146,BK000248,CUST00237,single_booking,1,52720,INR,failed,validation_error,yes,3,2027-03-12
TXN000147,BK000684,CUST00255,retry,1,145683,INR,partial_failure,,yes,2,2027-01-29
TXN000148,BK000636,CUST00190,retry,1,25749,INR,failed,validation_error,yes,1,2027-03-05
TXN000149,BK000540,CUST00233,rollback,3,132510,INR,failed,validation_error,yes,3,2027-03-22
TXN000150,BK000775,CUST00151,multi_provider_booking,4,105795,INR,failed,payment_failed,yes,0,2026-10-14
TXN000151,BK000598,CUST00138,rollback,4,34696,INR,failed,network_error,yes,1,2027-03-01
TXN000152,BK000321,CUST00031,multi_provider_booking,2,94023,INR,failed,network_error,yes,2,2027-01-13
TXN000153,BK000595,CUST00170,multi_provider_booking,3,103563,INR,failed,provider_rejected,yes,2,2026-10-10
TXN000154,BK000677,CUST00091,retry,3,95355,INR,failed,provider_rejected,yes,1,2027-02-26
TXN000155,BK000024,CUST00100,single_booking,3,29292,INR,failed,provider_rejected,yes,1,2027-03-26
TXN000156,BK000495,CUST00264,retry,3,121166,INR,failed,payment_failed,yes,0,2026-10-14
TXN000157,BK000474,CUST00072,multi_provider_booking,3,112765,INR,failed,provider_rejected,yes,1,2027-01-16
TXN000158,BK000975,CUST00231,retry,4,35765,INR,failed,validation_error,yes,2,2027-03-28
TXN000159,BK000560,CUST00165,retry,1,97316,INR,partial_failure,,yes,3,2027-02-03
TXN000160,BK000776,CUST00071,retry,2,134721,INR,failed,provider_rejected,yes,0,2027-02-14
TXN000161,BK000309,CUST00289,rollback,3,149380,INR,failed,validation_error,yes,0,2027-03-05
TXN000162,BK000997,CUST00269,single_booking,3,22948,INR,failed,provider_timeout,yes,1,2026-10-25
TXN000163,BK000774,CUST00288,multi_provider_booking,2,71971,INR,failed,provider_rejected,yes,1,2026-12-23
TXN000164,BK000848,CUST00273,rollback,1,29525,INR,partial_failure,,yes,0,2027-03-25
TXN000165,BK000091,CUST00078,multi_provider_booking,3,77819,INR,failed,provider_rejected,yes,0,2027-02-16
TXN000166,BK000412,CUST00278,retry,2,41842,INR,failed,payment_failed,yes,3,2026-10-10
TXN000167,BK000454,CUST00055,single_booking,3,136567,INR,failed,network_error,yes,1,2026-10-10
TXN000168,BK000942,CUST00270,rollback,2,8300,INR,rolled_back,,yes,0,2026-12-14
TXN000169,BK000902,CUST00114,single_booking,4,29752,INR,failed,provider_timeout,yes,3,2026-10-19
TXN000170,BK000444,CUST00079,multi_provider_booking,4,11026,INR,failed,payment_failed,yes,2,2026-10-13
TXN000171,BK000417,CUST00209,retry,2,63790,INR,failed,network_error,yes,3,2026-12-21
TXN000172,BK000639,CUST00114,rollback,4,127173,INR,success,,no,1,2027-01-31
TXN000173,BK000755,CUST00162,multi_provider_booking,4,34142,INR,failed,validation_error,yes,1,2027-01-20
TXN000174,BK000487,CUST00247,single_booking,2,1548,INR,failed,payment_failed,yes,2,2026-11-25
TXN000175,BK000989,CUST00005,retry,2,42292,INR,failed,validation_error,yes,1,2026-12-24
TXN000176,BK000041,CUST00290,single_booking,1,6633,INR,failed,provider_timeout,yes,3,2026-12-27
TXN000177,BK000267,CUST00241,rollback,4,41753,INR,failed,network_error,yes,1,2027-03-16
TXN000178,BK000370,CUST00179,multi_provider_booking,1,66488,INR,failed,provider_timeout,yes,0,2026-12-24
TXN000179,BK000755,CUST00212,multi_provider_booking,2,27681,INR,failed,inventory_unavailable,yes,2,2026-12-01
TXN000180,BK000975,CUST00023,retry,1,16946,INR,failed,inventory_unavailable,yes,0,2026-11-18
TXN000181,BK000424,CUST00171,single_booking,1,78930,INR,failed,provider_timeout,yes,2,2026-11-01
TXN000182,BK000782,CUST00287,retry,3,12826,INR,rolled_back,,yes,1,2026-11-26
TXN000183,BK000185,CUST00169,retry,3,47086,INR,failed,inventory_unavailable,yes,2,2026-11-24
TXN000184,BK000384,CUST00118,multi_provider_booking,4,52842,INR,failed,payment_failed,yes,0,2026-12-22
TXN000185,BK000187,CUST00208,multi_provider_booking,3,145583,INR,failed,payment_failed,yes,0,2027-03-30
TXN000186,BK000288,CUST00286,rollback,2,129466,INR,failed,network_error,yes,2,2027-03-27
TXN000187,BK000735,CUST00073,rollback,4,129710,INR,failed,payment_failed,yes,2,2026-12-24
TXN000188,BK000598,CUST00132,retry,3,20167,INR,rolled_back,,yes,1,2027-01-11
TXN000189,BK000881,CUST00092,multi_provider_booking,3,88379,INR,failed,provider_rejected,yes,0,2026-12-04
TXN000190,BK000258,CUST00210,multi_provider_booking,4,9911,INR,failed,inventory_unavailable,yes,1,2026-11-11
TXN000191,BK000905,CUST00230,multi_provider_booking,3,106580,INR,failed,validation_error,yes,2,2027-01-16
TXN000192,BK000576,CUST00134,rollback,1,27134,INR,partial_failure,,yes,2,2027-02-25
TXN000193,BK000989,CUST00137,multi_provider_booking,3,38387,INR,failed,validation_error,yes,1,2027-01-22
TXN000194,BK000140,CUST00276,single_booking,3,80058,INR,failed,inventory_unavailable,yes,3,2027-02-16
TXN000195,BK000639,CUST00172,rollback,3,62301,INR,failed,provider_timeout,yes,1,2026-11-12
TXN000196,BK000236,CUST00280,rollback,2,104422,INR,failed,validation_error,yes,2,2027-02-27
TXN000197,BK000544,CUST00053,retry,2,101939,INR,failed,payment_failed,yes,3,2026-11-05
TXN000198,BK000297,CUST00208,retry,2,54760,INR,failed,validation_error,yes,3,2027-01-04
TXN000199,BK000087,CUST00293,retry,3,3912,INR,failed,provider_rejected,yes,0,2026-11-30
TXN000200,BK000118,CUST00288,multi_provider_booking,3,132206,INR,success,,no,0,2027-01-23
TXN000201,BK000593,CUST00126,single_booking,4,36728,INR,rolled_back,,yes,1,2026-10-03
TXN000202,BK000465,CUST00157,single_booking,3,107336,INR,failed,validation_error,yes,3,2027-01-19
TXN000203,BK000611,CUST00243,rollback,3,96667,INR,failed,inventory_unavailable,yes,1,2027-01-11
TXN000204,BK000773,CUST00065,single_booking,1,48644,INR,failed,payment_failed,yes,1,2026-12-01
TXN000205,BK000113,CUST00092,retry,3,35686,INR,failed,provider_rejected,yes,3,2027-02-21
TXN000206,BK000967,CUST00203,retry,1,23713,INR,failed,provider_rejected,yes,3,2026-12-21
TXN000207,BK000910,CUST00041,single_booking,3,79191,INR,failed,provider_rejected,yes,0,2026-10-18
TXN000208,BK000102,CUST00012,single_booking,2,135410,INR,rolled_back,,yes,3,2027-02-02
TXN000209,BK000446,CUST00222,retry,4,143288,INR,rolled_back,,yes,2,2026-12-31
TXN000210,BK000259,CUST00147,single_booking,1,54589,INR,failed,provider_timeout,yes,3,2026-10-15
TXN000211,BK000339,CUST00191,multi_provider_booking,1,94949,INR,failed,provider_rejected,yes,2,2027-03-29
TXN000212,BK000266,CUST00054,retry,1,21387,INR,failed,validation_error,yes,0,2027-01-08
TXN000213,BK000438,CUST00282,single_booking,2,33999,INR,failed,provider_rejected,yes,3,2026-12-21
TXN000214,BK000746,CUST00245,multi_provider_booking,3,84500,INR,rolled_back,,yes,2,2027-02-01
TXN000215,BK000468,CUST00230,multi_provider_booking,2,36066,INR,failed,provider_rejected,yes,1,2027-03-01
TXN000216,BK000239,CUST00294,single_booking,2,89750,INR,failed,provider_timeout,yes,1,2027-03-21
TXN000217,BK000079,CUST00233,single_booking,2,104298,INR,partial_failure,,yes,1,2027-03-07
TXN000218,BK000576,CUST00257,single_booking,3,30443,INR,failed,provider_timeout,yes,2,2027-01-17
TXN000219,BK000361,CUST00271,multi_provider_booking,2,38090,INR,failed,payment_failed,yes,1,2026-11-10
TXN000220,BK000162,CUST00074,multi_provider_booking,1,70960,INR,failed,network_error,yes,2,2026-10-29
TXN000221,BK000073,CUST00141,rollback,4,142755,INR,failed,payment_failed,yes,1,2027-01-07
TXN000222,BK000531,CUST00131,single_booking,2,4189,INR,failed,provider_rejected,yes,3,2027-02-20
TXN000223,BK000790,CUST00183,single_booking,2,144035,INR,failed,network_error,yes,3,2026-12-19
TXN000224,BK000391,CUST00029,rollback,4,143296,INR,failed,provider_timeout,yes,2,2027-03-26
TXN000225,BK000259,CUST00106,retry,1,121521,INR,failed,validation_error,yes,2,2027-01-14
TXN000226,BK000775,CUST00181,multi_provider_booking,4,41520,INR,failed,validation_error,yes,3,2026-10-30
TXN000227,BK000628,CUST00101,rollback,1,66057,INR,failed,provider_rejected,yes,1,2026-11-26
TXN000228,BK000086,CUST00027,rollback,3,100181,INR,failed,validation_error,yes,1,2026-12-11
TXN000229,BK000107,CUST00172,multi_provider_booking,4,36000,INR,failed,inventory_unavailable,yes,3,2026-10-16
TXN000230,BK000874,CUST00206,retry,3,49126,INR,failed,inventory_unavailable,yes,1,2026-11-27
TXN000231,BK000287,CUST00252,retry,1,138987,INR,failed,payment_failed,yes,2,2026-12-04
TXN000232,BK000690,CUST00264,retry,3,120925,INR,failed,validation_error,yes,1,2026-12-15
TXN000233,BK000717,CUST00004,retry,1,85808,INR,failed,provider_timeout,yes,3,2026-11-19
TXN000234,BK000188,CUST00157,rollback,3,16042,INR,failed,validation_error,yes,1,2026-12-07
TXN000235,BK000880,CUST00042,single_booking,3,15448,INR,failed,network_error,yes,3,2026-12-31
TXN000236,BK000520,CUST00290,rollback,4,148054,INR,failed,payment_failed,yes,1,2027-02-04
TXN000237,BK000025,CUST00289,single_booking,2,121540,INR,failed,validation_error,yes,3,2026-12-07
TXN000238,BK000075,CUST00063,single_booking,2,67427,INR,failed,validation_error,yes,3,2027-01-21
TXN000239,BK000079,CUST00030,rollback,2,132398,INR,failed,provider_rejected,yes,2,2027-01-18
TXN000240,BK000461,CUST00238,rollback,4,142312,INR,failed,inventory_unavailable,yes,2,2026-10-31
TXN000241,BK000596,CUST00002,single_booking,2,143112,INR,success,,no,0,2026-10-02
TXN000242,BK000212,CUST00042,rollback,4,79902,INR,failed,network_error,yes,0,2026-11-08
TXN000243,BK000887,CUST00090,multi_provider_booking,3,88979,INR,failed,network_error,yes,1,2027-02-10
TXN000244,BK000829,CUST00285,multi_provider_booking,1,128857,INR,failed,inventory_unavailable,yes,2,2026-10-13
TXN000245,BK000142,CUST00178,single_booking,2,87836,INR,failed,validation_error,yes,2,2027-03-02
TXN000246,BK000638,CUST00271,multi_provider_booking,3,44148,INR,partial_failure,,yes,1,2027-01-28
TXN000247,BK000423,CUST00250,retry,2,134162,INR,failed,network_error,yes,1,2027-02-28
TXN000248,BK000127,CUST00059,rollback,2,113149,INR,failed,payment_failed,yes,1,2027-03-15
TXN000249,BK000484,CUST00287,rollback,2,6549,INR,rolled_back,,yes,1,2026-10-07
TXN000250,BK000335,CUST00059,single_booking,2,20067,INR,failed,validation_error,yes,1,2027-03-09
TXN000251,BK000301,CUST00097,retry,4,1598,INR,failed,network_error,yes,1,2026-10-22
TXN000252,BK000807,CUST00031,rollback,2,140350,INR,failed,payment_failed,yes,2,2026-12-10
TXN000253,BK000153,CUST00109,retry,2,116825,INR,failed,validation_error,yes,3,2026-11-09
TXN000254,BK000268,CUST00103,single_booking,2,26882,INR,failed,validation_error,yes,2,2026-12-07
TXN000255,BK000496,CUST00149,retry,4,118290,INR,failed,provider_timeout,yes,1,2027-03-06
TXN000256,BK000129,CUST00226,multi_provider_booking,1,48299,INR,failed,network_error,yes,0,2027-03-25
TXN000257,BK000713,CUST00064,single_booking,4,92817,INR,failed,inventory_unavailable,yes,2,2026-11-28
TXN000258,BK000097,CUST00157,single_booking,1,12259,INR,failed,payment_failed,yes,3,2026-12-07
TXN000259,BK000283,CUST00090,rollback,4,95452,INR,failed,validation_error,yes,3,2026-11-14
TXN000260,BK000785,CUST00216,rollback,4,38151,INR,failed,network_error,yes,1,2027-02-27
TXN000261,BK000122,CUST00013,multi_provider_booking,3,34031,INR,failed,provider_timeout,yes,2,2026-10-19
TXN000262,BK000357,CUST00198,retry,4,100024,INR,failed,provider_timeout,yes,2,2026-10-05
TXN000263,BK000714,CUST00256,rollback,4,65191,INR,failed,provider_timeout,yes,0,2026-12-15
TXN000264,BK000956,CUST00225,multi_provider_booking,3,64920,INR,failed,inventory_unavailable,yes,3,2026-11-07
TXN000265,BK000890,CUST00079,multi_provider_booking,3,15768,INR,success,,no,0,2027-01-14
TXN000266,BK000670,CUST00086,retry,1,108806,INR,failed,network_error,yes,3,2027-03-07
TXN000267,BK000863,CUST00014,retry,1,84752,INR,failed,payment_failed,yes,3,2027-02-04
TXN000268,BK000121,CUST00283,retry,4,57473,INR,failed,network_error,yes,2,2027-02-08
TXN000269,BK000146,CUST00182,single_booking,3,7606,INR,failed,payment_failed,yes,2,2026-10-04
TXN000270,BK000111,CUST00086,retry,3,19637,INR,failed,provider_timeout,yes,2,2026-10-09
TXN000271,BK000728,CUST00295,single_booking,3,12107,INR,failed,provider_rejected,yes,1,2027-01-13
TXN000272,BK000521,CUST00294,multi_provider_booking,2,101384,INR,failed,inventory_unavailable,yes,3,2027-02-26
TXN000273,BK000069,CUST00204,single_booking,2,116642,INR,failed,provider_rejected,yes,0,2026-10-31
