hotel_id,name,city,location,rating,reviews,price_per_night,currency,hotel_type
HOT00039,Comfort Agra Lodge 39,Agra,"Agra, Uttar Pradesh, India",2.9,5163,2773,INR,Hotel
HOT00040,Heritage Agra Lodge 40,Agra,"Agra, Uttar Pradesh, India",4.7,2604,2763,INR,Budget Hotel
HOT00041,City Delhi Residency 41,Delhi,"Delhi, Delhi, India",4.0,3878,14130,INR,Hotel
HOT00042,Lakeview Agra Inn 42,Agra,"Agra, Uttar Pradesh, India",4.1,6893,11266,INR,Boutique Hotel
HOT00043,Urban Pune Retreat 43,Pune,"Pune, Maharashtra, India",3.3,6509,5188,INR,Luxury Hotel
HOT00044,Heritage Kochi Retreat 44,Kochi,"Kochi, Kerala, India",4.8,1213,1205,INR,Business Hotel
HOT00045,Green Rishikesh Residency 45,Rishikesh,"Rishikesh, Uttarakhand, India",3.0,3517,17476,INR,Boutique Hotel
HOT00046,Regal Hyderabad Residency 46,Hyderabad,"Hyderabad, Telangana, India",4.6,6079,10238,INR,Resort
HOT00047,Skyline Manali Heights 47,Manali,"Manali, Himachal Pradesh, India",4.1,153,10710,INR,Luxury Hotel
HOT00048,City Chennai Heights 48,Chennai,"Chennai, Tamil Nadu, India",3.0,1778,5993,INR,Boutique Hotel
HOT00049,Green Kochi Palace 49,Kochi,"Kochi, Kerala, India",4.3,3360,9550,INR,Budget Hotel
HOT00050,Central Shimla Inn 50,Shimla,"Shimla, Himachal Pradesh, India",3.0,6964,9966,INR,Hotel
HOT00051,Regal Bengaluru Suites 51,Bengaluru,"Bengaluru, Karnataka, India",4.1,4316,6194,INR,Luxury Hotel
HOT00052,Skyline Manali Hotel 52,Manali,"Manali, Himachal Pradesh, India",4.0,1857,3365,INR,Luxury Hotel
HOT00053,Skyline Hyderabad Inn 53,Hyderabad,"Hyderabad, Telangana, India",4.6,2451,14983,INR,Resort
HOT00054,Central Mumbai Retreat 54,Mumbai,"Mumbai, Maharashtra, India",4.7,678,12624,INR,Resort
HOT00055,Urban Jaipur Residency 55,Jaipur,"Jaipur, Rajasthan, India",3.5,6683,5964,INR,Resort
HOT00056,City Kolkata Hotel 56,Kolkata,"Kolkata, West Bengal, India",2.9,5467,14391,INR,Luxury Hotel
HOT00057,Central Jaipur Suites 57,Jaipur,"Jaipur, Rajasthan, India",4.5,1796,13435,INR,Hotel
HOT00058,Lakeview Shimla Palace 58,Shimla,"Shimla, Himachal Pradesh, India",4.5,7566,12357,INR,Boutique Hotel
HOT00059,Lakeview Jaipur Inn 59,Jaipur,"Jaipur, Rajasthan, India",4.2,6553,11656,INR,Boutique Hotel
HOT00060,Central Delhi Retreat 60,Delhi,"Delhi, Delhi, India",4.1,6573,11751,INR,Hotel
HOT00061,Central Chennai Suites 61,Chennai,"Chennai, Tamil Nadu, India",4.0,4374,2153,INR,Hotel
HOT00062,Palm Rishikesh Retreat 62,Rishikesh,"Rishikesh, Uttarakhand, India",4.3,5164,15199,INR,Budget Hotel
HOT00063,Royal Ooty Hotel 63,Ooty,"Ooty, Tamil Nadu, India",4.7,3139,9246,INR,Hotel
HOT00064,Grand Udaipur Lodge 64,Udaipur,"Udaipur, Rajasthan, India",4.7,3253,12834,INR,Business Hotel
HOT00065,Urban Delhi Retreat 65,Delhi,"Delhi, Delhi, India",4.1,2066,10740,INR,Budget Hotel
HOT00066,Urban Kochi Hotel 66,Kochi,"Kochi, Kerala, India",3.5,4869,5070,INR,Resort
HOT00067,Urban Udaipur Hotel 67,Udaipur,"Udaipur, Rajasthan, India",4.2,2876,10761,INR,Business Hotel
HOT00068,Grand Varanasi Heights 68,Varanasi,"Varanasi, Uttar Pradesh, India",3.4,7068,11459,INR,Business Hotel
HOT00069,Heritage Manali Palace 69,Manali,"Manali, Himachal Pradesh, India",3.9,2805,3678,INR,Boutique Hotel
HOT00070,Urban Ooty Retreat 70,Ooty,"Ooty, Tamil Nadu, India",3.0,3873,11071,INR,Resort
HOT00071,City Pune Inn 71,Pune,"Pune, Maharashtra, India",2.9,7809,3286,INR,Business Hotel
HOT00072,Urban Udaipur Palace 72,Udaipur,"Udaipur, Rajasthan, India",4.3,6316,17099,INR,Business Hotel
HOT00073,City Jaipur Inn 73,Jaipur,"Jaipur, Rajasthan, India",4.7,1771,14831,INR,Resort
HOT00074,Comfort Kolkata Lodge 74,Kolkata,"Kolkata, West Bengal, India",3.8,4107,4876,INR,Business Hotel
HOT00075,Heritage Hyderabad Lodge 75,Hyderabad,"Hyderabad, Telangana, India",4.9,5223,15402,INR,Budget Hotel
HOT00076,Palm Ooty Lodge 76,Ooty,"Ooty, Tamil Nadu, India",3.7,2632,16454,INR,Business Hotel
HOT00077,Lakeview Goa Heights 77,Goa,"Goa, Goa, India",4.4,7964,8739,INR,Boutique Hotel
HOT00078,Royal Manali Heights 78,Manali,"Manali, Himachal Pradesh, India",3.3,5527,11376,INR,Budget Hotel
HOT00079,City Delhi Suites 79,Delhi,"Delhi, Delhi, India",3.3,2528,7910,INR,Hotel
HOT00080,Palm Udaipur Retreat 80,Udaipur,"Udaipur, Rajasthan, India",3.9,6837,2940,INR,Resort
HOT00081,Palm Udaipur Inn 81,Udaipur,"Udaipur, Rajasthan, India",4.6,6257,16529,INR,Hotel
HOT00082,Central Ahmedabad Hotel 82,Ahmedabad,"Ahmedabad, Gujarat, India",4.6,6890,8126,INR,Business Hotel
HOT00083,Central Jaipur Hotel 83,Jaipur,"Jaipur, Rajasthan, India",3.8,6396,11914,INR,Luxury Hotel
HOT00084,Comfort Lucknow Suites 84,Lucknow,"Lucknow, Uttar Pradesh, India",4.6,2116,1783,INR,Business Hotel
HOT00085,Green Agra Inn 85,Agra,"Agra, Uttar Pradesh, India",3.0,7047,5346,INR,Business Hotel
HOT00086,Grand Kolkata Heights 86,Kolkata,"Kolkata, West Bengal, India",3.6,3492,15799,INR,Boutique Hotel
HOT00087,Palm Mysuru Heights 87,Mysuru,"Mysuru, Karnataka, India",4.4,6931,9166,INR,Hotel
HOT00088,Grand Shimla Lodge 88,Shimla,"Shimla, Himachal Pradesh, India",2.9,5758,8247,INR,Luxury Hotel
HOT00089,Urban Delhi Inn 89,Delhi,"Delhi, Delhi, India",4.4,4076,7432,INR,Hotel
HOT00090,City Rishikesh Palace 90,Rishikesh,"Rishikesh, Uttarakhand, India",3.1,1899,8042,INR,Business Hotel
HOT00091,Regal Goa Suites 91,Goa,"Goa, Goa, India",4.1,1901,6266,INR,Boutique Hotel
HOT00092,Green Chennai Inn 92,Chennai,"Chennai, Tamil Nadu, India",4.8,6174,13897,INR,Luxury Hotel
HOT00093,Royal Pune Palace 93,Pune,"Pune, Maharashtra, India",3.0,4966,4866,INR,Budget Hotel
HOT00094,Regal Mumbai Lodge 94,Mumbai,"Mumbai, Maharashtra, India",3.7,6096,3159,INR,Budget Hotel
HOT00095,Grand Mysuru Hotel 95,Mysuru,"Mysuru, Karnataka, India",4.5,1754,15105,INR,Boutique Hotel
HOT00096,Comfort Manali Suites 96,Manali,"Manali, Himachal Pradesh, India",3.7,4450,16743,INR,Business Hotel
HOT00097,Comfort Udaipur Heights 97,Udaipur,"Udaipur, Rajasthan, India",3.5,4047,3739,INR,Boutique Hotel
HOT00098,Lakeview Manali Resort 98,Manali,"Manali, Himachal Pradesh, India",4.0,6234,11923,INR,Hotel
HOT00099,Regal Shimla Suites 99,Shimla,"Shimla, Himachal Pradesh, India",3.8,5838,9365,INR,Boutique Hotel
HOT00100,Green Goa Heights 100,Goa,"Goa, Goa, India",4.0,8489,7160,INR,Hotel
HOT00101,Comfort Jaipur Hotel 101,Jaipur,"Jaipur, Rajasthan, India",3.8,3962,16500,INR,Luxury Hotel
HOT00102,Heritage Shimla Inn 102,Shimla,"Shimla, Himachal Pradesh, India",3.0,3655,14151,INR,Luxury Hotel
HOT00103,Central Jaipur Retreat 103,Jaipur,"Jaipur, Rajasthan, India",3.8,5657,14842,INR,Luxury Hotel
HOT00104,Regal Varanasi Retreat 104,Varanasi,"Varanasi, Uttar Pradesh, India",4.3,4463,10947,INR,Boutique Hotel
HOT00105,Royal Jaipur Palace 105,Jaipur,"Jaipur, Rajasthan, India",3.5,3058,7176,INR,Resort
HOT00106,Central Shimla Lodge 106,Shimla,"Shimla, Himachal Pradesh, India",4.1,1672,7260,INR,Boutique Hotel
HOT00107,Regal Jaipur Suites 107,Jaipur,"Jaipur, Rajasthan, India",3.4,2098,9888,INR,Hotel
HOT00108,Skyline Mumbai Heights 108,Mumbai,"Mumbai, Maharashtra, India",4.3,2093,16985,INR,Hotel
HOT00109,Green Bengaluru Heights 109,Bengaluru,"Bengaluru, Karnataka, India",3.8,7241,12064,INR,Resort
HOT00110,Central Mumbai Resort 110,Mumbai,"Mumbai, Maharashtra, India",3.0,1095,14030,INR,Business Hotel
HOT00111,Green Delhi Inn 111,Delhi,"Delhi, Delhi, India",3.1,5003,3691,INR,Resort
HOT00112,Skyline Chennai Hotel 112,Chennai,"Chennai, Tamil Nadu, India",4.1,3722,13364,INR,Business Hotel
HOT00113,Central Manali Hotel 113,Manali,"Manali, Himachal Pradesh, India",3.4,1011,4151,INR,Resort
HOT00114,Central Pune Residency 114,Pune,"Pune, Maharashtra, India",3.1,2872,3359,INR,Resort
HOT00115,Palm Bengaluru Resort 115,Bengaluru,"Bengaluru, Karnataka, India",4.2,7724,10443,INR,Hotel
HOT00116,Central Jaipur Heights 116,Jaipur,"Jaipur, Rajasthan, India",4.3,7463,3232,INR,Luxury Hotel
HOT00117,Central Jaipur Palace 117,Jaipur,"Jaipur, Rajasthan, India",3.7,3708,5782,INR,Boutique Hotel
HOT00118,Royal Hyderabad Inn 118,Hyderabad,"Hyderabad, Telangana, India",3.1,5064,10357,INR,Business Hotel
HOT00119,Heritage Chennai Heights 119,Chennai,"Chennai, Tamil Nadu, India",4.3,4485,17299,INR,Budget Hotel
HOT00120,Heritage Shimla Residency 120,Shimla,"Shimla, Himachal Pradesh, India",4.1,7103,11461,INR,Budget Hotel
HOT00121,Grand Goa Residency 121,Goa,"Goa, Goa, India",3.3,364,9731,INR,Budget Hotel
HOT00122,City Mumbai Resort 122,Mumbai,"Mumbai, Maharashtra, India",3.9,7270,10014,INR,Resort
HOT00123,Palm Agra Resort 123,Agra,"Agra, Uttar Pradesh, India",4.8,7725,12301,INR,Business Hotel
HOT00124,Regal Mysuru Residency 124,Mysuru,"Mysuru, Karnataka, India",4.6,5428,14388,INR,Luxury Hotel
HOT00125,Central Shimla Hotel 125,Shimla,"Shimla, Himachal Pradesh, India",4.5,626,15803,INR,Hotel
HOT00126,Central Mysuru Retreat 126,Mysuru,"Mysuru, Karnataka, India",3.0,6647,17762,INR,Hotel
HOT00127,Heritage Varanasi Hotel 127,Varanasi,"Varanasi, Uttar Pradesh, India",2.9,5952,17234,INR,Luxury Hotel
HOT00128,Grand Manali Palace 128,Manali,"Manali, Himachal Pradesh, India",3.4,2171,10338,INR,Business Hotel
HOT00129,Royal Shimla Inn 129,Shimla,"Shimla, Himachal Pradesh, India",4.8,3945,6089,INR,Boutique Hotel
HOT00130,Grand Varanasi Lodge 130,Varanasi,"Varanasi, Uttar Pradesh, India",3.7,3706,4617,INR,Business Hotel
HOT00131,Urban Chennai Suites 131,Chennai,"Chennai, Tamil Nadu, India",3.8,4806,17574,INR,Luxury Hotel
HOT00132,Palm Goa Resort 132,Goa,"Goa, Goa, India",4.9,4018,15867,INR,Budget Hotel
HOT00133,Palm Hyderabad Palace 133,Hyderabad,"Hyderabad, Telangana, India",4.7,8352,5373,INR,Hotel
HOT00134,Palm Goa Retreat 134,Goa,"Goa, Goa, India",4.8,8343,9654,INR,Hotel
HOT00135,Comfort Kochi Heights 135,Kochi,"Kochi, Kerala, India",4.6,8047,5769,INR,Business Hotel
HOT00136,Heritage Varanasi Retreat 136,Varanasi,"Varanasi, Uttar Pradesh, India",3.5,6205,15820,INR,Boutique Hotel
HOT00137,Comfort Pune Palace 137,Pune,"Pune, Maharashtra, India",4.0,3851,14360,INR,Hotel
HOT00138,Comfort Mysuru Resort 138,Mysuru,"Mysuru, Karnataka, India",4.3,6271,13551,INR,Luxury Hotel
HOT00139,Heritage Hyderabad Inn 139,Hyderabad,"Hyderabad, Telangana, India",3.1,5464,4188,INR,Business Hotel
HOT00140,Skyline Chennai Resort 140,Chennai,"Chennai, Tamil Nadu, India",2.8,2386,14334,INR,Luxury Hotel
HOT00141,Royal Hyderabad Resort 141,Hyderabad,"Hyderabad, Telangana, India",4.4,4367,11993,INR,Budget Hotel
HOT00142,Urban Lucknow Residency 142,Lucknow,"Lucknow, Uttar Pradesh, India",4.6,6251,11276,INR,Luxury Hotel
HOT00143,Skyline Shimla Inn 143,Shimla,"Shimla, Himachal Pradesh, India",4.1,3871,10316,INR,Resort
HOT00144,Palm Delhi Residency 144,Delhi,"Delhi, Delhi, India",4.4,1671,15438,INR,Resort
HOT00145,Grand Kochi Inn 145,Kochi,"Kochi, Kerala, India",3.5,944,10513,INR,Boutique Hotel
HOT00146,Palm Ahmedabad Suites 146,Ahmedabad,"Ahmedabad, Gujarat, India",3.3,6776,6800,INR,Resort
HOT00147,Royal Kolkata Hotel 147,Kolkata,"Kolkata, West Bengal, India",4.1,3970,17207,INR,Budget Hotel
HOT00148,Lakeview Hyderabad Resort 148,Hyderabad,"Hyderabad, Telangana, India",4.1,7554,9266,INR,Luxury Hotel
HOT00149,Heritage Bengaluru Heights 149,Bengaluru,"Bengaluru, Karnataka, India",4.2,2613,3320,INR,Business Hotel
HOT00150,Green Ahmedabad Heights 150,Ahmedabad,"Ahmedabad, Gujarat, India",4.1,6976,9095,INR,Business Hotel
HOT00151,Lakeview Kochi Hotel 151,Kochi,"Kochi, Kerala, India",4.6,1772,8672,INR,Business Hotel
HOT00152,Regal Agra Heights 152,Agra,"Agra, Uttar Pradesh, India",4.9,4862,1618,INR,Luxury Hotel
HOT00153,Central Lucknow Inn 153,Lucknow,"Lucknow, Uttar Pradesh, India",4.0,828,17176,INR,Boutique Hotel
HOT00154,Green Jaipur Retreat 154,Jaipur,"Jaipur, Rajasthan, India",3.3,3140,9112,INR,Luxury Hotel
HOT00155,Urban Hyderabad Residency 155,Hyderabad,"Hyderabad, Telangana, India",4.7,670,11023,INR,Business Hotel
HOT00156,Green Mumbai Retreat 156,Mumbai,"Mumbai, Maharashtra, India",4.3,1501,10570,INR,Boutique Hotel
HOT00157,City Udaipur Palace 157,Udaipur,"Udaipur, Rajasthan, India",3.1,6019,17342,INR,Boutique Hotel
HOT00158,Central Kolkata Resort 158,Kolkata,"Kolkata, West Bengal, India",4.8,4860,11999,INR,Hotel
HOT00159,Royal Manali Suites 159,Manali,"Manali, Himachal Pradesh, India",4.4,3721,13922,INR,Budget Hotel
HOT00160,Royal Ahmedabad Hotel 160,Ahmedabad,"Ahmedabad, Gujarat, India",2.8,2049,15802,INR,Boutique Hotel
HOT00161,Green Goa Hotel 161,Goa,"Goa, Goa, India",4.5,6111,4450,INR,Luxury Hotel
HOT00162,Heritage Jaipur Inn 162,Jaipur,"Jaipur, Rajasthan, India",4.1,5399,8153,INR,Luxury Hotel
HOT00163,Urban Delhi Resort 163,Delhi,"Delhi, Delhi, India",4.7,4976,14279,INR,Hotel
HOT00164,Grand Hyderabad Inn 164,Hyderabad,"Hyderabad, Telangana, India",3.4,8096,4705,INR,Hotel
HOT00165,Skyline Jaipur Suites 165,Jaipur,"Jaipur, Rajasthan, India",3.6,6103,14633,INR,Budget Hotel
HOT00166,Palm Hyderabad Residency 166,Hyderabad,"Hyderabad, Telangana, India",4.6,6711,10066,INR,Hotel
HOT00167,Lakeview Ahmedabad Resort 167,Ahmedabad,"Ahmedabad, Gujarat, India",3.7,3893,12784,INR,Hotel
HOT00168,Skyline Ahmedabad Retreat 168,Ahmedabad,"Ahmedabad, Gujarat, India",2.9,4545,7119,INR,Hotel
HOT00169,Royal Manali Palace 169,Manali,"Manali, Himachal Pradesh, India",4.1,374,2557,INR,Boutique Hotel
HOT00170,City Jaipur Palace 170,Jaipur,"Jaipur, Rajasthan, India",2.9,3419,7976,INR,Resort
HOT00171,City Mysuru Inn 171,Mysuru,"Mysuru, Karnataka, India",3.4,2395,5159,INR,Budget Hotel
HOT00172,City Goa Residency 172,Goa,"Goa, Goa, India",4.2,447,5218,INR,Hotel
HOT00173,Lakeview Ahmedabad Retreat 173,Ahmedabad,"Ahmedabad, Gujarat, India",2.8,4372,2617,INR,Resort
HOT00174,Skyline Udaipur Residency 174,Udaipur,"Udaipur, Rajasthan, India",4.4,7827,15589,INR,Boutique Hotel
HOT00175,Green Ooty Residency 175,Ooty,"Ooty, Tamil Nadu, India",3.7,3654,2320,INR,Luxury Hotel
HOT00176,Central Ooty Resort 176,Ooty,"Ooty, Tamil Nadu, India",4.2,535,2893,INR,Business Hotel
HOT00177,Palm Lucknow Residency 177,Lucknow,"Lucknow, Uttar Pradesh, India",3.8,7292,3308,INR,Hotel
HOT00178,Green Mysuru Suites 178,Mysuru,"Mysuru, Karnataka, India",2.9,4530,11555,INR,Business Hotel
HOT00179,Skyline Rishikesh Heights 179,Rishikesh,"Rishikesh, Uttarakhand, India",3.8,7073,4149,INR,Luxury Hotel
HOT00180,Urban Chennai Lodge 180,Chennai,"Chennai, Tamil Nadu, India",4.3,3547,14992,INR,Business Hotel
HOT00181,Palm Jaipur Retreat 181,Jaipur,"Jaipur, Rajasthan, India",4.5,6557,14531,INR,Luxury Hotel
HOT00182,Regal Chennai Hotel 182,Chennai,"Chennai, Tamil Nadu, India",3.5,4201,13165,INR,Resort
HOT00183,Royal Shimla Residency 183,Shimla,"Shimla, Himachal Pradesh, India",4.5,1552,15051,INR,Hotel
HOT00184,City Ahmedabad Lodge 184,Ahmedabad,"Ahmedabad, Gujarat, India",2.9,5425,4905,INR,Business Hotel
HOT00185,Urban Ahmedabad Hotel 185,Ahmedabad,"Ahmedabad, Gujarat, India",4.6,867,10325,INR,Budget Hotel
HOT00186,Regal Kochi Residency 186,Kochi,"Kochi, Kerala, India",4.0,3510,5970,INR,Luxury Hotel
HOT00187,Lakeview Shimla Residency 187,Shimla,"Shimla, Himachal Pradesh, India",3.5,6047,4664,INR,Boutique Hotel
HOT00188,Lakeview Agra Hotel 188,Agra,"Agra, Uttar Pradesh, India",4.6,455,9663,INR,Hotel
HOT00189,Central Kolkata Heights 189,Kolkata,"Kolkata, West Bengal, India",4.7,5776,1100,INR,Resort
HOT00190,Green Hyderabad Hotel 190,Hyderabad,"Hyderabad, Telangana, India",2.9,527,3906,INR,Luxury Hotel
HOT00191,Lakeview Ooty Hotel 191,Ooty,"Ooty, Tamil Nadu, India",3.7,5610,6057,INR,Boutique Hotel
HOT00192,Comfort Kochi Retreat 192,Kochi,"Kochi, Kerala, India",4.4,1416,2623,INR,Resort
HOT00193,Green Kolkata Inn 193,Kolkata,"Kolkata, West Bengal, India",4.2,4483,15419,INR,Luxury Hotel
HOT00194,Heritage Udaipur Resort 194,Udaipur,"Udaipur, Rajasthan, India",3.7,3556,17688,INR,Hotel
HOT00195,Palm Ahmedabad Residency 195,Ahmedabad,"Ahmedabad, Gujarat, India",3.4,7997,11006,INR,Hotel
HOT00196,Palm Jaipur Inn 196,Jaipur,"Jaipur, Rajasthan, India",2.8,4963,7821,INR,Resort
HOT00197,Central Goa Retreat 197,Goa,"Goa, Goa, India",3.1,8174,15011,INR,Resort
HOT00198,Palm Hyderabad Lodge 198,Hyderabad,"Hyderabad, Telangana, India",4.3,8221,12505,INR,Hotel
HOT00199,Comfort Lucknow Inn 199,Lucknow,"Lucknow, Uttar Pradesh, India",3.7,7557,3451,INR,Boutique Hotel
HOT00200,Palm Agra Hotel 200,Agra,"Agra, Uttar Pradesh, India",4.3,6868,10386,INR,Hotel
HOT00201,Grand Lucknow Retreat 201,Lucknow,"Lucknow, Uttar Pradesh, India",3.2,7563,12757,INR,Hotel
HOT00202,Royal Udaipur Palace 202,Udaipur,"Udaipur, Rajasthan, India",3.7,6585,3477,INR,Business Hotel
HOT00203,Comfort Kochi Retreat 203,Kochi,"Kochi, Kerala, India",3.3,2779,3402,INR,Budget Hotel
HOT00204,Skyline Chennai Lodge 204,Chennai,"Chennai, Tamil Nadu, India",3.2,5749,12404,INR,Luxury Hotel
HOT00205,Lakeview Hyderabad Residency 205,Hyderabad,"Hyderabad, Telangana, India",3.1,3257,6585,INR,Budget Hotel
HOT00206,Urban Hyderabad Residency 206,Hyderabad,"Hyderabad, Telangana, India",3.2,8120,16102,INR,Budget Hotel
HOT00207,Heritage Agra Retreat 207,Agra,"Agra, Uttar Pradesh, India",4.6,5204,5846,INR,Business Hotel
HOT00208,Heritage Delhi Resort 208,Delhi,"Delhi, Delhi, India",4.1,4525,2740,INR,Boutique Hotel
HOT00209,Royal Ooty Heights 209,Ooty,"Ooty, Tamil Nadu, India",3.8,641,2764,INR,Boutique Hotel
HOT00210,Royal Kochi Residency 210,Kochi,"Kochi, Kerala, India",4.1,8332,13498,INR,Business Hotel
HOT00211,Skyline Agra Inn 211,Agra,"Agra, Uttar Pradesh, India",3.7,3109,11435,INR,Budget Hotel
HOT00212,Skyline Shimla Suites 212,Shimla,"Shimla, Himachal Pradesh, India",4.8,7406,4291,INR,Boutique Hotel
HOT00213,Skyline Delhi Suites 213,Delhi,"Delhi, Delhi, India",2.9,7197,15298,INR,Budget Hotel
HOT00214,Green Ooty Suites 214,Ooty,"Ooty, Tamil Nadu, India",3.6,4659,13594,INR,Business Hotel
HOT00215,Urban Mysuru Inn 215,Mysuru,"Mysuru, Karnataka, India",4.5,5507,3059,INR,Boutique Hotel
HOT00216,Skyline Chennai Hotel 216,Chennai,"Chennai, Tamil Nadu, India",3.4,2488,11823,INR,Hotel
HOT00217,Urban Agra Suites 217,Agra,"Agra, Uttar Pradesh, India",4.7,5107,13743,INR,Resort
HOT00218,Comfort Rishikesh Residency 218,Rishikesh,"Rishikesh, Uttarakhand, India",3.5,6196,11663,INR,Resort
HOT00219,Royal Ooty Hotel 219,Ooty,"Ooty, Tamil Nadu, India",3.9,323,12781,INR,Boutique Hotel
HOT00220,Lakeview Kolkata Retreat 220,Kolkata,"Kolkata, West Bengal, India",4.8,7992,7191,INR,Resort
HOT00221,City Hyderabad Residency 221,Hyderabad,"Hyderabad, Telangana, India",3.4,1682,17535,INR,Budget Hotel
HOT00222,Grand Ooty Retreat 222,Ooty,"Ooty, Tamil Nadu, India",4.6,2172,13244,INR,Resort
HOT00223,City Kolkata Suites 223,Kolkata,"Kolkata, West Bengal, India",4.3,740,14363,INR,Boutique Hotel
HOT00224,Heritage Jaipur Heights 224,Jaipur,"Jaipur, Rajasthan, India",4.4,7380,8567,INR,Budget Hotel
HOT00225,Central Jaipur Resort 225,Jaipur,"Jaipur, Rajasthan, India",4.7,3203,12953,INR,Luxury Hotel
HOT00226,Heritage Agra Resort 226,Agra,"Agra, Uttar Pradesh, India",4.4,6281,17379,INR,Budget Hotel
HOT00227,City Udaipur Palace 227,Udaipur,"Udaipur, Rajasthan, India",4.5,2292,9092,INR,Hotel
