payment_id,booking_id,customer_id,transaction_reference,amount,currency,payment_method,payment_status,gateway,created_at,failure_reason
PAY000026,BK000315,CUST00107,TXN73937824,99493,INR,UPI,success,Cashfree,2026-11-04,
PAY000027,BK000043,CUST00260,TXN99020512,91990,INR,Net Banking,success,PayU,2026-11-29,
PAY000028,BK000311,CUST00233,TXN58182914,28019,INR,Credit Card,success,Cashfree,2026-11-02,
PAY000029,BK000614,CUST00244,TXN33714246,17622,INR,Wallet,success,Razorpay,2027-01-18,
PAY000030,BK000498,CUST00114,TXN27774758,67581,INR,Credit Card,success,PayU,2027-01-03,
PAY000031,BK000599,CUST00044,TXN47851731,10685,INR,Net Banking,success,Cashfree,2026-12-22,
PAY000032,BK000829,CUST00032,TXN24379733,84229,INR,Wallet,success,PayU,2026-10-18,
PAY000033,BK000406,CUST00067,TXN37052954,48320,INR,UPI,success,Razorpay,2026-10-06,
PAY000034,BK000772,CUST00198,TXN93564202,61636,INR,Debit Card,failed,Stripe,2027-03-19,bank_declined
PAY000035,BK000947,CUST00007,TXN27525091,40199,INR,UPI,pending,Razorpay,2027-03-06,
PAY000036,BK000832,CUST00022,TXN12632864,39727,INR,Credit Card,success,PayU,2026-12-24,
PAY000037,BK000491,CUST00228,TXN63984123,77194,INR,Wallet,success,Cashfree,2026-12-05,
PAY000038,BK000382,CUST00019,TXN21806325,87279,INR,Wallet,refunded,Stripe,2027-01-09,
PAY000039,BK000785,CUST00167,TXN32157666,63581,INR,UPI,pending,PayU,2026-11-19,
PAY000040,BK000993,CUST00075,TXN76422936,92795,INR,Credit Card,refunded,Cashfree,2026-12-31,
PAY000041,BK000368,CUST00249,TXN68159673,117406,INR,Credit Card,success,PayU,2026-12-24,
PAY000042,BK000089,CUST00194,TXN23781467,116671,INR,Debit Card,success,Stripe,2026-11-30,
PAY000043,BK000833,CUST00071,TXN54862033,69781,INR,UPI,success,Stripe,2026-11-25,
PAY000044,BK000730,CUST00191,TXN26381290,6482,INR,Credit Card,success,PayU,2026-12-25,
PAY000045,BK000008,CUST00152,TXN25282197,106481,INR,UPI,failed,Stripe,2026-12-23,bank_declined
PAY000046,BK000656,CUST00189,TXN44398595,80910,INR,Wallet,failed,Stripe,2027-03-06,bank_declined
PAY000047,BK000055,CUST00071,TXN45029137,36226,INR,Net Banking,success,Razorpay,2027-02-03,
PAY000048,BK000349,CUST00079,TXN23402167,22610,INR,Credit Card,success,Stripe,2027-02-16,
PAY000049,BK000053,CUST00209,TXN94452947,74100,INR,Net Banking,success,Razorpay,2026-12-16,
PAY000050,BK000860,CUST00069,TXN83501912,63132,INR,UPI,failed,Cashfree,2026-11-29,invalid_payment
PAY000051,BK000984,CUST00120,TXN17268271,71929,INR,Debit Card,failed,Cashfree,2027-01-21,insufficient_funds
PAY000052,BK000585,CUST00275,TXN31910794,66349,INR,Wallet,refunded,Stripe,2027-01-03,
PAY000053,BK000315,CUST00255,TXN98395895,46671,INR,Net Banking,refunded,PayU,2027-01-29,
PAY000054,BK000589,CUST00044,TXN73019732,57023,INR,Debit Card,success,Stripe,2027-03-30,
PAY000055,BK000919,CUST00018,TXN68250741,104132,INR,Net Banking,success,Cashfree,2027-03-08,
PAY000056,BK000311,CUST00083,TXN24617464,85023,INR,Net Banking,success,Stripe,2026-12-04,
PAY000057,BK000024,CUST00156,TXN72705746,12049,INR,Wallet,success,Razorpay,2027-01-29,
PAY000058,BK000536,CUST00115,TXN64634973,21902,INR,Wallet,failed,Cashfree,2027-01-24,gateway_timeout
PAY000059,BK000683,CUST00007,TXN90364350,34405,INR,Debit Card,pending,Razorpay,2026-10-31,
PAY000060,BK000132,CUST00069,TXN22722951,92398,INR,Wallet,success,PayU,2027-03-10,
PAY000061,BK000168,CUST00206,TXN85801650,113400,INR,Credit Card,success,PayU,2026-11-19,
PAY000062,BK000929,CUST00102,TXN41137900,33915,INR,Net Banking,success,Razorpay,2027-02-18,
PAY000063,BK000658,CUST00252,TXN77808820,98994,INR,Debit Card,success,Cashfree,2026-10-27,
PAY000064,BK000656,CUST00170,TXN81360047,21851,INR,Wallet,success,Cashfree,2026-10-31,
PAY000065,BK000901,CUST00036,TXN71298616,102001,INR,Credit Card,success,Razorpay,2026-12-29,
PAY000066,BK000482,CUST00017,TXN53041495,9709,INR,Wallet,refunded,Razorpay,2026-11-09,
PAY000067,BK000709,CUST00021,TXN84974813,103992,INR,Wallet,pending,PayU,2026-12-01,
PAY000068,BK000923,CUST00006,TXN57652701,108674,INR,Wallet,pending,PayU,2026-11-28,
PAY000069,BK000272,CUST00092,TXN75215131,64962,INR,Net Banking,success,Cashfree,2026-10-31,
PAY000070,BK000320,CUST00003,TXN43428094,6169,INR,Wallet,refunded,Cashfree,2027-03-01,
PAY000071,BK000716,CUST00120,TXN22309460,10808,INR,Debit Card,success,PayU,2027-02-03,
PAY000072,BK000691,CUST00276,TXN55205212,2115,INR,Debit Card,success,Stripe,2027-02-09,
PAY000073,BK000206,CUST00205,TXN35276358,10622,INR,Credit Card,success,Razorpay,2027-02-05,
PAY000074,BK000342,CUST00028,TXN35887231,21819,INR,Net Banking,success,Cashfree,2026-10-27,
PAY000075,BK000218,CUST00273,TXN75215658,69680,INR,Credit Card,failed,Stripe,2026-11-23,gateway_timeout
PAY000076,BK000287,CUST00227,TXN17267976,111478,INR,Wallet,success,Razorpay,2027-03-29,
PAY000077,BK000011,CUST00243,TXN60270879,9536,INR,Debit Card,success,Stripe,2027-03-23,
PAY000078,BK000776,CUST00001,TXN81923257,48145,INR,Wallet,success,Cashfree,2026-12-24,
PAY000079,BK000819,CUST00277,TXN86694140,52335,INR,Wallet,success,PayU,2027-02-01,
PAY000080,BK000134,CUST00018,TXN42144415,96163,INR,Debit Card,success,Cashfree,2026-10-24,
PAY000081,BK000076,CUST00239,TXN99383804,99233,INR,Credit Card,success,Razorpay,2027-02-11,
PAY000082,BK000206,CUST00196,TXN88734015,83739,INR,Net Banking,success,Stripe,2026-11-26,
PAY000083,BK000624,CUST00074,TXN32614720,52879,INR,UPI,failed,PayU,2026-10-16,bank_declined
PAY000084,BK000982,CUST00120,TXN90141766,69039,INR,Debit Card,failed,Stripe,2026-12-19,insufficient_funds
PAY000085,BK000557,CUST00286,TXN18825530,79910,INR,Debit Card,success,Stripe,2026-10-18,
PAY000086,BK000554,CUST00086,TXN66702221,20070,INR,UPI,success,Cashfree,2026-10-20,
PAY000087,BK000039,CUST00009,TXN85314331,24412,INR,Credit Card,success,PayU,2027-02-24,
PAY000088,BK000300,CUST00126,TXN27519127,8206,INR,UPI,success,Stripe,2027-02-08,
PAY000089,BK000995,CUST00267,TXN93757138,57138,INR,Credit Card,refunded,Razorpay,2026-10-25,
PAY000090,BK000588,CUST00177,TXN78518511,112437,INR,UPI,success,Stripe,2026-10-30,
PAY000091,BK000602,CUST00300,TXN32196639,4588,INR,Debit Card,failed,Cashfree,2026-12-08,bank_declined
PAY000092,BK000023,CUST00072,TXN75521228,49693,INR,UPI,success,Cashfree,2026-11-25,
PAY000093,BK000723,CUST00244,TXN29618276,46840,INR,UPI,success,Razorpay,2026-12-24,
PAY000094,BK000824,CUST00162,TXN81958668,39590,INR,Credit Card,failed,Razorpay,2026-12-28,invalid_payment
PAY000095,BK000527,CUST00113,TXN25381740,2505,INR,Credit Card,success,Razorpay,2026-11-12,
PAY000096,BK000132,CUST00090,TXN77822958,44343,INR,Net Banking,pending,PayU,2027-01-12,
PAY000097,BK000079,CUST00046,TXN29979337,81863,INR,Debit Card,failed,Stripe,2027-03-26,invalid_payment
PAY000098,BK000621,CUST00257,TXN15991911,104340,INR,Wallet,success,Stripe,2027-01-27,
PAY000099,BK000172,CUST00296,TXN12754017,65789,INR,Net Banking,success,Razorpay,2027-01-22,
PAY000100,BK000831,CUST00259,TXN80697164,50437,INR,Net Banking,success,Cashfree,2027-02-26,
PAY000101,BK000301,CUST00041,TXN92217227,115132,INR,UPI,refunded,Stripe,2027-02-08,
PAY000102,BK000224,CUST00133,TXN69697442,13124,INR,Debit Card,success,Razorpay,2027-01-07,
PAY000103,BK000160,CUST00216,TXN52187898,14136,INR,UPI,pending,Cashfree,2026-11-21,
PAY000104,BK000980,CUST00240,TXN66667788,61959,INR,Credit Card,refunded,Razorpay,2026-12-04,
PAY000105,BK000312,CUST00296,TXN37568404,2805,INR,Wallet,success,Razorpay,2026-10-14,
PAY000106,BK000157,CUST00243,TXN75042030,78610,INR,Credit Card,success,Cashfree,2027-02-09,
PAY000107,BK000103,CUST00194,TXN16689469,57116,INR,Debit Card,pending,Razorpay,2027-03-02,
PAY000108,BK000174,CUST00059,TXN50415199,81149,INR,Credit Card,success,PayU,2027-02-06,
PAY000109,BK000463,CUST00243,TXN38809001,102100,INR,Wallet,success,Cashfree,2027-03-16,
PAY000110,BK000193,CUST00270,TXN13049129,82192,INR,Net Banking,refunded,Stripe,2026-10-11,
PAY000111,BK000364,CUST00167,TXN72927814,41702,INR,UPI,success,Stripe,2026-12-23,
PAY000112,BK000263,CUST00079,TXN43271950,63715,INR,Credit Card,success,PayU,2026-10-18,
PAY000113,BK000182,CUST00202,TXN24320799,78534,INR,Net Banking,success,PayU,2027-02-03,
PAY000114,BK000085,CUST00205,TXN12394072,97715,INR,Credit Card,success,Razorpay,2026-11-30,
PAY000115,BK000102,CUST00022,TXN96115738,58499,INR,Net Banking,pending,PayU,2026-10-29,
PAY000116,BK000871,CUST00273,TXN12918981,60575,INR,UPI,success,Cashfree,2026-10-25,
PAY000117,BK000799,CUST00111,TXN60232385,18426,INR,Wallet,success,Cashfree,2027-03-09,
PAY000118,BK000589,CUST00161,TXN18208840,95615,INR,Credit Card,success,Razorpay,2027-01-23,
PAY000119,BK000691,CUST00259,TXN34787649,100208,INR,UPI,pending,Razorpay,2027-02-20,
PAY000120,BK000588,CUST00147,TXN63169715,79694,INR,Debit Card,success,Stripe,2026-11-19,
PAY000121,BK000306,CUST00263,TXN45082114,15501,INR,Debit Card,failed,Razorpay,2027-01-25,invalid_payment
PAY000122,BK000284,CUST00026,TXN18797327,63605,INR,UPI,failed,Stripe,2027-02-15,invalid_payment
PAY000123,BK000779,CUST00111,TXN71798258,77224,INR,UPI,pending,PayU,2027-03-05,
PAY000124,BK000804,CUST00240,TXN22983836,117476,INR,Debit Card,success,Cashfree,2026-12-15,
PAY000125,BK000734,CUST00065,TXN14540434,15508,INR,Wallet,success,Razorpay,2027-03-22,
PAY000126,BK000667,CUST00145,TXN89121692,64212,INR,UPI,success,Stripe,2027-03-28,
PAY000127,BK000295,CUST00096,TXN48381784,51737,INR,Debit Card,pending,Stripe,2027-01-10,
PAY000128,BK000434,CUST00133,TXN76185635,15535,INR,Debit Card,success,Razorpay,2027-01-31,
PAY000129,BK000997,CUST00250,TXN97962947,34737,INR,UPI,success,PayU,2026-10-29,
PAY000130,BK000463,CUST00242,TXN22486145,103157,INR,UPI,failed,Razorpay,2026-12-31,insufficient_funds
PAY000131,BK000504,CUST00033,TXN16590639,109201,INR,Credit Card,success,Stripe,2026-11-13,
PAY000132,BK000899,CUST00247,TXN70640305,24550,INR,Net Banking,failed,Cashfree,2027-01-07,insufficient_funds
PAY000133,BK000348,CUST00283,TXN81082904,97784,INR,Debit Card,success,PayU,2026-10-22,
PAY000134,BK000382,CUST00257,TXN40412410,67234,INR,Net Banking,refunded,Cashfree,2026-10-19,
PAY000135,BK000101,CUST00050,TXN23256700,27312,INR,Debit Card,refunded,Razorpay,2026-12-28,
PAY000136,BK000048,CUST00049,TXN10786150,54632,INR,Debit Card,success,PayU,2027-01-18,
PAY000137,BK000161,CUST00269,TXN59465642,62792,INR,Credit Card,success,PayU,2027-03-24,
PAY000138,BK000452,CUST00190,TXN62348028,101093,INR,Credit Card,failed,Cashfree,2027-02-26,invalid_payment
PAY000139,BK000247,CUST00076,TXN90647752,23443,INR,Wallet,refunded,Stripe,2026-10-27,
PAY000140,BK000936,CUST00217,TXN52539401,40744,INR,Wallet,pending,Stripe,2027-02-20,
PAY000141,BK000025,CUST00122,TXN47653692,10985,INR,Net Banking,success,PayU,2027-02-11,
PAY000142,BK000609,CUST00017,TXN19599824,79564,INR,UPI,success,Stripe,2026-10-27,
PAY000143,BK000957,CUST00190,TXN76472528,36754,INR,Wallet,success,Cashfree,2027-03-08,
PAY000144,BK000466,CUST00018,TXN75301509,41555,INR,UPI,success,Razorpay,2026-10-19,
PAY000145,BK000264,CUST00300,TXN64694817,80114,INR,UPI,success,PayU,2027-02-14,
PAY000146,BK000022,CUST00122,TXN23907717,8336,INR,Credit Card,success,Cashfree,2027-03-15,
PAY000147,BK000304,CUST00231,TXN55640866,36996,INR,UPI,pending,Cashfree,2027-03-04,
PAY000148,BK000976,CUST00277,TXN48136814,4805,INR,UPI,pending,Stripe,2027-03-17,
PAY000149,BK000266,CUST00166,TXN83850880,56766,INR,UPI,success,Cashfree,2026-11-30,
PAY000150,BK000458,CUST00246,TXN83488450,78547,INR,Debit Card,pending,Razorpay,2026-10-30,
PAY000151,BK000326,CUST00025,TXN73385174,64586,INR,Debit Card,success,PayU,2027-01-02,
PAY000152,BK000934,CUST00157,TXN83882888,58271,INR,Debit Card,success,Razorpay,2027-02-08,
PAY000153,BK000241,CUST00121,TXN63100533,5638,INR,Wallet,success,Cashfree,2027-01-17,
PAY000154,BK000079,CUST00031,TXN73667674,46299,INR,Wallet,failed,Stripe,2026-11-09,insufficient_funds
PAY000155,BK000456,CUST00087,TXN53170525,74913,INR,Debit Card,success,PayU,2027-03-01,
PAY000156,BK000688,CUST00251,TXN92981740,45289,INR,UPI,success,Razorpay,2027-03-21,
PAY000157,BK000083,CUST00029,TXN48408672,40393,INR,Net Banking,success,Cashfree,2026-10-16,
PAY000158,BK000874,CUST00108,TXN19290774,66013,INR,Debit Card,success,PayU,2026-12-19,
PAY000159,BK000865,CUST00150,TXN88062842,5277,INR,Credit Card,success,PayU,2026-12-17,
PAY000160,BK000326,CUST00169,TXN67664983,55190,INR,Debit Card,success,Stripe,2026-11-13,
PAY000161,BK000913,CUST00201,TXN73673318,56244,INR,Credit Card,success,Razorpay,2027-01-15,
PAY000162,BK000787,CUST00224,TXN92334990,71826,INR,Debit Card,success,Razorpay,2027-01-11,
PAY000163,BK000830,CUST00226,TXN68851211,10002,INR,Debit Card,refunded,Cashfree,2026-10-15,
PAY000164,BK000832,CUST00130,TXN72217880,112739,INR,Wallet,refunded,Cashfree,2027-03-18,
PAY000165,BK000704,CUST00206,TXN53187868,22957,INR,Wallet,success,Razorpay,2027-03-09,
PAY000166,BK000850,CUST00229,TXN42876042,11815,INR,Wallet,success,Cashfree,2027-02-28,
PAY000167,BK000607,CUST00207,TXN14691751,35233,INR,Wallet,pending,PayU,2027-01-03,
PAY000168,BK000944,CUST00075,TXN53739250,78933,INR,Credit Card,success,PayU,2027-03-23,
PAY000169,BK000042,CUST00171,TXN91954920,17857,INR,Debit Card,success,Stripe,2027-03-26,
PAY000170,BK000585,CUST00279,TXN10132406,18923,INR,Net Banking,success,Cashfree,2027-03-25,
PAY000171,BK000821,CUST00160,TXN93525050,50129,INR,UPI,failed,Cashfree,2026-10-04,insufficient_funds
PAY000172,BK000169,CUST00249,TXN49025502,86469,INR,Net Banking,success,Cashfree,2027-01-02,
PAY000173,BK000341,CUST00099,TXN70800966,94010,INR,Debit Card,success,Razorpay,2026-10-07,
PAY000174,BK000621,CUST00275,TXN61045034,67026,INR,Credit Card,success,PayU,2026-10-12,
PAY000175,BK000795,CUST00057,TXN37701986,96101,INR,Wallet,success,PayU,2026-11-11,
PAY000176,BK000420,CUST00033,TXN51229179,102352,INR,Debit Card,success,PayU,2027-03-23,
PAY000177,BK000316,CUST00210,TXN46561657,24941,INR,Wallet,success,Cashfree,2027-02-23,
PAY000178,BK000383,CUST00130,TXN80790541,54868,INR,Wallet,success,Stripe,2027-03-14,
PAY000179,BK000846,CUST00029,TXN28073095,105369,INR,Net Banking,success,PayU,2026-12-26,
PAY000180,BK000720,CUST00295,TXN63219153,39085,INR,Net Banking,success,Razorpay,2027-03-08,
PAY000181,BK000348,CUST00148,TXN86494432,94951,INR,Credit Card,success,Razorpay,2027-03-01,
PAY000182,BK000379,CUST00086,TXN40322344,86023,INR,Wallet,success,PayU,2026-10-08,
PAY000183,BK000600,CUST00178,TXN65989589,60703,INR,Net Banking,refunded,Cashfree,2026-11-28,
PAY000184,BK000896,CUST00062,TXN62527622,112946,INR,UPI,success,Razorpay,2027-01-25,
PAY000185,BK000186,CUST00148,TXN75551353,41164,INR,Wallet,success,Razorpay,2026-10-21,
PAY000186,BK000978,CUST00238,TXN35653503,76427,INR,UPI,success,Stripe,2026-12-12,
PAY000187,BK000137,CUST00052,TXN21926209,57928,INR,Wallet,success,PayU,2026-11-22,
PAY000188,BK000980,CUST00093,TXN38885011,105255,INR,Debit Card,success,Cashfree,2026-10-26,
PAY000189,BK000661,CUST00076,TXN69441119,35919,INR,Credit Card,success,Cashfree,2026-12-06,
PAY000190,BK000748,CUST00054,TXN49818737,114813,INR,Debit Card,refunded,Cashfree,2026-11-30,
PAY000191,BK000439,CUST00006,TXN40092752,66960,INR,Debit Card,success,Razorpay,2026-10-16,
PAY000192,BK000411,CUST00294,TXN69084742,65891,INR,UPI,success,Cashfree,2027-03-23,
PAY000193,BK000698,CUST00167,TXN46225943,100597,INR,Wallet,success,Razorpay,2026-10-10,
PAY000194,BK000858,CUST00263,TXN74350839,34767,INR,Wallet,success,PayU,2027-03-14,
PAY000195,BK000202,CUST00300,TXN85264572,1305,INR,Net Banking,success,Stripe,2026-11-02,
PAY000196,BK000131,CUST00287,TXN11922402,73681,INR,Net Banking,success,Cashfree,2027-01-24,
PAY000197,BK000809,CUST00252,TXN71837892,23840,INR,Credit Card,pending,Stripe,2026-11-10,
PAY000198,BK000816,CUST00063,TXN62273169,95251,INR,Debit Card,success,Cashfree,2026-10-25,
PAY000199,BK000957,CUST00182,TXN94887516,94973,INR,Debit Card,pending,Cashfree,2027-01-07,
PAY000200,BK000222,CUST00106,TXN71383878,10824,INR,Credit Card,success,Stripe,2026-11-15,
PAY000201,BK000529,CUST00244,TXN44291025,117630,INR,Wallet,success,Razorpay,2026-11-29,
PAY000202,BK000841,CUST00011,TXN18098689,44483,INR,Net Banking,failed,PayU,2026-12-14,gateway_timeout
PAY000203,BK000160,CUST00196,TXN76005752,32287,INR,UPI,success,Cashfree,2026-12-20,
PAY000204,BK000864,CUST00094,TXN53446481,110420,INR,Credit Card,success,Cashfree,2027-01-26,
PAY000205,BK000044,CUST00189,TXN90278618,90732,INR,Debit Card,success,Stripe,2027-03-14,
PAY000206,BK000750,CUST00277,TXN42551733,66023,INR,Debit Card,success,PayU,2027-03-20,
PAY000207,BK000575,CUST00265,TXN71711711,94213,INR,UPI,failed,Razorpay,2027-03-28,gateway_timeout
PAY000208,BK000914,CUST00226,TXN61777020,40176,INR,Net Banking,success,Cashfree,2026-12-31,
PAY000209,BK000078,CUST00149,TXN62148248,101167,INR,Net Banking,success,Cashfree,2027-01-12,
PAY000210,BK000986,CUST00088,TXN48702798,4868,INR,Credit Card,success,Cashfree,2027-03-27,
PAY000211,BK000623,CUST00273,TXN66982543,96536,INR,Wallet,success,Stripe,2026-10-13,
PAY000212,BK000297,CUST00058,TXN97764768,66582,INR,Net Banking,failed,Razorpay,2026-11-26,bank_declined
PAY000213,BK000516,CUST00178,TXN54146744,100895,INR,Wallet,success,Cashfree,2027-01-12,
PAY000214,BK000577,CUST00241,TXN30761798,32483,INR,Credit Card,success,Razorpay,2027-01-30,
PAY000215,BK000894,CUST00256,TXN90180218,113910,INR,Debit Card,failed,PayU,2027-03-11,invalid_payment
PAY000216,BK000962,CUST00205,TXN84500552,110880,INR,Debit Card,failed,Stripe,2027-01-04,invalid_payment
PAY000217,BK000136,CUST00081,TXN55091872,35414,INR,UPI,success,PayU,2026-12-06,
PAY000218,BK000919,CUST00069,TXN34414878,43025,INR,Wallet,success,Stripe,2026-10-13,
PAY000219,BK000056,CUST00223,TXN69018490,83890,INR,Wallet,success,Stripe,2026-11-25,
PAY000220,BK000413,CUST00183,TXN55406018,114851,INR,Wallet,success,Cashfree,2027-02-27,
PAY000221,BK000199,CUST00158,TXN85916852,7614,INR,Net Banking,success,Razorpay,2026-12-06,
PAY000222,BK000587,CUST00123,TXN88836851,93791,INR,Credit Card,failed,Razorpay,2026-12-09,invalid_payment
PAY000223,BK000646,CUST00208,TXN70296699,13935,INR,UPI,failed,PayU,2027-02-01,gateway_timeout
PAY000224,BK000421,CUST00249,TXN15396751,71621,INR,Debit Card,success,Razorpay,2027-02-26,
PAY000225,BK000794,CUST00103,TXN38683321,7323,INR,Debit Card,success,Stripe,2027-01-08,
PAY000226,BK000886,CUST00045,TXN70871001,114792,INR,Credit Card,success,PayU,2026-11-10,
PAY000227,BK000471,CUST00063,TXN76505509,103212,INR,UPI,failed,Cashfree,2027-02-15,bank_declined
PAY000228,BK000016,CUST00040,TXN92112367,69234,INR,Debit Card,success,Cashfree,2026-10-25,
PAY000229,BK000863,CUST00140,TXN75686092,118706,INR,Debit Card,failed,Cashfree,2027-02-03,insufficient_funds
PAY000230,BK000681,CUST00066,TXN36293749,18047,INR,Credit Card,success,Cashfree,2027-03-03,
PAY000231,BK000823,CUST00167,TXN91023756,72445,INR,Wallet,success,PayU,2026-12-06,
PAY000232,BK000563,CUST00240,TXN73968135,119342,INR,Credit Card,success,PayU,2027-01-10,
PAY000233,BK000606,CUST00108,TXN35020392,103458,INR,Net Banking,pending,PayU,2027-01-20,
PAY000234,BK000921,CUST00216,TXN90636832,119661,INR,Debit Card,success,Stripe,2026-12-11,
PAY000235,BK000288,CUST00154,TXN17650315,109072,INR,Credit Card,success,Stripe,2026-11-16,
PAY000236,BK000543,CUST00160,TXN44049246,1481,INR,Wallet,success,PayU,2026-11-14,
PAY000237,BK000558,CUST00219,TXN56072577,47222,INR,UPI,failed,PayU,2027-01-26,invalid_payment
PAY000238,BK000039,CUST00052,TXN48835934,21212,INR,Credit Card,success,Stripe,2027-02-17,
PAY000239,BK000237,CUST00201,TXN71781523,89470,INR,UPI,success,Razorpay,2026-10-17,
PAY000240,BK000560,CUST00193,TXN50664407,94499,INR,Net Banking,pending,Cashfree,2026-10-20,
PAY000241,BK000055,CUST00189,TXN93824673,48386,INR,UPI,success,Cashfree,2026-11-29,
PAY000242,BK000899,CUST00149,TXN40742491,17696,INR,UPI,success,Stripe,2026-10-24,
PAY000243,BK000773,CUST00208,TXN60839296,77414,INR,Debit Card,success,Razorpay,2027-02-10,
PAY000244,BK000450,CUST00095,TXN80479538,3519,INR,Credit Card,failed,PayU,2026-12-19,gateway_timeout
PAY000245,BK000260,CUST00172,TXN41401420,113281,INR,UPI,success,PayU,2027-01-31,
PAY000246,BK000856,CUST00084,TXN73782175,39418,INR,Debit Card,success,Razorpay,2027-03-28,
PAY000247,BK000738,CUST00188,TXN67100263,23299,INR,Credit Card,success,Cashfree,2026-12-22,
PAY000248,BK000018,CUST00172,TXN86934084,106691,INR,Debit Card,success,Stripe,2027-03-29,
PAY000249,BK001000,CUST00139,TXN55950580,99295,INR,Debit Card,failed,Stripe,2026-12-28,invalid_payment
PAY000250,BK000694,CUST00263,TXN13573237,55701,INR,Net Banking,success,PayU,2026-10-30,
PAY000251,BK000727,CUST00107,TXN88967537,30401,INR,Net Banking,success,PayU,2027-02-28,
PAY000252,BK000249,CUST00173,TXN48198764,53857,INR,Debit Card,pending,Razorpay,2027-01-03,
PAY000253,BK000694,CUST00252,TXN86069732,59956,INR,Wallet,failed,Cashfree,2026-10-12,insufficient_funds
PAY000254,BK000260,CUST00259,TXN38911474,17180,INR,Wallet,success,Razorpay,2026-12-28,
PAY000255,BK000912,CUST00085,TXN15865168,33935,INR,Wallet,success,PayU,2026-10-09,
PAY000256,BK000900,CUST00190,TXN32018903,90016,INR,Wallet,success,Razorpay,2027-03-04,
PAY000257,BK000497,CUST00284,TXN16924502,32222,INR,Wallet,failed,Cashfree,2027-01-31,invalid_payment
PAY000258,BK000496,CUST00149,TXN71215937,2634,INR,Wallet,refunded,PayU,2026-12-02,
PAY000259,BK000464,CUST00183,TXN68450787,88454,INR,Net Banking,success,Cashfree,2026-10-11,
PAY000260,BK000465,CUST00064,TXN74743186,62061,INR,Net Banking,success,Razorpay,2027-03-21,
PAY000261,BK000015,CUST00082,TXN11182240,40362,INR,Net Banking,success,PayU,2027-03-21,
PAY000262,BK000564,CUST00009,TXN30674827,2440,INR,Credit Card,failed,Stripe,2027-03-14,bank_declined
PAY000263,BK000677,CUST00014,TXN96743406,91404,INR,Net Banking,refunded,Cashfree,2027-02-23,
PAY000264,BK000739,CUST00212,TXN10863794,46516,INR,UPI,refunded,Cashfree,2027-03-14,
PAY000265,BK000116,CUST00034,TXN42243537,48868,INR,Credit Card,success,Stripe,2027-01-12,
PAY000266,BK000540,CUST00036,TXN50564510,61973,INR,Wallet,success,Razorpay,2027-03-09,
PAY000267,BK000354,CUST00269,TXN43956762,113658,INR,Debit Card,success,Razorpay,2027-03-14,
