provider_id,provider_name,provider_type,api_endpoint,response_time_ms,reliability_score,supports_rollback,supports_idempotency,status
PROV00029,TripSphere,activity,https://api.example.com/activity/29,926,0.957,yes,no,maintenance
PROV00030,CityStay,flight,https://api.example.com/flight/30,1533,0.963,no,no,active
PROV00031,CityStay,hotel,https://api.example.com/hotel/31,1437,0.966,no,yes,maintenance
PROV00032,TravelNest,hotel,https://api.example.com/hotel/32,661,0.96,no,no,active
PROV00033,CityStay,hotel,https://api.example.com/hotel/33,1445,0.921,yes,yes,maintenance
PROV00034,TripSphere,flight,https://api.example.com/flight/34,608,0.97,yes,yes,maintenance
PROV00035,BookGuard Transport,hotel,https://api.example.com/hotel/35,1223,0.917,no,no,active
PROV00036,SkyConnect,activity,https://api.example.com/activity/36,2242,0.907,no,yes,active
PROV00037,TripSphere,transport,https://api.example.com/transport/37,2116,0.914,no,yes,maintenance
PROV00038,BookGuard Activities,hotel,https://api.example.com/hotel/38,988,0.939,yes,yes,maintenance
PROV00039,SkyConnect,transport,https://api.example.com/transport/39,1158,0.915,yes,yes,active
PROV00040,SkyConnect,activity,https://api.example.com/activity/40,1970,0.974,yes,no,maintenance
PROV00041,UrbanMove,activity,https://api.example.com/activity/41,1596,0.928,no,no,active
PROV00042,QuickRide,hotel,https://api.example.com/hotel/42,437,0.957,no,yes,active
PROV00043,SkyConnect,hotel,https://api.example.com/hotel/43,1377,0.917,no,no,active
PROV00044,QuickRide,hotel,https://api.example.com/hotel/44,2334,0.987,yes,yes,active
PROV00045,SkyConnect,hotel,https://api.example.com/hotel/45,759,0.917,no,yes,active
PROV00046,BookGuard Transport,transport,https://api.example.com/transport/46,634,0.936,yes,yes,active
PROV00047,QuickRide,activity,https://api.example.com/activity/47,481,0.952,no,yes,active
PROV00048,TripSphere,hotel,https://api.example.com/hotel/48,2382,0.978,no,no,active
PROV00049,UrbanMove,flight,https://api.example.com/flight/49,1712,0.946,no,yes,maintenance
PROV00050,SkyConnect,transport,https://api.example.com/transport/50,2476,0.925,no,yes,active
PROV00051,BookGuard Hotels,hotel,https://api.example.com/hotel/51,1500,0.914,no,no,active
PROV00052,TripSphere,hotel,https://api.example.com/hotel/52,1349,0.975,no,no,active
PROV00053,BookGuard Transport,hotel,https://api.example.com/hotel/53,1096,0.943,no,no,active
PROV00054,ExploreIndia,flight,https://api.example.com/flight/54,157,0.902,yes,yes,active
PROV00055,CityStay,activity,https://api.example.com/activity/55,1918,0.984,no,no,active
PROV00056,BookGuard Hotels,transport,https://api.example.com/transport/56,2149,0.927,yes,no,active
PROV00057,BookGuard Activities,hotel,https://api.example.com/hotel/57,1869,0.999,no,no,maintenance
PROV00058,CityStay,flight,https://api.example.com/flight/58,1484,0.959,no,yes,active
PROV00059,UrbanMove,hotel,https://api.example.com/hotel/59,2102,0.913,yes,yes,active
PROV00060,BookGuard Flights,transport,https://api.example.com/transport/60,2240,0.963,no,yes,active
PROV00061,QuickRide,flight,https://api.example.com/flight/61,1902,0.98,yes,no,active
PROV00062,QuickRide,activity,https://api.example.com/activity/62,590,0.983,no,yes,active
PROV00063,UrbanMove,hotel,https://api.example.com/hotel/63,1226,0.926,no,no,active
PROV00064,BookGuard Flights,flight,https://api.example.com/flight/64,1593,0.958,no,yes,active
PROV00065,ExploreIndia,transport,https://api.example.com/transport/65,1050,0.996,yes,yes,maintenance
PROV00066,SkyConnect,hotel,https://api.example.com/hotel/66,1358,0.978,no,no,active
PROV00067,TravelNest,hotel,https://api.example.com/hotel/67,1061,0.919,no,yes,active
PROV00068,BookGuard Transport,flight,https://api.example.com/flight/68,1969,0.934,no,yes,active
PROV00069,BookGuard Activities,flight,https://api.example.com/flight/69,642,0.907,yes,no,maintenance
PROV00070,TravelNest,transport,https://api.example.com/transport/70,161,0.979,no,yes,active
PROV00071,BookGuard Transport,activity,https://api.example.com/activity/71,2474,0.993,no,yes,active
PROV00072,UrbanMove,activity,https://api.example.com/activity/72,1196,0.926,yes,yes,maintenance
PROV00073,CityStay,hotel,https://api.example.com/hotel/73,894,0.911,no,no,active
PROV00074,HolidayHub,flight,https://api.example.com/flight/74,330,0.989,yes,yes,active
PROV00075,TravelNest,activity,https://api.example.com/activity/75,1512,0.981,no,yes,active
PROV00076,CityStay,activity,https://api.example.com/activity/76,2014,0.991,yes,yes,active
PROV00077,BookGuard Transport,hotel,https://api.example.com/hotel/77,1413,0.934,no,no,active
PROV00078,SkyConnect,activity,https://api.example.com/activity/78,1902,0.991,no,yes,active
PROV00079,HolidayHub,transport,https://api.example.com/transport/79,2045,0.914,yes,no,active
PROV00080,CityStay,flight,https://api.example.com/flight/80,1977,0.924,yes,yes,active
PROV00081,TripSphere,hotel,https://api.example.com/hotel/81,2378,0.983,no,no,active
PROV00082,CityStay,activity,https://api.example.com/activity/82,2397,0.923,no,yes,active
PROV00083,CityStay,flight,https://api.example.com/flight/83,514,0.933,no,yes,active
PROV00084,BookGuard Flights,hotel,https://api.example.com/hotel/84,1317,0.967,no,yes,active
PROV00085,BookGuard Transport,flight,https://api.example.com/flight/85,977,0.949,yes,no,maintenance
PROV00086,QuickRide,flight,https://api.example.com/flight/86,1692,0.985,no,no,active
PROV00087,TripSphere,activity,https://api.example.com/activity/87,2143,0.999,yes,no,active
PROV00088,TripSphere,flight,https://api.example.com/flight/88,2414,0.941,no,yes,active
PROV00089,BookGuard Activities,hotel,https://api.example.com/hotel/89,594,0.962,yes,no,active
PROV00090,CityStay,hotel,https://api.example.com/hotel/90,1562,0.929,yes,no,maintenance
PROV00091,ExploreIndia,activity,https://api.example.com/activity/91,2055,0.907,no,no,maintenance
PROV00092,ExploreIndia,activity,https://api.example.com/activity/92,2237,0.907,yes,no,active
PROV00093,TripSphere,transport,https://api.example.com/transport/93,2316,0.927,no,no,active
PROV00094,BookGuard Transport,flight,https://api.example.com/flight/94,1386,0.937,no,no,active
PROV00095,QuickRide,transport,https://api.example.com/transport/95,264,0.919,no,no,active
PROV00096,SkyConnect,activity,https://api.example.com/activity/96,1172,0.992,yes,yes,maintenance
PROV00097,CityStay,activity,https://api.example.com/activity/97,2211,0.942,yes,yes,active
PROV00098,HolidayHub,flight,https://api.example.com/flight/98,351,0.964,yes,yes,maintenance
PROV00099,UrbanMove,activity,https://api.example.com/activity/99,1595,0.948,no,yes,active
PROV00100,BookGuard Activities,hotel,https://api.example.com/hotel/100,1843,0.9,no,no,active
PROV00101,TripSphere,transport,https://api.example.com/transport/101,1142,0.973,yes,no,maintenance
PROV00102,TripSphere,activity,https://api.example.com/activity/102,633,0.932,no,yes,active
PROV00103,BookGuard Hotels,transport,https://api.example.com/transport/103,2050,0.942,no,yes,active
PROV00104,BookGuard Hotels,flight,https://api.example.com/flight/104,2294,0.919,no,no,maintenance
PROV00105,BookGuard Activities,hotel,https://api.example.com/hotel/105,1210,0.921,no,no,active
PROV00106,SkyConnect,hotel,https://api.example.com/hotel/106,721,0.945,no,no,active
PROV00107,BookGuard Flights,transport,https://api.example.com/transport/107,2190,0.989,no,yes,active
PROV00108,HolidayHub,hotel,https://api.example.com/hotel/108,150,0.945,no,yes,active
PROV00109,SkyConnect,transport,https://api.example.com/transport/109,1049,0.921,no,no,active
PROV00110,UrbanMove,hotel,https://api.example.com/hotel/110,2158,0.929,no,no,maintenance
PROV00111,TripSphere,flight,https://api.example.com/flight/111,675,0.908,yes,yes,active
PROV00112,ExploreIndia,transport,https://api.example.com/transport/112,304,0.986,yes,yes,maintenance
PROV00113,CityStay,transport,https://api.example.com/transport/113,2287,0.938,no,yes,active
PROV00114,BookGuard Flights,hotel,https://api.example.com/hotel/114,1567,0.998,no,yes,maintenance
PROV00115,UrbanMove,flight,https://api.example.com/flight/115,369,0.99,yes,yes,maintenance
PROV00116,HolidayHub,transport,https://api.example.com/transport/116,806,0.987,yes,no,active
PROV00117,TravelNest,activity,https://api.example.com/activity/117,148,0.996,yes,no,active
PROV00118,QuickRide,transport,https://api.example.com/transport/118,230,0.989,no,no,maintenance
PROV00119,BookGuard Transport,transport,https://api.example.com/transport/119,744,0.953,no,yes,active
PROV00120,BookGuard Hotels,flight,https://api.example.com/flight/120,1476,0.993,no,yes,active
PROV00121,BookGuard Activities,flight,https://api.example.com/flight/121,1713,0.935,yes,yes,active
PROV00122,BookGuard Activities,transport,https://api.example.com/transport/122,953,0.917,no,no,active
PROV00123,HolidayHub,activity,https://api.example.com/activity/123,2078,0.948,yes,no,active
PROV00124,BookGuard Flights,hotel,https://api.example.com/hotel/124,1132,0.99,yes,no,active
PROV00125,BookGuard Activities,transport,https://api.example.com/transport/125,720,0.968,no,yes,active
PROV00126,TravelNest,activity,https://api.example.com/activity/126,1890,0.969,yes,no,maintenance
PROV00127,BookGuard Transport,activity,https://api.example.com/activity/127,1285,0.906,no,yes,active
PROV00128,BookGuard Hotels,activity,https://api.example.com/activity/128,1452,0.954,yes,no,active
PROV00129,ExploreIndia,transport,https://api.example.com/transport/129,280,0.931,yes,no,active
PROV00130,BookGuard Hotels,activity,https://api.example.com/activity/130,1734,0.991,yes,yes,active
PROV00131,BookGuard Hotels,hotel,https://api.example.com/hotel/131,600,0.997,yes,no,active
PROV00132,HolidayHub,activity,https://api.example.com/activity/132,1662,0.935,yes,yes,active
PROV00133,BookGuard Hotels,hotel,https://api.example.com/hotel/133,296,0.986,yes,yes,active
PROV00134,UrbanMove,flight,https://api.example.com/flight/134,1324,0.938,yes,yes,active
PROV00135,BookGuard Activities,hotel,https://api.example.com/hotel/135,911,0.953,no,no,active
PROV00136,TravelNest,hotel,https://api.example.com/hotel/136,122,0.967,no,yes,maintenance
PROV00137,HolidayHub,transport,https://api.example.com/transport/137,1231,0.93,no,yes,active
PROV00138,BookGuard Hotels,flight,https://api.example.com/flight/138,2389,0.951,no,yes,active
PROV00139,TripSphere,flight,https://api.example.com/flight/139,1085,0.92,no,no,active
PROV00140,BookGuard Transport,hotel,https://api.example.com/hotel/140,1626,0.921,no,no,active
PROV00141,HolidayHub,transport,https://api.example.com/transport/141,1772,0.917,no,no,maintenance
PROV00142,UrbanMove,transport,https://api.example.com/transport/142,793,0.96,yes,yes,maintenance
PROV00143,ExploreIndia,flight,https://api.example.com/flight/143,1172,0.981,yes,no,active
PROV00144,TripSphere,hotel,https://api.example.com/hotel/144,1605,0.958,yes,no,active
PROV00145,CityStay,flight,https://api.example.com/flight/145,2264,0.956,yes,no,active
PROV00146,CityStay,flight,https://api.example.com/flight/146,868,0.992,no,yes,active
PROV00147,UrbanMove,flight,https://api.example.com/flight/147,226,0.976,no,no,active
PROV00148,SkyConnect,transport,https://api.example.com/transport/148,805,0.945,no,no,active
PROV00149,ExploreIndia,transport,https://api.example.com/transport/149,1040,0.956,yes,yes,maintenance
PROV00150,BookGuard Transport,activity,https://api.example.com/activity/150,1772,0.983,yes,no,active
PROV00151,BookGuard Activities,activity,https://api.example.com/activity/151,2296,0.972,yes,yes,active
PROV00152,BookGuard Activities,hotel,https://api.example.com/hotel/152,1281,0.979,yes,no,active
PROV00153,BookGuard Hotels,flight,https://api.example.com/flight/153,1684,0.958,yes,no,maintenance
PROV00154,UrbanMove,hotel,https://api.example.com/hotel/154,927,0.97,yes,yes,active
PROV00155,BookGuard Transport,flight,https://api.example.com/flight/155,1343,0.986,no,yes,active
PROV00156,SkyConnect,activity,https://api.example.com/activity/156,949,0.968,yes,yes,active
PROV00157,CityStay,flight,https://api.example.com/flight/157,1502,0.992,yes,no,maintenance
PROV00158,UrbanMove,flight,https://api.example.com/flight/158,1900,0.904,yes,no,maintenance
PROV00159,SkyConnect,hotel,https://api.example.com/hotel/159,352,0.997,no,yes,active
PROV00160,TravelNest,hotel,https://api.example.com/hotel/160,140,0.908,yes,yes,active
PROV00161,HolidayHub,hotel,https://api.example.com/hotel/161,1335,0.986,no,no,active
PROV00162,ExploreIndia,flight,https://api.example.com/flight/162,1252,0.931,yes,no,maintenance
PROV00163,TravelNest,hotel,https://api.example.com/hotel/163,114,0.996,yes,no,active
PROV00164,ExploreIndia,flight,https://api.example.com/flight/164,2035,0.936,no,no,active
PROV00165,ExploreIndia,transport,https://api.example.com/transport/165,1218,0.996,yes,yes,active
PROV00166,UrbanMove,transport,https://api.example.com/transport/166,292,0.947,yes,no,active
PROV00167,UrbanMove,hotel,https://api.example.com/hotel/167,2022,0.966,yes,no,active
PROV00168,QuickRide,hotel,https://api.example.com/hotel/168,800,0.909,no,yes,active
PROV00169,BookGuard Flights,activity,https://api.example.com/activity/169,1920,0.92,yes,yes,active
PROV00170,BookGuard Flights,flight,https://api.example.com/flight/170,2439,0.975,no,yes,active
PROV00171,BookGuard Transport,flight,https://api.example.com/flight/171,1124,0.949,yes,no,active
PROV00172,BookGuard Transport,transport,https://api.example.com/transport/172,1358,0.938,yes,no,active
PROV00173,BookGuard Transport,flight,https://api.example.com/flight/173,2053,0.936,yes,yes,active
PROV00174,SkyConnect,transport,https://api.example.com/transport/174,2306,0.931,yes,no,active
PROV00175,TravelNest,activity,https://api.example.com/activity/175,462,0.914,yes,yes,active
PROV00176,BookGuard Flights,hotel,https://api.example.com/hotel/176,1033,0.999,yes,no,active
PROV00177,BookGuard Activities,activity,https://api.example.com/activity/177,2484,0.988,yes,yes,active
PROV00178,BookGuard Hotels,flight,https://api.example.com/flight/178,323,0.921,yes,yes,maintenance
PROV00179,BookGuard Transport,flight,https://api.example.com/flight/179,1521,0.979,no,no,active
PROV00180,BookGuard Transport,transport,https://api.example.com/transport/180,865,0.905,yes,yes,active
PROV00181,HolidayHub,activity,https://api.example.com/activity/181,294,0.95,yes,yes,active
PROV00182,SkyConnect,transport,https://api.example.com/transport/182,1249,0.987,yes,no,maintenance
PROV00183,QuickRide,hotel,https://api.example.com/hotel/183,2322,0.973,yes,yes,active
PROV00184,ExploreIndia,activity,https://api.example.com/activity/184,1561,0.976,yes,yes,active
PROV00185,BookGuard Activities,flight,https://api.example.com/flight/185,1141,0.962,no,yes,maintenance
PROV00186,BookGuard Transport,activity,https://api.example.com/activity/186,940,0.956,no,yes,active
PROV00187,CityStay,hotel,https://api.example.com/hotel/187,1916,0.911,no,yes,maintenance
PROV00188,TravelNest,flight,https://api.example.com/flight/188,358,0.946,no,yes,active
PROV00189,TripSphere,activity,https://api.example.com/activity/189,2131,0.953,yes,no,maintenance
PROV00190,UrbanMove,activity,https://api.example.com/activity/190,394,0.982,no,no,active
PROV00191,UrbanMove,transport,https://api.example.com/transport/191,162,0.901,no,yes,active
PROV00192,BookGuard Activities,transport,https://api.example.com/transport/192,904,0.995,yes,yes,active
PROV00193,BookGuard Activities,transport,https://api.example.com/transport/193,1690,0.934,yes,yes,active
PROV00194,TravelNest,hotel,https://api.example.com/hotel/194,787,0.915,no,no,active
PROV00195,CityStay,activity,https://api.example.com/activity/195,1674,0.934,yes,yes,active
PROV00196,HolidayHub,flight,https://api.example.com/flight/196,988,0.949,no,yes,active
PROV00197,ExploreIndia,activity,https://api.example.com/activity/197,2055,0.972,yes,yes,active
PROV00198,BookGuard Flights,hotel,https://api.example.com/hotel/198,484,0.938,no,yes,active
PROV00199,QuickRide,flight,https://api.example.com/flight/199,1377,0.901,yes,yes,active
PROV00200,HolidayHub,flight,https://api.example.com/flight/200,779,0.914,yes,yes,active
PROV00201,QuickRide,transport,https://api.example.com/transport/201,228,0.983,no,no,active
PROV00202,TripSphere,hotel,https://api.example.com/hotel/202,1168,0.981,yes,no,active
PROV00203,TravelNest,hotel,https://api.example.com/hotel/203,132,0.988,yes,no,maintenance
PROV00204,TripSphere,transport,https://api.example.com/transport/204,1493,0.918,no,yes,active
PROV00205,QuickRide,transport,https://api.example.com/transport/205,517,0.939,yes,no,active
PROV00206,HolidayHub,activity,https://api.example.com/activity/206,2183,0.908,no,no,active
PROV00207,BookGuard Flights,activity,https://api.example.com/activity/207,519,0.987,yes,yes,active
PROV00208,ExploreIndia,flight,https://api.example.com/flight/208,424,0.996,yes,yes,active
PROV00209,BookGuard Hotels,activity,https://api.example.com/activity/209,1250,0.934,yes,yes,maintenance
PROV00210,BookGuard Activities,activity,https://api.example.com/activity/210,1230,0.908,yes,no,active
PROV00211,BookGuard Flights,hotel,https://api.example.com/hotel/211,1210,0.956,no,yes,active
PROV00212,CityStay,hotel,https://api.example.com/hotel/212,1172,0.962,yes,no,maintenance
PROV00213,ExploreIndia,flight,https://api.example.com/flight/213,383,0.964,yes,no,active
PROV00214,ExploreIndia,hotel,https://api.example.com/hotel/214,117,0.933,no,no,active
PROV00215,ExploreIndia,flight,https://api.example.com/flight/215,2059,0.962,no,no,maintenance
PROV00216,UrbanMove,activity,https://api.example.com/activity/216,1472,0.959,yes,no,maintenance
PROV00217,CityStay,activity,https://api.example.com/activity/217,1538,0.977,yes,no,active
PROV00218,BookGuard Flights,hotel,https://api.example.com/hotel/218,2060,0.988,no,no,active
PROV00219,BookGuard Transport,flight,https://api.example.com/flight/219,1025,0.986,no,yes,active
PROV00220,UrbanMove,hotel,https://api.example.com/hotel/220,1370,0.937,yes,no,active
PROV00221,ExploreIndia,activity,https://api.example.com/activity/221,767,0.91,no,yes,maintenance
PROV00222,UrbanMove,flight,https://api.example.com/flight/222,1331,0.904,yes,yes,active
PROV00223,HolidayHub,transport,https://api.example.com/transport/223,1194,0.937,no,no,maintenance
PROV00224,BookGuard Flights,flight,https://api.example.com/flight/224,1094,0.904,no,yes,maintenance
PROV00225,HolidayHub,transport,https://api.example.com/transport/225,1203,0.935,no,no,active
PROV00226,CityStay,hotel,https://api.example.com/hotel/226,1780,0.948,yes,yes,active
PROV00227,BookGuard Flights,hotel,https://api.example.com/hotel/227,746,0.961,no,no,maintenance
PROV00228,BookGuard Flights,activity,https://api.example.com/activity/228,1722,0.954,yes,yes,active
PROV00229,BookGuard Hotels,activity,https://api.example.com/activity/229,1067,0.907,yes,yes,active
PROV00230,BookGuard Activities,activity,https://api.example.com/activity/230,640,0.983,no,yes,active
PROV00231,TripSphere,activity,https://api.example.com/activity/231,308,0.921,yes,no,active
PROV00232,SkyConnect,hotel,https://api.example.com/hotel/232,1955,0.938,no,no,active
PROV00233,BookGuard Flights,flight,https://api.example.com/flight/233,2427,0.964,yes,no,active
PROV00234,BookGuard Activities,activity,https://api.example.com/activity/234,1771,0.969,yes,yes,active
PROV00235,ExploreIndia,flight,https://api.example.com/flight/235,932,0.944,no,yes,active
PROV00236,BookGuard Transport,hotel,https://api.example.com/hotel/236,469,0.99,yes,no,active
PROV00237,BookGuard Activities,flight,https://api.example.com/flight/237,804,0.954,yes,yes,active
PROV00238,ExploreIndia,transport,https://api.example.com/transport/238,246,0.999,no,yes,active
PROV00239,HolidayHub,transport,https://api.example.com/transport/239,1243,0.922,yes,no,active
PROV00240,TravelNest,flight,https://api.example.com/flight/240,1853,0.93,no,no,active
PROV00241,BookGuard Flights,activity,https://api.example.com/activity/241,2276,0.959,no,no,active
PROV00242,HolidayHub,flight,https://api.example.com/flight/242,761,0.906,no,no,active
PROV00243,TravelNest,activity,https://api.example.com/activity/243,865,0.981,yes,no,maintenance
PROV00244,BookGuard Activities,transport,https://api.example.com/transport/244,2353,0.989,no,yes,active
PROV00245,ExploreIndia,hotel,https://api.example.com/hotel/245,178,0.938,no,yes,maintenance
PROV00246,BookGuard Flights,flight,https://api.example.com/flight/246,2182,0.978,no,yes,active
PROV00247,HolidayHub,hotel,https://api.example.com/hotel/247,641,0.915,yes,no,maintenance
PROV00248,BookGuard Activities,hotel,https://api.example.com/hotel/248,2387,0.937,no,no,active
PROV00249,SkyConnect,transport,https://api.example.com/transport/249,529,0.91,no,yes,maintenance
PROV00250,UrbanMove,hotel,https://api.example.com/hotel/250,2036,0.964,yes,no,maintenance
PROV00251,HolidayHub,transport,https://api.example.com/transport/251,1984,0.932,yes,yes,active
PROV00252,QuickRide,activity,https://api.example.com/activity/252,1879,0.92,no,yes,active
PROV00253,TripSphere,flight,https://api.example.com/flight/253,193,0.942,yes,yes,active
PROV00254,UrbanMove,activity,https://api.example.com/activity/254,2331,0.946,no,yes,active
PROV00255,SkyConnect,activity,https://api.example.com/activity/255,2210,0.985,no,yes,maintenance
PROV00256,SkyConnect,flight,https://api.example.com/flight/256,1360,0.968,no,no,active
PROV00257,ExploreIndia,transport,https://api.example.com/transport/257,1778,0.925,no,no,maintenance
PROV00258,QuickRide,hotel,https://api.example.com/hotel/258,750,0.977,yes,yes,maintenance
PROV00259,BookGuard Hotels,activity,https://api.example.com/activity/259,2408,0.94,yes,yes,active
PROV00260,UrbanMove,flight,https://api.example.com/flight/260,472,0.996,no,yes,active
PROV00261,TravelNest,flight,https://api.example.com/flight/261,2093,0.973,yes,no,active
PROV00262,CityStay,flight,https://api.example.com/flight/262,661,0.987,yes,yes,maintenance
PROV00263,SkyConnect,flight,https://api.example.com/flight/263,1557,0.912,no,yes,maintenance
PROV00264,CityStay,transport,https://api.example.com/transport/264,1563,0.927,no,yes,active
PROV00265,HolidayHub,transport,https://api.example.com/transport/265,1707,0.934,yes,yes,active
PROV00266,BookGuard Activities,flight,https://api.example.com/flight/266,992,0.901,no,no,maintenance
PROV00267,CityStay,flight,https://api.example.com/flight/267,1113,0.909,yes,yes,active
PROV00268,TravelNest,hotel,https://api.example.com/hotel/268,1092,0.919,yes,yes,maintenance
PROV00269,ExploreIndia,hotel,https://api.example.com/hotel/269,1882,0.951,yes,no,active
PROV00270,BookGuard Transport,hotel,https://api.example.com/hotel/270,1950,0.933,yes,no,active
PROV00271,BookGuard Hotels,flight,https://api.example.com/flight/271,1698,0.951,no,no,maintenance
PROV00272,UrbanMove,flight,https://api.example.com/flight/272,1404,0.928,yes,yes,active
PROV00273,QuickRide,activity,https://api.example.com/activity/273,1246,0.97,yes,yes,maintenance
PROV00274,BookGuard Activities,flight,https://api.example.com/flight/274,1573,0.902,no,yes,maintenance
PROV00275,BookGuard Hotels,activity,https://api.example.com/activity/275,2300,0.932,no,no,active
PROV00276,BookGuard Activities,activity,https://api.example.com/activity/276,2297,0.964,no,yes,active
PROV00277,BookGuard Hotels,hotel,https://api.example.com/hotel/277,836,0.975,no,no,active
PROV00278,CityStay,hotel,https://api.example.com/hotel/278,2122,0.909,no,yes,maintenance
PROV00279,SkyConnect,activity,https://api.example.com/activity/279,411,0.932,no,no,active
PROV00280,CityStay,transport,https://api.example.com/transport/280,520,0.907,no,no,active
PROV00281,BookGuard Transport,flight,https://api.example.com/flight/281,1598,0.955,yes,no,active
PROV00282,BookGuard Flights,transport,https://api.example.com/transport/282,80,0.921,no,yes,active
PROV00283,HolidayHub,flight,https://api.example.com/flight/283,1278,0.971,yes,no,maintenance
PROV00284,HolidayHub,hotel,https://api.example.com/hotel/284,1805,0.904,no,no,active
PROV00285,QuickRide,activity,https://api.example.com/activity/285,811,0.961,no,no,active
PROV00286,TripSphere,hotel,https://api.example.com/hotel/286,386,0.939,no,yes,active
PROV00287,BookGuard Hotels,flight,https://api.example.com/flight/287,2001,0.997,yes,yes,active
PROV00288,UrbanMove,flight,https://api.example.com/flight/288,2318,0.966,no,yes,maintenance
PROV00289,QuickRide,transport,https://api.example.com/transport/289,487,0.961,no,no,active
PROV00290,CityStay,transport,https://api.example.com/transport/290,944,0.906,yes,yes,maintenance
PROV00291,TravelNest,hotel,https://api.example.com/hotel/291,946,0.964,no,yes,active
PROV00292,SkyConnect,hotel,https://api.example.com/hotel/292,553,0.944,yes,no,maintenance
PROV00293,ExploreIndia,transport,https://api.example.com/transport/293,2408,0.938,yes,yes,active
PROV00294,TravelNest,activity,https://api.example.com/activity/294,211,0.961,yes,no,active
PROV00295,QuickRide,transport,https://api.example.com/transport/295,2476,0.988,no,yes,maintenance
PROV00296,BookGuard Transport,flight,https://api.example.com/flight/296,226,0.902,no,no,active
PROV00297,UrbanMove,hotel,https://api.example.com/hotel/297,1332,0.907,no,yes,active
PROV00298,HolidayHub,activity,https://api.example.com/activity/298,2008,0.954,yes,no,maintenance
PROV00299,TripSphere,transport,https://api.example.com/transport/299,1936,0.984,no,no,active
PROV00300,UrbanMove,transport,https://api.example.com/transport/300,1116,0.901,yes,yes,active
