compensation_id,booking_id,customer_id,incident_type,original_amount,compensation_amount,currency,compensation_type,status,resolution,created_at
COMP000069,BK000086,CUST00253,overbooking,124654,14450,INR,credit,pending,full_refund,2026-10-17
COMP000070,BK000111,CUST00195,cancellation,77390,24631,INR,refund,rejected,full_refund,2027-01-20
COMP000071,BK000924,CUST00118,provider_failure,93196,18170,INR,cash_compensation,approved,manual_review,2027-01-06
COMP000072,BK000167,CUST00108,partial_booking,85694,10159,INR,credit,pending,customer_credit,2026-12-23
COMP000073,BK000758,CUST00261,payment_failure,16297,214,INR,voucher,rejected,provider_rebooked,2026-11-07
COMP000074,BK000176,CUST00178,partial_booking,1833,11793,INR,cash_compensation,processed,full_refund,2027-02-25
COMP000075,BK000327,CUST00004,provider_failure,5710,24852,INR,voucher,pending,alternative_service,2026-12-02
COMP000076,BK000908,CUST00186,cancellation,54174,13073,INR,partial_refund,rejected,manual_review,2027-02-19
COMP000077,BK000529,CUST00055,payment_failure,87688,2117,INR,voucher,approved,customer_credit,2026-10-08
COMP000078,BK000563,CUST00221,cancellation,138129,24945,INR,cash_compensation,pending,manual_review,2026-12-26
COMP000079,BK000332,CUST00164,overbooking,142607,437,INR,partial_refund,approved,manual_review,2026-12-23
COMP000080,BK000196,CUST00244,partial_booking,110368,8611,INR,partial_refund,rejected,partial_refund,2026-12-05
COMP000081,BK000665,CUST00262,service_unavailable,51228,5246,INR,credit,processed,customer_credit,2027-03-17
COMP000082,BK000199,CUST00134,partial_booking,3392,9153,INR,cash_compensation,approved,manual_review,2027-03-01
COMP000083,BK000706,CUST00110,payment_failure,100644,9696,INR,refund,pending,customer_credit,2027-03-28
COMP000084,BK000279,CUST00100,service_unavailable,45178,14171,INR,refund,approved,provider_rebooked,2026-10-11
COMP000085,BK000219,CUST00116,cancellation,98580,5666,INR,refund,processed,alternative_service,2026-12-31
COMP000086,BK000617,CUST00044,partial_booking,18898,7222,INR,cash_compensation,processed,full_refund,2026-11-10
COMP000087,BK000947,CUST00167,cancellation,147352,16069,INR,cash_compensation,approved,customer_credit,2027-02-08
COMP000088,BK000718,CUST00113,payment_failure,69278,16647,INR,voucher,pending,customer_credit,2027-02-25
COMP000089,BK000261,CUST00213,overbooking,22401,19231,INR,cash_compensation,rejected,customer_credit,2027-01-02
COMP000090,BK000962,CUST00030,overbooking,88871,10787,INR,credit,rejected,manual_review,2026-11-05
COMP000091,BK000842,CUST00296,overbooking,129504,6946,INR,credit,approved,manual_review,2027-03-09
COMP000092,BK000061,CUST00109,service_unavailable,59065,7829,INR,partial_refund,approved,alternative_service,2027-01-15
COMP000093,BK000844,CUST00092,provider_failure,108276,24193,INR,refund,pending,alternative_service,2026-12-09
COMP000094,BK000200,CUST00281,payment_failure,53325,14733,INR,cash_compensation,approved,partial_refund,2027-01-01
COMP000095,BK000128,CUST00143,service_unavailable,135501,1853,INR,partial_refund,rejected,alternative_service,2027-01-13
COMP000096,BK000606,CUST00276,partial_booking,58792,20846,INR,credit,rejected,provider_rebooked,2026-11-19
COMP000097,BK000998,CUST00068,overbooking,47609,21616,INR,voucher,rejected,alternative_service,2027-03-05
COMP000098,BK000346,CUST00119,service_unavailable,112694,16988,INR,partial_refund,rejected,alternative_service,2026-11-01
COMP000099,BK000863,CUST00110,provider_failure,37157,1771,INR,refund,rejected,full_refund,2026-10-25
COMP000100,BK000898,CUST00269,overbooking,102192,6063,INR,refund,approved,manual_review,2027-01-20
COMP000101,BK000074,CUST00257,payment_failure,125953,10301,INR,voucher,approved,full_refund,2027-01-08
COMP000102,BK000238,CUST00206,service_unavailable,125883,8939,INR,cash_compensation,processed,customer_credit,2026-11-10
COMP000103,BK000838,CUST00296,service_unavailable,96796,6044,INR,voucher,pending,manual_review,2026-10-19
COMP000104,BK000587,CUST00216,provider_failure,38170,3955,INR,cash_compensation,pending,partial_refund,2027-01-12
COMP000105,BK000493,CUST00268,cancellation,88157,413,INR,cash_compensation,approved,partial_refund,2027-02-15
COMP000106,BK000674,CUST00215,overbooking,96134,20424,INR,refund,rejected,manual_review,2026-10-22
COMP000107,BK000199,CUST00019,payment_failure,127283,1485,INR,partial_refund,approved,customer_credit,2027-03-25
COMP000108,BK000496,CUST00275,overbooking,13018,10502,INR,credit,rejected,alternative_service,2027-01-26
COMP000109,BK000921,CUST00257,cancellation,25392,10005,INR,cash_compensation,pending,full_refund,2026-11-15
COMP000110,BK000721,CUST00059,cancellation,120180,1472,INR,voucher,approved,alternative_service,2026-12-04
COMP000111,BK000661,CUST00086,overbooking,14790,7460,INR,voucher,rejected,full_refund,2026-10-26
COMP000112,BK000055,CUST00283,cancellation,118129,3331,INR,partial_refund,rejected,alternative_service,2027-01-04
COMP000113,BK000867,CUST00230,service_unavailable,111866,2392,INR,credit,approved,partial_refund,2027-02-28
COMP000114,BK000294,CUST00087,cancellation,93621,5144,INR,credit,rejected,partial_refund,2027-03-24
COMP000115,BK000513,CUST00256,provider_failure,38826,18839,INR,partial_refund,processed,alternative_service,2026-10-28
COMP000116,BK000461,CUST00238,service_unavailable,27932,4539,INR,refund,approved,provider_rebooked,2026-10-01
COMP000117,BK000960,CUST00181,payment_failure,903,12743,INR,partial_refund,rejected,provider_rebooked,2026-10-14
COMP000118,BK000527,CUST00291,overbooking,147809,9406,INR,voucher,pending,provider_rebooked,2027-02-02
COMP000119,BK000595,CUST00059,partial_booking,56819,24329,INR,partial_refund,rejected,full_refund,2026-10-31
COMP000120,BK000679,CUST00058,provider_failure,37127,10007,INR,credit,processed,full_refund,2026-10-02
COMP000121,BK000693,CUST00285,partial_booking,126553,12492,INR,credit,processed,full_refund,2027-02-01
COMP000122,BK000453,CUST00050,provider_failure,113337,1581,INR,partial_refund,rejected,full_refund,2027-02-01
COMP000123,BK000837,CUST00289,cancellation,148647,17075,INR,refund,processed,provider_rebooked,2027-03-11
COMP000124,BK000320,CUST00160,partial_booking,106659,19221,INR,voucher,pending,full_refund,2027-01-31
COMP000125,BK000108,CUST00111,partial_booking,72291,11380,INR,partial_refund,rejected,provider_rebooked,2026-10-16
COMP000126,BK000536,CUST00030,payment_failure,36481,24758,INR,partial_refund,approved,partial_refund,2026-12-20
COMP000127,BK000856,CUST00110,provider_failure,61793,12081,INR,cash_compensation,pending,provider_rebooked,2027-03-30
COMP000128,BK000708,CUST00128,provider_failure,101192,16151,INR,refund,rejected,customer_credit,2027-01-05
COMP000129,BK000741,CUST00255,cancellation,62665,6072,INR,refund,rejected,manual_review,2027-02-05
COMP000130,BK000196,CUST00259,cancellation,128165,8102,INR,credit,rejected,alternative_service,2026-10-20
COMP000131,BK000465,CUST00228,cancellation,52954,15108,INR,cash_compensation,approved,provider_rebooked,2027-03-19
COMP000132,BK000010,CUST00233,provider_failure,77253,16238,INR,voucher,processed,partial_refund,2026-11-10
COMP000133,BK000919,CUST00108,provider_failure,75312,11793,INR,refund,pending,alternative_service,2026-10-03
COMP000134,BK000239,CUST00034,provider_failure,70319,12999,INR,refund,rejected,partial_refund,2026-12-18
COMP000135,BK000943,CUST00189,overbooking,76060,6318,INR,partial_refund,processed,partial_refund,2026-10-11
COMP000136,BK000362,CUST00247,service_unavailable,72954,1939,INR,partial_refund,processed,full_refund,2027-02-10
COMP000137,BK000769,CUST00142,provider_failure,106415,5470,INR,credit,pending,partial_refund,2027-01-14
COMP000138,BK000333,CUST00001,overbooking,22101,2217,INR,voucher,approved,manual_review,2027-01-07
COMP000139,BK000534,CUST00300,partial_booking,49348,21418,INR,credit,rejected,alternative_service,2027-03-17
COMP000140,BK000728,CUST00036,payment_failure,28400,18500,INR,partial_refund,approved,customer_credit,2027-01-05
COMP000141,BK000864,CUST00095,provider_failure,57317,5259,INR,credit,pending,manual_review,2026-12-16
COMP000142,BK000820,CUST00046,cancellation,93781,22758,INR,cash_compensation,rejected,partial_refund,2027-01-09
COMP000143,BK000755,CUST00014,overbooking,22211,13271,INR,partial_refund,pending,manual_review,2026-10-16
COMP000144,BK000103,CUST00082,payment_failure,148360,21314,INR,credit,processed,full_refund,2026-10-16
COMP000145,BK000269,CUST00043,service_unavailable,67308,4215,INR,partial_refund,pending,customer_credit,2026-12-20
COMP000146,BK000363,CUST00262,partial_booking,51006,24737,INR,credit,rejected,alternative_service,2026-10-21
COMP000147,BK000939,CUST00197,overbooking,49271,8582,INR,partial_refund,rejected,full_refund,2027-01-03
COMP000148,BK000304,CUST00138,overbooking,40135,16910,INR,partial_refund,processed,customer_credit,2027-02-28
COMP000149,BK000943,CUST00272,provider_failure,78062,23936,INR,partial_refund,processed,partial_refund,2027-03-14
COMP000150,BK000313,CUST00107,service_unavailable,69590,10926,INR,partial_refund,processed,customer_credit,2027-01-25
COMP000151,BK000572,CUST00229,cancellation,48740,20288,INR,voucher,processed,provider_rebooked,2026-11-22
COMP000152,BK000551,CUST00205,cancellation,12329,22725,INR,partial_refund,pending,full_refund,2027-02-13
COMP000153,BK000057,CUST00002,provider_failure,41639,8447,INR,refund,processed,customer_credit,2027-02-26
COMP000154,BK000340,CUST00064,cancellation,95120,18762,INR,partial_refund,processed,manual_review,2026-10-15
COMP000155,BK000384,CUST00187,provider_failure,65640,22547,INR,partial_refund,rejected,provider_rebooked,2027-01-20
COMP000156,BK000680,CUST00041,overbooking,131356,13640,INR,cash_compensation,approved,alternative_service,2027-02-08
COMP000157,BK000301,CUST00221,partial_booking,142922,14264,INR,partial_refund,pending,customer_credit,2027-01-25
COMP000158,BK000335,CUST00191,overbooking,35889,24730,INR,partial_refund,pending,full_refund,2027-02-07
COMP000159,BK000670,CUST00240,cancellation,2393,24242,INR,credit,pending,manual_review,2027-01-05
COMP000160,BK000643,CUST00018,payment_failure,3675,3343,INR,credit,approved,provider_rebooked,2026-12-27
COMP000161,BK000606,CUST00036,provider_failure,28982,11101,INR,cash_compensation,approved,full_refund,2026-11-14
COMP000162,BK000665,CUST00095,payment_failure,118042,9055,INR,partial_refund,rejected,manual_review,2027-02-01
COMP000163,BK000824,CUST00107,payment_failure,80193,19945,INR,partial_refund,processed,partial_refund,2027-01-30
COMP000164,BK000807,CUST00082,cancellation,23529,10692,INR,credit,approved,customer_credit,2026-11-17
COMP000165,BK000841,CUST00102,cancellation,82960,13647,INR,cash_compensation,approved,provider_rebooked,2027-02-08
COMP000166,BK000060,CUST00227,provider_failure,34123,17196,INR,partial_refund,rejected,partial_refund,2026-11-11
COMP000167,BK000325,CUST00170,cancellation,62320,15393,INR,voucher,approved,provider_rebooked,2027-02-18
COMP000168,BK000719,CUST00255,overbooking,88539,21602,INR,refund,pending,full_refund,2027-03-04
COMP000169,BK000611,CUST00269,service_unavailable,17264,22949,INR,voucher,processed,customer_credit,2027-03-10
COMP000170,BK000829,CUST00114,payment_failure,70299,15705,INR,cash_compensation,pending,alternative_service,2026-11-30
COMP000171,BK000312,CUST00027,partial_booking,136334,5627,INR,voucher,processed,provider_rebooked,2027-01-24
COMP000172,BK000721,CUST00293,partial_booking,65125,18039,INR,voucher,processed,customer_credit,2027-01-13
COMP000173,BK000951,CUST00228,cancellation,116499,9354,INR,voucher,processed,full_refund,2026-10-24
COMP000174,BK000499,CUST00164,overbooking,138827,23256,INR,cash_compensation,pending,customer_credit,2026-12-24
COMP000175,BK000661,CUST00043,service_unavailable,10355,13182,INR,cash_compensation,processed,customer_credit,2027-01-10
COMP000176,BK000537,CUST00011,service_unavailable,132946,11150,INR,refund,pending,manual_review,2026-11-13
COMP000177,BK000078,CUST00261,cancellation,135526,23118,INR,voucher,rejected,customer_credit,2027-03-01
COMP000178,BK000365,CUST00122,provider_failure,118081,21089,INR,voucher,approved,alternative_service,2027-01-15
COMP000179,BK000573,CUST00181,cancellation,86731,4974,INR,voucher,processed,provider_rebooked,2026-11-13
COMP000180,BK000537,CUST00079,provider_failure,134323,6382,INR,partial_refund,processed,partial_refund,2027-03-10
COMP000181,BK000121,CUST00210,payment_failure,120457,7180,INR,cash_compensation,rejected,customer_credit,2026-12-24
COMP000182,BK000631,CUST00032,service_unavailable,54741,12422,INR,cash_compensation,approved,full_refund,2027-02-22
COMP000183,BK000585,CUST00051,payment_failure,105503,3371,INR,credit,rejected,customer_credit,2027-03-23
COMP000184,BK000935,CUST00028,provider_failure,126696,9885,INR,voucher,approved,alternative_service,2027-02-04
COMP000185,BK000514,CUST00134,partial_booking,3694,19535,INR,partial_refund,pending,full_refund,2027-01-15
COMP000186,BK000842,CUST00009,overbooking,149130,7228,INR,refund,approved,provider_rebooked,2027-03-23
COMP000187,BK000953,CUST00288,payment_failure,33616,4205,INR,voucher,approved,manual_review,2027-02-17
COMP000188,BK000682,CUST00186,provider_failure,22615,897,INR,refund,rejected,customer_credit,2027-01-16
COMP000189,BK000405,CUST00261,service_unavailable,113823,16166,INR,credit,rejected,customer_credit,2026-12-23
COMP000190,BK000179,CUST00270,partial_booking,90961,7218,INR,refund,pending,alternative_service,2026-12-21
COMP000191,BK000807,CUST00297,payment_failure,66829,21398,INR,voucher,processed,alternative_service,2027-02-01
COMP000192,BK000877,CUST00285,payment_failure,61278,18587,INR,voucher,rejected,partial_refund,2027-03-24
COMP000193,BK000201,CUST00281,provider_failure,74466,9965,INR,refund,rejected,customer_credit,2027-03-15
COMP000194,BK000401,CUST00065,payment_failure,139962,21920,INR,credit,rejected,provider_rebooked,2026-12-06
COMP000195,BK000763,CUST00092,partial_booking,8096,281,INR,partial_refund,processed,manual_review,2027-01-24
COMP000196,BK000692,CUST00075,overbooking,42255,12445,INR,cash_compensation,approved,alternative_service,2027-01-30
COMP000197,BK000557,CUST00133,payment_failure,62761,12608,INR,voucher,pending,provider_rebooked,2027-02-17
COMP000198,BK000449,CUST00198,service_unavailable,88884,10490,INR,partial_refund,pending,alternative_service,2026-12-04
COMP000199,BK000231,CUST00299,cancellation,13211,2715,INR,cash_compensation,rejected,provider_rebooked,2027-03-18
COMP000200,BK000429,CUST00031,provider_failure,133635,13487,INR,refund,approved,manual_review,2026-12-20
COMP000201,BK000713,CUST00149,partial_booking,71941,6603,INR,cash_compensation,rejected,alternative_service,2026-10-30
COMP000202,BK000719,CUST00091,provider_failure,674,7653,INR,partial_refund,approved,manual_review,2027-01-12
COMP000203,BK000223,CUST00103,cancellation,149295,730,INR,cash_compensation,pending,customer_credit,2026-11-27
COMP000204,BK000747,CUST00152,provider_failure,127530,11119,INR,cash_compensation,approved,alternative_service,2026-11-08
COMP000205,BK000372,CUST00236,cancellation,28268,5427,INR,refund,pending,customer_credit,2027-01-23
COMP000206,BK000184,CUST00008,overbooking,52212,3801,INR,credit,processed,full_refund,2027-01-05
COMP000207,BK000618,CUST00167,overbooking,144306,14947,INR,refund,rejected,partial_refund,2027-01-13
COMP000208,BK000095,CUST00133,overbooking,122491,18631,INR,credit,rejected,provider_rebooked,2027-02-26
COMP000209,BK000939,CUST00039,partial_booking,60888,3597,INR,credit,pending,alternative_service,2027-01-30
COMP000210,BK000850,CUST00203,partial_booking,34609,3326,INR,cash_compensation,rejected,full_refund,2027-02-05
COMP000211,BK000678,CUST00034,payment_failure,37828,5415,INR,cash_compensation,approved,partial_refund,2027-02-26
COMP000212,BK000073,CUST00069,cancellation,123659,13114,INR,credit,rejected,customer_credit,2026-12-15
COMP000213,BK000791,CUST00094,partial_booking,34510,11169,INR,voucher,pending,partial_refund,2026-12-02
COMP000214,BK000191,CUST00196,cancellation,111021,12584,INR,voucher,approved,provider_rebooked,2026-12-19
COMP000215,BK000443,CUST00245,overbooking,14130,18700,INR,refund,processed,partial_refund,2027-01-22
COMP000216,BK000599,CUST00066,service_unavailable,108824,9114,INR,credit,rejected,manual_review,2026-12-02
COMP000217,BK000395,CUST00035,overbooking,47165,19165,INR,partial_refund,processed,manual_review,2026-10-11
COMP000218,BK000679,CUST00153,partial_booking,88767,23659,INR,cash_compensation,rejected,manual_review,2027-01-11
COMP000219,BK000475,CUST00286,overbooking,134517,11757,INR,partial_refund,pending,full_refund,2026-10-28
COMP000220,BK000596,CUST00137,cancellation,49425,19885,INR,refund,rejected,full_refund,2026-12-23
COMP000221,BK000867,CUST00020,partial_booking,145191,3868,INR,voucher,processed,customer_credit,2026-10-25
COMP000222,BK000314,CUST00221,cancellation,21924,22425,INR,voucher,approved,manual_review,2027-03-23
COMP000223,BK000046,CUST00122,service_unavailable,33675,8262,INR,cash_compensation,rejected,customer_credit,2026-12-28
COMP000224,BK000353,CUST00043,service_unavailable,81791,21188,INR,cash_compensation,pending,alternative_service,2026-11-17
COMP000225,BK000356,CUST00253,partial_booking,2604,1401,INR,refund,processed,manual_review,2027-01-20
COMP000226,BK000163,CUST00021,cancellation,129098,21454,INR,cash_compensation,rejected,provider_rebooked,2026-12-21
COMP000227,BK000627,CUST00290,partial_booking,9166,10012,INR,cash_compensation,rejected,alternative_service,2027-03-11
COMP000228,BK000552,CUST00098,cancellation,6870,7305,INR,partial_refund,approved,full_refund,2026-11-17
COMP000229,BK000694,CUST00189,overbooking,146403,22079,INR,credit,approved,full_refund,2026-10-03
COMP000230,BK000481,CUST00098,overbooking,59168,5938,INR,cash_compensation,processed,partial_refund,2027-01-26
COMP000231,BK000311,CUST00192,payment_failure,66143,9866,INR,refund,rejected,customer_credit,2026-11-25
COMP000232,BK000370,CUST00025,overbooking,33219,11683,INR,credit,rejected,provider_rebooked,2026-12-10
COMP000233,BK000874,CUST00160,provider_failure,88058,15426,INR,voucher,processed,partial_refund,2027-02-10
COMP000234,BK000359,CUST00205,payment_failure,37230,2106,INR,cash_compensation,rejected,provider_rebooked,2027-01-27
COMP000235,BK000312,CUST00063,service_unavailable,48603,8807,INR,partial_refund,approved,partial_refund,2027-03-19
COMP000236,BK000201,CUST00246,provider_failure,20093,17609,INR,cash_compensation,processed,partial_refund,2027-01-22
COMP000237,BK000787,CUST00006,provider_failure,49318,22515,INR,refund,approved,alternative_service,2027-02-09
COMP000238,BK000231,CUST00265,provider_failure,136988,23483,INR,voucher,approved,alternative_service,2027-02-24
COMP000239,BK000507,CUST00133,provider_failure,146367,4747,INR,refund,pending,full_refund,2026-10-21
COMP000240,BK000048,CUST00300,partial_booking,120296,17918,INR,voucher,rejected,alternative_service,2026-11-23
COMP000241,BK000002,CUST00054,cancellation,137603,7919,INR,voucher,approved,full_refund,2026-12-31
COMP000242,BK000796,CUST00088,service_unavailable,44626,13637,INR,cash_compensation,pending,partial_refund,2027-02-13
COMP000243,BK000293,CUST00122,overbooking,77093,21087,INR,voucher,processed,full_refund,2026-11-24
COMP000244,BK000333,CUST00267,cancellation,42519,18385,INR,voucher,approved,provider_rebooked,2027-03-28
COMP000245,BK000827,CUST00111,payment_failure,21753,16262,INR,partial_refund,processed,partial_refund,2027-02-17
COMP000246,BK000873,CUST00192,payment_failure,123222,10615,INR,cash_compensation,rejected,partial_refund,2027-02-25
COMP000247,BK000204,CUST00053,provider_failure,64868,1111,INR,cash_compensation,rejected,full_refund,2027-01-06
COMP000248,BK000015,CUST00077,service_unavailable,145318,3001,INR,refund,processed,full_refund,2027-01-15
COMP000249,BK000206,CUST00030,provider_failure,63794,5551,INR,refund,processed,alternative_service,2027-01-24
COMP000250,BK000365,CUST00048,service_unavailable,23976,8573,INR,refund,approved,partial_refund,2026-10-13
COMP000251,BK000287,CUST00194,provider_failure,72139,18910,INR,credit,approved,alternative_service,2026-10-07
COMP000252,BK000540,CUST00004,partial_booking,133844,3632,INR,cash_compensation,pending,full_refund,2027-03-15
COMP000253,BK000362,CUST00110,overbooking,22534,405,INR,cash_compensation,rejected,alternative_service,2027-02-03
COMP000254,BK000470,CUST00112,provider_failure,65870,24039,INR,cash_compensation,approved,partial_refund,2026-12-28
COMP000255,BK000085,CUST00045,payment_failure,13368,21120,INR,credit,rejected,manual_review,2026-10-08
COMP000256,BK000744,CUST00176,overbooking,102260,15914,INR,partial_refund,pending,customer_credit,2026-12-02
COMP000257,BK000857,CUST00022,payment_failure,19214,17863,INR,cash_compensation,processed,manual_review,2026-12-31
COMP000258,BK000119,CUST00068,payment_failure,114222,21127,INR,voucher,rejected,provider_rebooked,2027-03-28
COMP000259,BK000492,CUST00167,payment_failure,122454,19422,INR,voucher,approved,full_refund,2026-11-04
COMP000260,BK000163,CUST00199,cancellation,128717,6150,INR,cash_compensation,pending,alternative_service,2027-02-25
COMP000261,BK000737,CUST00294,overbooking,145587,3943,INR,credit,pending,provider_rebooked,2026-12-19
COMP000262,BK000919,CUST00195,service_unavailable,146631,18495,INR,partial_refund,processed,full_refund,2026-10-10
COMP000263,BK000423,CUST00139,payment_failure,121475,10444,INR,voucher,rejected,provider_rebooked,2026-11-06
