availability_check_id,customer_id,resource_type,resource_id,requested_quantity,available_quantity_at_check,availability_result,reservation_lock,check_duration_ms,status
CHK000040,CUST00461,flight_seat,CAR00213,4,15,unavailable,temporary_lock,1319,passed
CHK000041,CUST00743,flight_seat,CAR00152,2,14,unavailable,lock_expired,515,passed
CHK000042,CUST00938,transport,CAR00136,5,15,available,temporary_lock,1191,failed
CHK000043,CUST00965,flight_seat,CAR00073,4,8,available,lock_expired,316,failed
CHK000044,CUST00303,flight_seat,AINV00130,1,13,available,lock_expired,417,failed
CHK000045,CUST00327,transport,ROOM00346,4,15,insufficient,lock_expired,390,failed
CHK000046,CUST00045,activity_slot,FLT00206,3,11,unavailable,temporary_lock,139,passed
CHK000047,CUST00257,flight_seat,FLT00348,2,12,insufficient,temporary_lock,1072,failed
CHK000048,CUST00576,flight_seat,AINV00258,4,9,unavailable,none,843,timeout
CHK000049,CUST00319,transport,AINV00160,5,1,insufficient,lock_expired,96,timeout
CHK000050,CUST00913,activity_slot,ROOM00045,6,13,available,lock_expired,232,timeout
CHK000051,CUST00216,flight_seat,CAR00166,3,1,insufficient,temporary_lock,476,timeout
CHK000052,CUST00076,hotel_room,CAR00204,5,3,insufficient,lock_expired,223,timeout
CHK000053,CUST00416,flight_seat,CAR00147,5,13,insufficient,none,337,passed
CHK000054,CUST00433,activity_slot,AINV00383,1,0,unavailable,temporary_lock,1350,timeout
CHK000055,CUST00683,activity_slot,CAR00137,4,18,unavailable,temporary_lock,1384,passed
CHK000056,CUST00104,activity_slot,CAR00014,4,10,unavailable,none,1097,failed
CHK000057,CUST00547,flight_seat,AINV00326,6,5,unavailable,temporary_lock,1015,timeout
CHK000058,CUST00401,hotel_room,AINV00056,5,6,available,lock_expired,1213,timeout
CHK000059,CUST00700,transport,ROOM00154,5,9,available,temporary_lock,132,timeout
CHK000060,CUST00330,activity_slot,FLT00479,4,10,unavailable,none,937,failed
CHK000061,CUST00557,transport,CAR00482,6,20,unavailable,temporary_lock,1169,failed
CHK000062,CUST00996,transport,FLT00249,4,11,unavailable,lock_expired,980,failed
CHK000063,CUST00255,flight_seat,ROOM00085,5,17,unavailable,temporary_lock,286,timeout
CHK000064,CUST00931,hotel_room,AINV00175,6,3,unavailable,lock_expired,289,failed
CHK000065,CUST00810,transport,ROOM00396,5,14,insufficient,temporary_lock,1279,failed
CHK000066,CUST00153,hotel_room,ROOM00202,2,17,insufficient,none,198,passed
CHK000067,CUST00006,hotel_room,ROOM00322,1,14,available,temporary_lock,806,passed
CHK000068,CUST00468,transport,CAR00197,3,10,available,temporary_lock,1318,failed
CHK000069,CUST00098,activity_slot,FLT00275,2,19,unavailable,lock_expired,561,timeout
CHK000070,CUST00639,flight_seat,CAR00280,6,15,insufficient,lock_expired,875,passed
CHK000071,CUST00693,transport,ROOM00463,1,18,unavailable,none,751,timeout
CHK000072,CUST00800,flight_seat,CAR00486,1,2,unavailable,none,1042,passed
CHK000073,CUST00075,flight_seat,CAR00263,5,19,available,temporary_lock,390,timeout
CHK000074,CUST00373,activity_slot,AINV00384,5,8,unavailable,none,1224,timeout
CHK000075,CUST00571,flight_seat,FLT00035,1,18,available,temporary_lock,499,timeout
CHK000076,CUST00092,activity_slot,ROOM00425,5,8,available,temporary_lock,1211,passed
CHK000077,CUST00180,activity_slot,AINV00162,4,17,insufficient,temporary_lock,1192,failed
CHK000078,CUST00398,hotel_room,CAR00377,4,6,available,temporary_lock,109,timeout
CHK000079,CUST00896,hotel_room,CAR00194,2,6,unavailable,none,327,timeout
CHK000080,CUST00655,flight_seat,FLT00196,6,5,available,temporary_lock,1203,passed
CHK000081,CUST00634,flight_seat,AINV00165,3,4,unavailable,none,1478,timeout
CHK000082,CUST00544,transport,ROOM00211,4,15,unavailable,lock_expired,748,timeout
CHK000083,CUST00287,activity_slot,FLT00401,2,6,available,none,1337,passed
CHK000084,CUST00256,transport,ROOM00347,5,14,unavailable,lock_expired,1434,failed
CHK000085,CUST00888,flight_seat,AINV00261,6,0,available,lock_expired,634,timeout
CHK000086,CUST00406,hotel_room,FLT00309,3,8,available,none,1220,passed
CHK000087,CUST00657,activity_slot,AINV00054,4,16,insufficient,lock_expired,202,failed
CHK000088,CUST00646,flight_seat,CAR00063,5,9,insufficient,temporary_lock,471,passed
CHK000089,CUST00274,flight_seat,AINV00480,2,1,unavailable,none,1356,timeout
CHK000090,CUST00809,hotel_room,ROOM00067,4,13,unavailable,lock_expired,997,failed
CHK000091,CUST00364,hotel_room,CAR00273,3,8,insufficient,temporary_lock,1356,timeout
CHK000092,CUST00931,flight_seat,FLT00079,1,17,insufficient,temporary_lock,811,passed
CHK000093,CUST00128,transport,CAR00085,6,13,available,temporary_lock,945,passed
CHK000094,CUST00085,transport,CAR00096,5,14,unavailable,lock_expired,1325,passed
CHK000095,CUST00827,flight_seat,FLT00312,5,3,insufficient,lock_expired,727,timeout
CHK000096,CUST00200,transport,AINV00363,6,17,insufficient,none,1298,passed
CHK000097,CUST00938,flight_seat,CAR00211,4,3,insufficient,lock_expired,1481,timeout
CHK000098,CUST00365,activity_slot,CAR00203,4,16,unavailable,lock_expired,444,passed
CHK000099,CUST00745,activity_slot,AINV00090,4,13,unavailable,temporary_lock,833,timeout
CHK000100,CUST00215,activity_slot,AINV00423,6,6,available,none,1345,timeout
CHK000101,CUST00703,hotel_room,FLT00185,5,2,insufficient,temporary_lock,964,failed
CHK000102,CUST00970,hotel_room,AINV00353,1,1,available,temporary_lock,925,timeout
CHK000103,CUST00716,flight_seat,ROOM00026,6,13,available,temporary_lock,1190,failed
CHK000104,CUST00302,flight_seat,ROOM00111,5,18,unavailable,none,896,passed
CHK000105,CUST00073,transport,FLT00058,1,0,insufficient,temporary_lock,589,passed
CHK000106,CUST00332,transport,CAR00145,4,15,unavailable,temporary_lock,1274,timeout
CHK000107,CUST00221,flight_seat,CAR00158,1,14,available,none,594,passed
CHK000108,CUST00606,flight_seat,AINV00238,3,14,unavailable,none,1296,passed
CHK000109,CUST00451,transport,AINV00338,4,11,available,none,1270,failed
CHK000110,CUST00078,transport,AINV00062,5,13,unavailable,none,1203,timeout
CHK000111,CUST00723,hotel_room,FLT00384,2,12,available,lock_expired,1428,timeout
CHK000112,CUST00718,flight_seat,CAR00035,5,0,insufficient,lock_expired,727,passed
CHK000113,CUST00534,hotel_room,FLT00093,2,17,unavailable,none,246,passed
CHK000114,CUST00242,flight_seat,CAR00136,5,16,unavailable,temporary_lock,827,failed
CHK000115,CUST00468,hotel_room,CAR00371,3,16,available,lock_expired,885,passed
CHK000116,CUST00878,flight_seat,AINV00209,2,10,unavailable,lock_expired,1402,timeout
CHK000117,CUST00294,transport,ROOM00058,2,7,available,temporary_lock,735,failed
CHK000118,CUST00031,transport,FLT00253,5,16,insufficient,temporary_lock,319,passed
CHK000119,CUST00199,transport,FLT00301,6,20,available,temporary_lock,416,timeout
CHK000120,CUST00410,hotel_room,ROOM00136,1,13,unavailable,lock_expired,648,failed
CHK000121,CUST00854,activity_slot,ROOM00153,4,20,available,lock_expired,293,failed
CHK000122,CUST00232,transport,ROOM00348,2,1,available,none,568,failed
CHK000123,CUST00806,transport,AINV00220,1,1,unavailable,none,883,timeout
CHK000124,CUST00306,activity_slot,FLT00069,4,18,unavailable,none,772,passed
CHK000125,CUST00299,flight_seat,AINV00390,5,12,insufficient,lock_expired,1432,passed
CHK000126,CUST00598,hotel_room,CAR00331,1,16,insufficient,lock_expired,84,timeout
CHK000127,CUST00908,flight_seat,CAR00383,6,4,insufficient,lock_expired,569,passed
CHK000128,CUST00679,flight_seat,FLT00191,3,6,unavailable,temporary_lock,811,failed
CHK000129,CUST00756,activity_slot,CAR00230,1,18,unavailable,lock_expired,1293,failed
CHK000130,CUST00187,hotel_room,AINV00417,2,14,insufficient,none,1466,timeout
CHK000131,CUST00643,flight_seat,AINV00466,6,2,available,lock_expired,1133,failed
CHK000132,CUST00609,activity_slot,FLT00102,1,9,unavailable,temporary_lock,469,timeout
CHK000133,CUST00173,transport,ROOM00200,1,0,available,lock_expired,1448,timeout
CHK000134,CUST00091,activity_slot,FLT00109,6,17,unavailable,none,1283,timeout
CHK000135,CUST00322,flight_seat,ROOM00111,4,19,available,none,1332,passed
CHK000136,CUST00066,flight_seat,ROOM00044,6,7,available,lock_expired,173,failed
CHK000137,CUST00315,hotel_room,ROOM00027,6,12,available,lock_expired,972,timeout
CHK000138,CUST00938,flight_seat,FLT00011,2,20,available,temporary_lock,752,passed
CHK000139,CUST00471,hotel_room,CAR00137,5,11,insufficient,none,60,failed
CHK000140,CUST00585,activity_slot,AINV00070,6,11,insufficient,temporary_lock,1125,timeout
CHK000141,CUST00487,flight_seat,FLT00407,2,20,unavailable,temporary_lock,56,passed
CHK000142,CUST00703,transport,ROOM00207,6,0,available,temporary_lock,164,timeout
CHK000143,CUST00575,activity_slot,CAR00110,4,18,available,lock_expired,801,timeout
CHK000144,CUST00181,flight_seat,FLT00407,4,20,available,lock_expired,1199,failed
CHK000145,CUST00391,transport,CAR00310,4,1,unavailable,none,1013,passed
CHK000146,CUST00559,transport,ROOM00380,2,4,insufficient,lock_expired,1478,failed
CHK000147,CUST00919,transport,ROOM00261,5,17,insufficient,lock_expired,465,timeout
CHK000148,CUST00881,transport,FLT00301,5,1,insufficient,temporary_lock,295,failed
CHK000149,CUST00914,flight_seat,ROOM00496,4,2,unavailable,none,976,passed
CHK000150,CUST00643,activity_slot,ROOM00362,4,2,unavailable,none,1264,passed
CHK000151,CUST00226,flight_seat,ROOM00087,3,16,available,temporary_lock,1132,passed
CHK000152,CUST00413,flight_seat,AINV00499,5,15,unavailable,none,1459,failed
CHK000153,CUST00252,flight_seat,FLT00461,1,17,insufficient,none,1318,failed
CHK000154,CUST00371,transport,ROOM00194,1,6,unavailable,none,1087,timeout
CHK000155,CUST00917,transport,FLT00232,2,10,available,temporary_lock,379,failed
CHK000156,CUST00190,flight_seat,FLT00369,1,0,unavailable,temporary_lock,882,failed
CHK000157,CUST00163,activity_slot,FLT00212,6,12,available,lock_expired,958,failed
CHK000158,CUST00377,hotel_room,CAR00046,3,19,insufficient,none,651,failed
CHK000159,CUST00649,hotel_room,FLT00433,6,5,insufficient,none,1092,passed
CHK000160,CUST00874,transport,CAR00180,2,20,insufficient,temporary_lock,1353,failed
CHK000161,CUST00577,activity_slot,ROOM00408,6,8,available,temporary_lock,23,timeout
CHK000162,CUST00910,transport,AINV00125,3,6,insufficient,temporary_lock,546,passed
CHK000163,CUST00677,flight_seat,FLT00419,5,16,insufficient,none,1012,failed
CHK000164,CUST00978,flight_seat,AINV00209,3,4,available,none,1180,failed
CHK000165,CUST00535,hotel_room,ROOM00049,1,11,insufficient,lock_expired,239,timeout
CHK000166,CUST00726,activity_slot,CAR00345,5,12,insufficient,lock_expired,885,timeout
CHK000167,CUST00305,hotel_room,FLT00088,6,20,insufficient,temporary_lock,1121,passed
CHK000168,CUST00919,flight_seat,FLT00395,6,0,available,temporary_lock,681,timeout
CHK000169,CUST00488,flight_seat,AINV00332,2,3,unavailable,lock_expired,1230,failed
CHK000170,CUST00992,transport,FLT00202,6,12,insufficient,temporary_lock,847,failed
CHK000171,CUST00935,transport,ROOM00117,1,7,unavailable,temporary_lock,483,timeout
CHK000172,CUST00305,hotel_room,AINV00357,2,12,unavailable,none,1014,passed
CHK000173,CUST00644,transport,ROOM00107,2,0,unavailable,temporary_lock,787,failed
CHK000174,CUST00535,transport,CAR00247,2,0,available,none,107,failed
CHK000175,CUST00511,flight_seat,ROOM00328,3,12,insufficient,lock_expired,806,timeout
CHK000176,CUST00226,activity_slot,CAR00495,2,11,unavailable,temporary_lock,1228,timeout
CHK000177,CUST00478,flight_seat,FLT00081,1,3,insufficient,temporary_lock,103,passed
CHK000178,CUST00054,hotel_room,CAR00466,5,9,available,lock_expired,490,failed
CHK000179,CUST00886,hotel_room,ROOM00384,2,1,insufficient,lock_expired,564,failed
CHK000180,CUST00074,activity_slot,ROOM00256,6,18,unavailable,lock_expired,723,failed
CHK000181,CUST00031,flight_seat,FLT00162,4,15,unavailable,none,368,timeout
CHK000182,CUST00844,activity_slot,ROOM00037,5,1,available,none,1443,timeout
CHK000183,CUST00817,flight_seat,CAR00320,1,16,available,temporary_lock,625,passed
CHK000184,CUST00734,transport,FLT00133,4,7,available,temporary_lock,1473,timeout
CHK000185,CUST00675,transport,CAR00466,6,16,available,temporary_lock,821,timeout
CHK000186,CUST00855,activity_slot,AINV00073,5,8,insufficient,lock_expired,1480,passed
CHK000187,CUST00832,activity_slot,CAR00346,1,3,unavailable,none,694,timeout
CHK000188,CUST00199,activity_slot,AINV00187,5,4,insufficient,lock_expired,232,failed
CHK000189,CUST00962,transport,CAR00326,3,20,available,none,1321,failed
CHK000190,CUST00650,transport,AINV00491,4,7,available,temporary_lock,54,passed
CHK000191,CUST00238,hotel_room,CAR00044,3,10,insufficient,none,1013,failed
CHK000192,CUST00675,activity_slot,ROOM00395,4,2,available,lock_expired,467,failed
CHK000193,CUST00036,activity_slot,FLT00109,6,3,available,lock_expired,131,passed
CHK000194,CUST00919,flight_seat,ROOM00414,5,1,insufficient,lock_expired,1135,timeout
CHK000195,CUST00771,activity_slot,ROOM00194,6,1,insufficient,lock_expired,176,timeout
CHK000196,CUST00424,hotel_room,ROOM00220,3,15,unavailable,temporary_lock,935,failed
CHK000197,CUST00453,transport,CAR00159,5,14,insufficient,temporary_lock,1256,timeout
CHK000198,CUST00422,activity_slot,FLT00453,5,20,unavailable,lock_expired,574,passed
CHK000199,CUST00230,activity_slot,FLT00096,6,16,unavailable,temporary_lock,332,passed
CHK000200,CUST00007,hotel_room,FLT00029,5,11,insufficient,temporary_lock,947,failed
CHK000201,CUST00564,hotel_room,ROOM00372,4,19,available,lock_expired,1368,timeout
CHK000202,CUST00109,hotel_room,FLT00011,6,6,available,temporary_lock,549,timeout
CHK000203,CUST00800,hotel_room,AINV00040,2,13,available,none,666,passed
CHK000204,CUST00197,flight_seat,AINV00005,4,8,available,none,1466,failed
CHK000205,CUST00591,hotel_room,FLT00130,2,13,available,lock_expired,50,failed
CHK000206,CUST00219,flight_seat,AINV00422,4,0,insufficient,none,1012,failed
CHK000207,CUST00530,activity_slot,FLT00172,4,3,available,none,1351,failed
CHK000208,CUST00055,transport,FLT00364,4,8,unavailable,temporary_lock,1349,failed
CHK000209,CUST00853,activity_slot,ROOM00457,5,6,available,lock_expired,522,passed
CHK000210,CUST00343,flight_seat,CAR00399,4,19,unavailable,none,481,passed
CHK000211,CUST00297,transport,ROOM00286,3,5,insufficient,lock_expired,1053,passed
CHK000212,CUST00918,flight_seat,CAR00238,1,20,unavailable,temporary_lock,1050,timeout
CHK000213,CUST00054,activity_slot,AINV00426,2,2,insufficient,none,632,timeout
CHK000214,CUST00664,activity_slot,FLT00312,3,4,available,lock_expired,1298,timeout
CHK000215,CUST00185,hotel_room,AINV00245,1,15,unavailable,none,484,failed
CHK000216,CUST00897,hotel_room,AINV00489,3,15,available,temporary_lock,1267,passed
CHK000217,CUST00784,activity_slot,AINV00387,2,20,unavailable,none,986,timeout
CHK000218,CUST00637,hotel_room,ROOM00215,1,4,insufficient,none,61,passed
CHK000219,CUST00096,flight_seat,CAR00002,1,6,unavailable,temporary_lock,919,passed
CHK000220,CUST00159,activity_slot,AINV00347,3,12,insufficient,lock_expired,1174,passed
CHK000221,CUST00121,hotel_room,CAR00341,4,12,insufficient,temporary_lock,178,failed
CHK000222,CUST00694,transport,AINV00195,3,7,insufficient,temporary_lock,488,failed
CHK000223,CUST00261,hotel_room,CAR00163,2,1,available,lock_expired,1137,timeout
CHK000224,CUST00959,activity_slot,AINV00294,6,20,available,temporary_lock,1444,failed
CHK000225,CUST00930,flight_seat,FLT00333,2,2,available,temporary_lock,1421,passed
CHK000226,CUST00276,hotel_room,FLT00232,4,19,insufficient,temporary_lock,901,timeout
CHK000227,CUST00366,flight_seat,CAR00239,4,19,insufficient,none,554,failed
CHK000228,CUST00318,activity_slot,AINV00238,4,13,insufficient,none,816,passed
CHK000229,CUST00212,flight_seat,ROOM00230,5,1,available,none,1472,passed
CHK000230,CUST00804,activity_slot,CAR00469,2,3,unavailable,none,784,passed
CHK000231,CUST00347,flight_seat,AINV00272,4,10,unavailable,lock_expired,492,timeout
CHK000232,CUST00273,flight_seat,AINV00305,2,1,unavailable,temporary_lock,974,timeout
CHK000233,CUST00261,flight_seat,AINV00414,4,12,available,lock_expired,526,passed
CHK000234,CUST00869,flight_seat,ROOM00289,5,18,available,lock_expired,1060,timeout
CHK000235,CUST00054,flight_seat,AINV00433,3,17,unavailable,temporary_lock,1192,timeout
CHK000236,CUST00639,flight_seat,AINV00308,6,13,available,none,1399,passed
CHK000237,CUST00934,activity_slot,FLT00332,3,13,unavailable,lock_expired,1133,timeout
CHK000238,CUST00700,hotel_room,CAR00185,3,20,insufficient,lock_expired,1090,failed
CHK000239,CUST00185,hotel_room,FLT00405,6,19,unavailable,temporary_lock,1178,timeout
CHK000240,CUST00157,flight_seat,CAR00340,3,0,available,temporary_lock,976,timeout
CHK000241,CUST00621,flight_seat,ROOM00450,1,13,insufficient,none,354,passed
CHK000242,CUST00699,hotel_room,CAR00353,1,13,unavailable,temporary_lock,966,timeout
CHK000243,CUST00260,hotel_room,ROOM00499,1,8,unavailable,lock_expired,639,passed
CHK000244,CUST00291,hotel_room,AINV00496,3,14,unavailable,lock_expired,1234,failed
CHK000245,CUST00541,activity_slot,AINV00204,5,1,insufficient,lock_expired,911,timeout
CHK000246,CUST00978,activity_slot,ROOM00468,1,3,unavailable,lock_expired,422,passed
CHK000247,CUST00925,transport,FLT00323,2,8,available,none,1287,timeout
CHK000248,CUST00226,transport,ROOM00435,5,8,available,lock_expired,937,timeout
CHK000249,CUST00222,activity_slot,AINV00225,4,15,insufficient,none,403,passed
CHK000250,CUST00726,flight_seat,ROOM00055,6,9,insufficient,none,618,passed
CHK000251,CUST00289,activity_slot,CAR00101,6,19,unavailable,lock_expired,910,passed
CHK000252,CUST00575,transport,FLT00336,4,12,insufficient,lock_expired,398,passed
CHK000253,CUST00739,transport,ROOM00309,4,9,unavailable,temporary_lock,339,failed
CHK000254,CUST00717,flight_seat,AINV00269,2,18,unavailable,lock_expired,335,failed
CHK000255,CUST00136,flight_seat,AINV00402,5,9,available,none,591,timeout
CHK000256,CUST00427,transport,AINV00490,5,5,insufficient,lock_expired,958,timeout
CHK000257,CUST00017,hotel_room,CAR00127,5,7,available,temporary_lock,542,failed
CHK000258,CUST00288,flight_seat,AINV00009,6,19,insufficient,temporary_lock,1228,timeout
CHK000259,CUST00218,activity_slot,FLT00281,6,8,insufficient,none,1201,failed
CHK000260,CUST00521,transport,CAR00148,5,0,available,temporary_lock,769,failed
CHK000261,CUST00057,hotel_room,AINV00492,1,10,unavailable,temporary_lock,1339,failed
CHK000262,CUST00926,transport,FLT00169,5,17,unavailable,lock_expired,1268,timeout
CHK000263,CUST00786,activity_slot,CAR00420,1,16,unavailable,lock_expired,727,passed
CHK000264,CUST00132,transport,AINV00093,5,9,unavailable,lock_expired,44,failed
CHK000265,CUST00195,transport,AINV00429,6,0,unavailable,temporary_lock,1243,timeout
CHK000266,CUST00702,transport,ROOM00321,3,16,unavailable,none,835,failed
CHK000267,CUST00869,transport,CAR00386,2,17,unavailable,none,69,passed
CHK000268,CUST00486,transport,FLT00450,1,13,unavailable,lock_expired,151,timeout
CHK000269,CUST00398,activity_slot,FLT00240,2,19,unavailable,temporary_lock,461,timeout
CHK000270,CUST00037,hotel_room,AINV00222,3,2,unavailable,lock_expired,436,failed
CHK000271,CUST00553,transport,AINV00359,4,14,available,lock_expired,1443,timeout
CHK000272,CUST00034,hotel_room,AINV00378,6,5,insufficient,temporary_lock,765,failed
CHK000273,CUST00086,transport,ROOM00073,6,4,available,none,1106,passed
CHK000274,CUST00619,activity_slot,AINV00285,4,0,available,lock_expired,664,failed
CHK000275,CUST00540,activity_slot,AINV00078,2,5,unavailable,lock_expired,212,passed
CHK000276,CUST00573,flight_seat,CAR00071,1,5,insufficient,none,754,passed
CHK000277,CUST00988,activity_slot,ROOM00162,3,16,insufficient,none,615,passed
CHK000278,CUST00316,hotel_room,AINV00054,5,20,insufficient,temporary_lock,702,passed
CHK000279,CUST00435,hotel_room,AINV00089,6,16,available,none,1209,passed
CHK000280,CUST00194,activity_slot,CAR00398,2,20,available,temporary_lock,403,passed
CHK000281,CUST00851,activity_slot,CAR00362,5,5,available,temporary_lock,586,passed
CHK000282,CUST00651,activity_slot,ROOM00036,1,9,insufficient,temporary_lock,1355,timeout
CHK000283,CUST00422,transport,ROOM00126,3,5,available,lock_expired,1029,passed
CHK000284,CUST00516,flight_seat,CAR00200,4,15,available,lock_expired,578,passed
CHK000285,CUST00321,flight_seat,CAR00305,6,11,insufficient,lock_expired,120,failed
CHK000286,CUST00893,hotel_room,CAR00482,3,10,unavailable,none,264,failed
CHK000287,CUST00146,transport,AINV00307,2,3,insufficient,temporary_lock,637,failed
CHK000288,CUST00591,transport,ROOM00299,2,18,insufficient,temporary_lock,1124,failed
CHK000289,CUST00761,hotel_room,CAR00100,1,12,unavailable,none,553,timeout
CHK000290,CUST00910,activity_slot,AINV00200,4,12,available,temporary_lock,320,failed
CHK000291,CUST00180,hotel_room,ROOM00443,5,9,available,temporary_lock,1187,failed
CHK000292,CUST00033,hotel_room,ROOM00149,1,8,insufficient,lock_expired,1271,timeout
CHK000293,CUST00250,transport,AINV00276,4,19,unavailable,lock_expired,819,failed
CHK000294,CUST00547,transport,ROOM00403,6,10,insufficient,temporary_lock,884,timeout
CHK000295,CUST00856,transport,CAR00078,1,5,available,lock_expired,418,failed
CHK000296,CUST00414,transport,ROOM00480,5,18,insufficient,temporary_lock,1425,passed
CHK000297,CUST00285,transport,CAR00394,1,2,available,lock_expired,866,failed
CHK000298,CUST00310,activity_slot,AINV00461,5,1,unavailable,none,972,timeout
CHK000299,CUST00996,flight_seat,ROOM00329,6,17,insufficient,lock_expired,1061,timeout
CHK000300,CUST00487,hotel_room,CAR00089,4,14,insufficient,temporary_lock,890,timeout
CHK000301,CUST00976,hotel_room,CAR00467,4,1,available,temporary_lock,1377,failed
CHK000302,CUST00408,transport,FLT00077,1,16,available,none,1067,passed
CHK000303,CUST00877,flight_seat,AINV00322,5,9,unavailable,temporary_lock,1207,timeout
CHK000304,CUST00924,activity_slot,CAR00161,5,15,unavailable,lock_expired,171,passed
CHK000305,CUST00912,transport,FLT00147,2,1,unavailable,temporary_lock,578,failed
CHK000306,CUST01000,hotel_room,CAR00123,1,0,unavailable,none,678,passed
CHK000307,CUST00104,flight_seat,AINV00096,6,7,unavailable,lock_expired,931,timeout
CHK000308,CUST00133,flight_seat,CAR00264,4,14,available,lock_expired,1315,passed
CHK000309,CUST00107,transport,CAR00387,3,14,unavailable,none,793,failed
CHK000310,CUST00466,flight_seat,ROOM00167,6,17,available,temporary_lock,812,failed
CHK000311,CUST00459,transport,CAR00114,2,8,available,temporary_lock,54,failed
CHK000312,CUST00021,transport,CAR00234,5,16,available,none,292,failed
CHK000313,CUST00065,activity_slot,FLT00377,4,18,unavailable,lock_expired,836,timeout
CHK000314,CUST00639,hotel_room,AINV00276,4,16,insufficient,temporary_lock,150,passed
CHK000315,CUST00164,hotel_room,AINV00345,1,2,insufficient,temporary_lock,576,timeout
CHK000316,CUST00719,flight_seat,CAR00152,1,10,insufficient,lock_expired,1306,failed
CHK000317,CUST00993,activity_slot,CAR00075,1,1,insufficient,temporary_lock,656,passed
CHK000318,CUST00010,activity_slot,CAR00430,5,8,insufficient,none,219,passed
CHK000319,CUST00276,transport,AINV00490,5,0,unavailable,temporary_lock,131,passed
CHK000320,CUST00201,flight_seat,FLT00078,3,20,available,lock_expired,1354,failed
CHK000321,CUST00954,activity_slot,ROOM00150,2,6,insufficient,none,141,passed
CHK000322,CUST00455,hotel_room,CAR00344,1,19,available,none,1433,timeout
CHK000323,CUST00633,hotel_room,CAR00453,3,13,unavailable,lock_expired,258,timeout
CHK000324,CUST00115,hotel_room,AINV00128,4,1,insufficient,temporary_lock,536,passed
CHK000325,CUST00320,flight_seat,ROOM00466,1,10,available,lock_expired,1333,failed
CHK000326,CUST00261,transport,FLT00302,1,17,available,temporary_lock,485,failed
CHK000327,CUST00256,hotel_room,ROOM00375,4,8,insufficient,lock_expired,151,failed
CHK000328,CUST00403,hotel_room,FLT00443,2,5,available,lock_expired,608,passed
